store_id,store_name,region_id,city,square_ft,opening_date
62,RetailMart Cuttack,8,Cuttack,2549.0,2023-06-14
162,RetailMart Udaipur,5,Udaipur,1828.0,2021-08-08
157,RetailMart Shimla,17,Shimla,,2021-04-23
165,RetailMart Meerut,4,Meerut,1692.0,2024-10-06
116,Retailmart Kolkata,5,Kolkata,2964.0,
171,,7,Udupi,3435.0,2023-08-26
28,,15,Gwalior,4319.0,2023-01-27
99,RetailMart Madurai,1,Madurai,4110.0,2021-12-05
1,RetailMart Gwalior,17,Gwalior,2205.0,2024-06-25
198,,9,Jamshedpur,4034.0,2023-01-12
85,RetailMart Imphal,20,Imphal,2058.0,2024-03-01
128,RetailMart Salem,19,Salem,4863.0,2021-08-28
47,RetailMart Mangalore,10,,2246.0,2021-10-29
142,RetailMart Kanpur,9,Kanpur,1026.0,2023-07-06
63,RetailMart Agra,11,Agra,1394.0,2021-02-27
46,RetailMart Trichy,14,Trichy,3040.0,2023-06-01
75,RetailMart Erode,11,Erode,1356.0,2023-02-27
27,RetailMart Siliguri,1,Siliguri,2119.0,2023-11-23
41,RetailMart Amritsar,6,Amritsar,2201.0,2024-02-08
26,RetailMart Bilaspur,20,Bilaspur,2720.0,2023-03-28
82,RetailMart Rourkela,8,Rourkela,3655.0,2022-05-22
109,RetailMart Indore,15,Indore,4379.0,2021-03-18
110,RetailMart Prayagraj,5,Prayagraj,2387.0,2023-03-16
72,RetailMart Noida,5,Noida,2746.0,2022-06-19
66,RETAILMART NOIDA,2,Noida,1461.0,2022-11-30
146,RetailMart Agartala,3,Agartala,1171.0,2024-11-02
80,RetailMart Bhopal,16,Bhopal,2670.0,2025-01-02
176,RetailMart Panaji,3,Panaji,3716.0,2024-03-29
117,RetailMart Patiala,8,Patiala,1032.0,2023-10-19
40,RetailMart Dhanbad,17,Dhanbad,2912.0,2021-09-22
19,RetailMart Kanpur,20,Kanpur,1035.0,2024-12-01
120,RETAILMART PORT BLAIR,4,Port Blair,1542.0,2024-04-26
84,RetailMart Hyderabad,8,Hyderabad,2676.0,2023-10-03
32,RetailMart Coimbatore,4,Coimbatore,4708.0,
170,RetailMart Kanpur,7,Kanpur,,2024-10-13
26,RetailMart Bilaspur,20,Bilaspur,2720.0,2023-03-28
74,RETAILMART IMPHAL,5,IMPHAL,4841.0,2023-05-10
79,RetailMart Bhopal,12,,4204.0,2022-09-21
127,RetailMart Lucknow,3,Lucknow,4252.0,2024-12-13
119,,4,Jamshedpur,4413.0,2025-01-26
173,RetailMart Imphal,2,Imphal,1085.0,2022-03-02
96,RetailMart Patna,14,Patna,2929.0,2023-04-30
129,Retailmart Port Blair,15,Port Blair,2341.0,2022-01-03
89,RetailMart Meerut,5,Meerut,1658.0,2022-02-22
4,RetailMart Indore,19,Indore,4674.0,2022-05-08
36,RetailMart Gaya,6,Gaya,1152.0,2024-03-29
93,RetailMart Patna,13,Patna,3274.0,2021-06-03
125,RetailMart Noida,15,,3631.0,2022-06-04
70,RETAILMART KARIMNAGAR,8,Karimnagar,,2024-10-24
118,RetailMart Bilaspur,12,Bilaspur,4939.0,2022-01-16
29,RetailMart Ranchi,18,Ranchi,3635.0,2023-10-19
148,RetailMart Raipur,8,Raipur,3053.0,2021-07-19
145,RetailMart Bilaspur,10,Bilaspur,1769.0,2021-05-01
167,,2,Coimbatore,3627.0,2024-08-08
45,RetailMart Kota,9,Kota,2035.0,2024-06-15
113,RetailMart Erode,18,Erode,,2021-10-01
86,RetailMart Mysuru,17,Mysuru,1679.0,2022-08-15
55,RetailMart Udupi,17,Udupi,3531.0,2021-08-24
104,RetailMart Bhubaneswar,19,Bhubaneswar,4863.0,2022-03-07
194,RetailMart New Delhi,11,New Delhi,1366.0,2023-08-01
193,RetailMart Agra,14,Agra,3507.0,2022-01-03
101,RetailMart Cuttack,4,Cuttack,1068.0,2021-07-05
51,RetailMart Trichy,8,Trichy,3051.0,2022-05-28
151,retailmart kota,20,Kota,3388.0,2022-04-03
95,RetailMart Agartala,6,Agartala,2927.0,2022-02-23
37,RetailMart Howrah,4,Howrah,3940.0,2022-01-26
85,RetailMart Imphal,20,Imphal,2058.0,2024-03-01
186,RetailMart Udupi,6,,3336.0,2024-07-09
60,Retailmart Surat,13,Surat,2822.0,2024-06-29
17,RetailMart Madurai,20,Madurai,3826.0,2024-06-21
18,,14,Nagpur,3577.0,2023-12-22
105,RetailMart Puri,5,Puri,1652.0,2022-01-29
85,RetailMart Imphal,20,Imphal,2058.0,2024-03-01
40,RetailMart Dhanbad,17,Dhanbad,2912.0,2021-09-22
135,RetailMart Ahmedabad,11,Ahmedabad,3891.0,2022-10-05
34,Retailmart Jodhpur,7,Jodhpur,1790.0,2021-04-27
30,RetailMart Imphal,20,Imphal,2918.0,2021-09-24
144,RetailMart Bhubaneswar,9,Bhubaneswar,,2024-03-08
187,RetailMart Kolkata,19,Kolkata,4456.0,2023-03-08
20,RetailMart Cuttack,6,,2739.0,2022-04-21
131,RetailMart Agartala,13,Agartala,2581.0,2021-10-25
5,RetailMart Howrah,16,Howrah,4652.0,2024-11-30
181,RetailMart Shimla,20,Shimla,1580.0,2021-04-08
175,RetailMart Agra,4,Agra,1248.0,2021-11-27
44,RetailMart Karimnagar,19,Karimnagar,2769.0,2023-12-09
10,,17,Aizawl,1586.0,2023-05-14
147,RETAILMART ERODE,10,Erode,2380.0,2022-11-13
35,RetailMart Ludhiana,9,Ludhiana,4164.0,2024-07-10
13,RetailMart Mysuru,16,Mysuru,3397.0,2022-10-09
188,,11,Agartala,2145.0,2022-08-09
111,RetailMart Howrah,8,Howrah,1206.0,2024-04-02
36,RetailMart Gaya,6,Gaya,1152.0,2024-03-29
59,RetailMart Srinagar,10,Srinagar,3851.0,2024-09-24
12,RetailMart Cuttack,14,Cuttack,2224.0,2024-07-06
152,RetailMart Varanasi,7,Varanasi,1167.0,2021-08-17
154,RetailMart Port Blair,10,Port Blair,1188.0,2023-07-25
8,RetailMart Trichy,9,Trichy,4586.0,2023-04-26
77,RetailMart Indore,10,Indore,3376.0,2024-02-28
15,RetailMart Prayagraj,5,Prayagraj,4858.0,2024-07-22
58,RetailMart Noida,14,Noida,4639.0,2021-12-10
7,RetailMart Panaji,18,PANAJI,1224.0,2024-01-09
89,RetailMart Meerut,5,Meerut,1658.0,2022-02-22
97,RetailMart Lucknow,10,Lucknow,1931.0,2022-08-19
73,retailmart siliguri,17,Siliguri,1287.0,2024-12-01
149,RetailMart Leh,19,Leh,2948.0,2023-04-24
83,RetailMart Ludhiana,16,Ludhiana,4414.0,2025-02-17
177,RetailMart Indore,9,Indore,1263.0,2024-11-07
31,RetailMart Gandhinagar,11,Gandhinagar,4238.0,2023-06-08
112,RetailMart Gaya,1,Gaya,1031.0,2022-09-02
91,RetailMart Aizawl,4,Aizawl,3147.0,2021-05-06
42,RetailMart Nashik,6,Nashik,3800.0,2023-02-04
141,RetailMart Ahmedabad,16,Ahmedabad,3741.0,2023-09-05
140,RetailMart Varanasi,10,Varanasi,1804.0,2022-12-17
132,RetailMart Dhanbad,19,Dhanbad,1783.0,2024-11-02
