store_expense_id,store_id,expense_type,amount,expense_date
8036,36,Internet,1034.74,2025-07-15
9215,121,,283.42,2025-05-23
17729,6,Water,5437.22,2025-03-20
1688,151,Security,4896.27,2025-03-20
10734,55,Security,6124.61,2026-01-05
16109,67,Internet,,2025-03-08
8501,111,Cleaning,4273.7,2025-04-19
15238,95,electricity,,2025-06-02
1065,5,Security,4242.5,2025-04-20
527,37,Security,4177.45,2025-07-25
1372,106,Electricity,1850.72,2025-07-30
14269,46,Water,8987.88,2025-03-03
18348,73,Security,,2025-02-27
18460,43,Repair,5018.99,2025-09-04
13288,9,Cleaning,4074.94,2025-05-25
8657,129,Water,,2025-03-20
14778,153,,218.09,2025-06-06
18826,62,Repair,6199.47,2025-03-24
8711,70,Electricity,8069.4,2025-03-01
7018,63,Water,831.44,2025-10-08
7567,79,Electricity,9202.72,2025-08-12
5981,127,Cleaning,6469.24,2025-05-15
9416,41,Repair,755.17,2025-03-18
17663,17,Electricity,9734.41,2025-11-21
6602,118,Cleaning,5984.12,2025-11-28
15527,12,Electricity,7985.78,2025-03-20
9067,57,Electricity,2571.31,2025-09-15
17208,122,Electricity,4707.62,2025-02-26
6509,164,security,8552.43,2025-11-05
12559,63,Electricity,8819.18,2025-07-05
5689,3,Repair,1508.81,2025-09-01
13781,167,Security,9955.43,2025-12-16
7642,192,Water,3360.27,2025-10-21
16076,179,Repair,1801.87,2025-11-06
3856,148,Water,814.19,2025-05-15
12788,60,water,9840.98,2026-01-12
3565,64,Security,4611.39,2025-03-20
8220,84,Water,7347.35,2025-03-31
15188,157,Repair,5132.98,2025-05-28
17130,164,Internet,8091.72,2025-03-20
3792,142,Repair,718.98,2025-07-31
11432,51,Cleaning,6292.39,2025-07-01
14324,168,Repair,5844.59,2026-02-11
17611,61,Internet,501.05,2025-08-17
10165,19,Water,9158.99,2025-06-25
17608,17,Security,4777.71,2025-03-10
9313,186,Water,7097.82,2025-04-11
11434,97,Internet,4670.81,2025-05-26
6269,171,Internet,3065.5,2025-04-15
9639,151,Internet,4405.88,
4481,110,Cleaning,1656.51,2026-02-05
6544,168,Internet,2722.56,2025-04-01
12482,191,Internet,8538.46,2025-12-24
2701,187,Security,5236.9,2025-08-21
2226,87,Repair,4714.24,2025-06-29
7577,174,Internet,5828.93,2025-05-18
3512,101,Cleaning,716.81,2026-01-09
19347,88,Electricity,2036.5,2025-04-13
17691,136,Cleaning,2855.49,2026-02-13
2338,109,Repair,,2025-10-10
16501,100,Cleaning,3055.39,2025-04-14
2233,14,Repair,9033.81,2025-11-24
18214,44,Repair,5754.47,2026-02-18
14006,178,Electricity,9166.89,2025-06-28
6896,155,,8967.55,2026-01-13
13713,40,Water,7864.05,2026-01-27
12344,2,Repair,6636.08,
16316,86,,5047.83,2025-03-19
13163,163,Water,5457.72,2026-01-21
15088,192,Cleaning,1395.64,2025-08-28
19870,183,Cleaning,6222.41,2025-07-14
7248,81,,8634.57,2026-01-06
16565,162,Security,9034.04,2025-12-17
4458,86,Internet,1442.87,2025-09-29
11937,54,Security,7932.61,2025-03-22
14293,50,Water,2211.6,2025-05-08
11336,150,Electricity,5679.89,2025-06-24
15168,81,Water,1999.99,2025-12-18
768,127,Cleaning,8773.82,2025-06-29
13372,149,Water,2509.09,2025-11-25
18239,196,Security,1519.85,2026-02-02
13354,143,Electricity,6460.2,
929,9,Internet,6353.11,2025-03-27
15656,157,Water,2556.49,2025-07-22
545,93,Repair,6200.38,2025-07-14
12449,195,Internet,6964.9,2025-05-25
11079,43,Security,,2025-12-13
6698,134,Cleaning,3587.52,2025-07-17
2076,157,,8712.26,2025-04-30
1903,191,Security,7621.86,2025-07-01
15419,196,Cleaning,,2026-01-11
3442,142,Cleaning,5300.39,2025-02-28
15994,156,Water,5738.24,
4170,64,Security,1011.62,2025-09-27
1990,40,Internet,7308.61,2025-08-25
18494,109,Electricity,6487.31,2025-07-19
8092,87,Cleaning,4461.04,2025-02-25
670,72,Internet,2886.7,2025-12-09
16438,119,Cleaning,7055.79,
15599,94,Water,7481.69,2025-12-11
9357,169,Electricity,8363.09,2025-09-22
13712,166,,1555.85,2025-09-25
9000,100,Cleaning,9322.84,2026-02-05
7524,131,cleaning,7299.72,2025-12-14
11447,91,Cleaning,8965.48,2025-10-02
6911,97,Electricity,4189.9,2025-08-10
8031,44,Water,3567.1,2025-12-07
8009,53,Repair,6950.42,2025-10-22
13643,17,Repair,,2025-07-09
19370,22,Cleaning,3130.85,2025-03-24
15096,123,Electricity,4938.11,2025-05-04
9066,164,Repair,4670.1,
18296,81,Cleaning,6611.82,2026-02-04
13407,67,Water,6507.99,2025-08-08
12246,44,Water,1178.6,2025-12-30
5101,46,Repair,4518.33,2025-09-21
8998,30,Internet,9778.24,2025-11-12
10441,151,Internet,6952.73,2026-01-20
8030,128,Electricity,8070.66,2026-02-01
14147,168,Security,6617.03,2026-01-29
18038,75,Internet,7025.62,2026-01-03
12467,32,Internet,2215.78,
10553,11,Electricity,5778.41,2025-06-17
6441,65,,2725.17,2025-11-09
15781,66,Repair,1034.58,2025-06-07
8330,48,Repair,4672.6,
8880,17,Repair,2182.29,2025-11-25
3202,145,Internet,5056.17,2025-02-28
19165,118,Security,8031.06,2025-04-03
6577,8,Cleaning,9204.38,2025-07-21
9537,120,Security,6360.72,2025-05-09
8063,183,Internet,9489.11,2025-04-11
7617,90,Repair,3239.33,2025-06-22
664,130,,2410.41,2025-05-10
9472,69,Cleaning,6914.47,2025-12-12
16954,29,Water,9723.6,2025-12-13
16776,190,Security,3875.07,2025-06-13
5140,115,security,9329.04,
18044,157,Internet,657.97,2026-02-02
14274,93,Water,3613.56,2025-06-16
18313,142,Internet,4706.95,2025-05-21
2195,35,Water,1154.35,2025-06-05
7794,101,Repair,6540.03,2025-06-09
85,132,Cleaning,3144.27,2025-09-07
18323,87,Security,7808.62,2025-12-10
11017,57,Cleaning,6720.63,2025-06-23
11760,131,Internet,5116.99,2025-04-06
18658,146,water,7603.67,2025-03-31
7951,13,Water,9504.6,2025-09-28
11708,122,Security,9967.5,2025-06-06
10934,152,Water,7762.7,2025-09-06
16567,170,Repair,5262.92,2026-01-30
856,52,Cleaning,1947.34,2025-05-09
3983,2,cleaning,2281.97,2025-05-25
2813,159,Cleaning,6682.67,2025-06-07
9641,51,Water,,2025-10-12
6218,14,Electricity,3697.18,2025-05-13
11612,101,Cleaning,2427.92,2025-09-06
12854,198,Security,5298.77,2025-03-11
17644,22,Repair,1092.8,2025-07-03
2687,17,ELECTRICITY,1287.47,2025-05-14
18285,91,Security,8574.15,2025-05-21
16559,42,Water,8165.09,2025-06-19
5756,115,Cleaning,3859.19,2025-05-15
1264,160,Internet,4579.44,2025-03-22
6409,97,Repair,,2025-07-20
241,100,Internet,9407.56,2025-10-25
19292,190,Internet,9965.74,2025-07-29
15661,10,Water,3045.82,2025-08-07
12257,169,Electricity,3179.73,2025-11-10
7510,17,Water,9307.96,2025-09-06
11873,88,Repair,3352.47,2025-12-28
3201,120,,5556.04,2025-12-19
6374,80,Cleaning,9126.47,
13633,36,Water,1478.6,2026-02-14
3458,123,Internet,6924.3,2025-09-29
13472,117,Water,5979.62,2025-05-06
12880,130,cleaning,2092.31,2025-03-26
2502,14,Security,7657.05,2025-12-18
2598,177,,4992.12,2025-04-30
6291,172,Cleaning,1470.72,2025-04-04
16275,126,Security,7908.99,2025-12-06
413,81,Security,9508.54,2025-05-10
9404,152,Cleaning,3044.14,2026-01-06
1668,10,Security,9309.42,2025-07-10
17921,125,Repair,596.83,2025-07-08
12837,127,Security,9192.58,2025-06-30
6243,154,Cleaning,5464.05,2025-09-09
16510,102,Electricity,1208.8,2025-03-29
10125,31,Repair,776.03,2025-04-05
8279,95,Internet,4010.97,2026-01-16
17289,197,Cleaning,7201.02,2025-03-14
14190,167,Water,6291.88,2025-07-02
2871,190,REPAIR,8946.24,
7666,145,Electricity,2810.4,2025-06-27
10106,148,Repair,2264.91,2025-04-10
13721,31,Repair,4672.16,2025-10-29
3748,78,,4141.42,2025-06-30
16243,30,Security,3062.6,2025-06-22
6545,8,Internet,4973.52,2026-01-21
19458,173,Electricity,292.92,2025-03-28
17597,146,Water,1867.26,2025-10-01
2704,86,Water,218.63,2025-12-19
4393,151,Security,6473.44,2025-04-16
933,4,Repair,9844.8,2025-03-25
4805,110,Electricity,8221.44,2025-06-12
13669,156,INTERNET,8965.35,2025-02-25
6576,162,Electricity,7082.7,
7758,29,Electricity,8823.09,2025-06-07
2777,123,Electricity,486.8,2025-05-04
6584,120,Internet,911.87,2025-10-19
11133,186,Repair,3273.56,2025-11-23
7997,38,Water,2134.72,2025-07-16
6470,2,Repair,7675.2,2025-08-08
1114,75,Internet,5392.9,2026-01-04
6581,103,Electricity,8823.0,2026-01-30
19942,115,Repair,5775.05,2025-05-11
6955,200,Water,8203.01,2025-10-25
16241,82,Repair,5035.15,2025-04-03
12611,125,Cleaning,2736.55,2026-01-31
19490,166,Security,2434.54,2026-01-22
14769,35,Repair,2033.27,2026-02-20
5869,68,Electricity,8140.76,2025-06-15
11770,103,Repair,270.49,
5797,115,Cleaning,1400.67,2026-01-27
11907,154,Internet,7810.62,2026-01-25
16168,30,Repair,9878.34,2025-07-15
12727,131,Security,8123.96,2025-08-30
8888,124,Repair,6996.26,2025-06-30
16022,32,Water,,
19559,155,Water,7464.26,2026-01-31
3617,135,Security,5590.01,2025-08-03
19539,102,Water,2854.84,2025-04-08
5936,12,Security,7339.5,2025-07-22
15572,1,Cleaning,5727.0,2026-01-10
1146,12,Security,8792.37,2025-08-12
2065,40,Cleaning,566.97,2025-06-17
14155,72,Electricity,7578.19,2025-11-11
1142,67,Repair,3510.7,2025-11-19
14959,84,Repair,6102.67,2025-09-02
5849,12,Electricity,3234.16,2025-06-05
554,76,Internet,5631.33,2025-04-12
18191,39,Repair,3711.6,2025-12-11
14314,127,Repair,4408.42,2025-11-22
11080,79,Water,8200.69,2025-09-09
11353,171,Security,2775.02,2025-11-07
10702,153,Security,4458.61,2026-02-25
11784,199,Water,7294.64,2025-10-22
12426,194,Security,8330.65,2025-06-18
12642,133,Electricity,6799.59,2025-04-09
12761,162,Water,1549.83,2025-10-11
12761,162,Water,1549.83,2025-10-11
17147,146,Electricity,7342.68,2025-12-10
19491,157,Electricity,9326.9,2025-10-31
16742,99,Cleaning,9055.59,2025-09-09
13083,176,WATER,4865.71,2025-07-19
16539,113,Repair,6152.2,2025-09-27
18432,197,Water,7517.42,2025-07-14
9830,55,Repair,,2025-11-25
12222,45,Water,779.94,2025-06-08
2830,91,Security,340.24,2025-08-26
4855,174,Internet,6295.31,2025-09-20
2500,17,Water,4105.46,2025-03-01
9080,134,Water,2084.82,2025-05-04
306,100,Security,9759.73,2025-03-17
15081,181,Water,6715.77,2026-01-08
7010,183,Security,,2025-04-03
18594,109,Repair,7946.97,2025-06-05
3317,195,Electricity,4865.69,
11235,143,Security,1908.13,2025-06-29
7794,101,Repair,6540.03,2025-06-09
8177,68,Repair,2398.28,
6874,101,Cleaning,3435.22,2025-07-14
9437,164,Security,7269.4,2025-10-05
7759,168,Repair,8923.61,2025-07-13
19010,106,Electricity,1471.73,2025-06-12
10076,13,Repair,2777.65,2026-02-20
7839,131,Electricity,3861.54,2025-11-23
8136,118,Water,682.18,2025-11-12
15972,101,Security,101.86,2025-09-17
10947,192,security,628.43,2025-09-14
16231,74,,1562.03,2025-08-13
2069,173,Internet,1688.83,2025-11-30
2846,40,Cleaning,3603.36,2025-03-17
2779,113,Water,4483.14,2025-05-07
1867,155,Water,479.58,2025-06-05
3945,179,Internet,1047.44,2025-10-17
8968,191,Repair,7375.98,2025-10-31
956,113,security,3862.23,2025-05-17
2183,104,Cleaning,380.23,2025-03-12
1515,26,Security,1997.99,2025-08-18
19961,86,Water,5244.73,2025-03-03
1263,138,Repair,3138.1,2025-07-25
10577,1,Repair,9766.0,2025-10-18
957,114,Internet,5213.23,2025-11-28
4993,198,Repair,3449.33,
12072,156,Security,4180.03,2025-09-20
3668,111,Cleaning,1648.76,2025-11-01
15332,50,Internet,9375.76,2025-05-16
14859,30,WATER,5899.94,2025-11-20
12213,5,Water,9916.4,2025-11-13
9238,160,Cleaning,1050.28,2025-11-08
13198,42,Security,5106.17,2025-03-30
198,33,Internet,8976.25,
14679,143,Repair,4081.0,2026-01-08
11012,108,Water,6773.68,2025-10-23
8679,91,Security,5360.57,2026-02-03
4394,196,Security,503.57,2025-09-11
14262,179,Cleaning,8291.81,2026-02-24
17648,176,Repair,7211.88,2025-06-27
998,84,Cleaning,1411.35,2025-11-07
6948,123,Security,2325.27,2025-07-25
10546,159,Internet,4124.23,2025-04-29
9700,29,Water,8099.89,2025-08-02
4861,4,Cleaning,6273.06,2025-08-30
6805,127,Security,4360.85,2025-02-26
7739,119,Electricity,6669.46,2025-12-14
17277,106,Repair,5181.57,2025-07-08
14240,4,Internet,1795.78,2026-01-31
2613,41,Security,,2025-12-08
2451,149,,2738.96,2025-06-16
16853,11,Security,7003.26,2025-05-01
6672,74,Repair,8086.64,2025-04-07
4016,175,,2635.29,2025-05-01
10085,70,Electricity,369.03,2025-03-13
15448,163,Water,3148.59,2025-09-29
10631,130,Internet,5573.07,2025-11-14
3904,72,Internet,2549.13,
15568,73,Water,3252.18,2025-11-26
3294,149,,5440.52,2026-01-09
7526,115,Repair,6146.21,2025-12-30
2041,164,SECURITY,8513.63,2025-11-26
17275,110,Repair,2514.97,2026-01-09
15021,90,Repair,2760.23,2025-07-29
9980,158,Security,6360.81,2025-03-13
1366,10,Repair,1359.1,2025-04-19
5592,108,CLEANING,5276.92,2025-03-26
18016,191,Electricity,,2025-08-31
9353,31,Electricity,8770.39,2025-04-27
2569,148,Internet,8044.65,2025-05-12
5729,155,Cleaning,,2025-04-01
15702,50,Electricity,1236.49,2026-01-09
14898,10,Cleaning,1643.28,2025-03-28
8891,27,security,2761.05,2026-02-18
871,53,Electricity,3764.43,2026-02-15
12149,104,Electricity,1337.56,2025-12-17
1968,189,Cleaning,3654.24,2025-05-09
18204,109,Repair,8202.73,2025-12-30
3952,68,Electricity,8357.72,2025-08-20
19448,9,Cleaning,5241.76,2025-03-27
5991,122,Cleaning,182.15,2025-12-24
17715,92,Security,2926.04,2025-08-05
17444,63,Repair,1511.38,2025-11-20
16265,88,Internet,1911.73,2026-02-12
11778,6,Security,5478.35,2026-02-08
15565,58,Cleaning,2708.71,2025-04-11
8339,156,Security,4653.06,2025-08-26
3664,83,Cleaning,397.37,2025-04-14
6070,67,repair,2426.51,2026-02-14
11956,149,Security,,2025-11-17
18259,25,Electricity,7670.37,2025-11-05
405,82,Internet,3234.49,2025-07-29
12035,33,Electricity,8774.64,2025-06-19
6526,171,,9985.68,2026-02-05
16469,24,Security,7307.97,2025-06-07
3710,103,Security,9635.44,2025-03-24
17890,4,Repair,7700.69,2025-06-22
4123,17,Water,6993.44,
3982,152,Repair,8066.21,2025-09-03
16249,41,Internet,6920.54,2025-04-10
629,119,Cleaning,415.0,2025-10-15
7873,179,Internet,9404.79,2025-08-09
13361,25,Electricity,2611.24,2025-10-17
17760,77,Electricity,1675.06,2025-10-24
15576,60,Repair,5776.99,2025-07-24
19020,55,Repair,1258.09,2025-05-04
17279,46,Internet,1254.44,2025-03-15
16770,52,Repair,5665.19,2025-05-08
3684,124,Electricity,2407.49,2025-08-01
4848,119,Internet,1454.93,2025-04-27
5561,180,,3442.57,2025-05-27
5194,67,Water,9297.56,2025-05-04
5401,186,Water,2477.75,2026-01-18
2579,19,,3610.25,2025-06-27
8007,154,Repair,7577.56,2026-02-02
4163,183,Electricity,5511.28,2025-10-25
3389,3,Repair,437.84,2025-08-18
15218,193,Cleaning,1021.22,2025-08-28
3348,28,Cleaning,2062.43,2025-09-29
14584,117,Internet,4218.46,2025-04-18
12357,151,Security,8121.0,2025-11-09
5428,31,Repair,2453.93,2025-08-06
15682,136,Security,144.28,2026-01-30
16869,113,Cleaning,2176.53,2025-11-29
17268,193,Repair,5535.81,2025-07-06
2422,71,Security,282.35,2026-02-22
18102,160,,5822.94,
2595,142,,1471.62,2025-03-22
1332,46,Internet,7206.06,2025-05-30
18350,126,Water,2701.35,2025-09-25
8746,126,Water,5072.16,2025-07-01
14845,121,Internet,7991.8,2025-06-07
18957,111,Cleaning,4321.48,2025-04-19
3543,142,Water,1511.87,2025-08-13
2144,120,Internet,3177.78,2025-04-13
8897,29,Cleaning,3254.7,2025-12-30
18710,29,Repair,4635.77,2025-12-12
12084,186,Water,2149.83,2025-02-25
15144,56,Electricity,4211.64,2025-06-06
8389,60,Security,5970.71,2025-10-05
10869,173,Security,5274.77,2025-04-20
9953,125,Electricity,3901.95,2025-06-25
6177,70,Internet,5637.87,2025-04-22
11356,147,Electricity,1377.22,2025-10-20
11481,68,ELECTRICITY,6054.0,2025-12-25
2855,82,Electricity,1062.95,2025-04-04
4952,179,Water,560.07,2025-06-02
15451,185,Cleaning,5683.74,2025-05-16
17670,192,Water,5716.44,2026-01-26
15808,65,Electricity,8219.73,2025-04-04
4585,142,Internet,6931.97,2025-06-29
18481,24,Security,3998.67,2025-03-02
6810,31,Cleaning,3198.86,2025-07-21
12080,35,Cleaning,7653.99,2025-11-01
489,39,Electricity,9506.59,
2541,116,Repair,6602.48,2025-04-16
6139,113,Cleaning,6392.15,2025-12-24
5920,163,Security,5878.79,2025-07-05
11205,82,Internet,9021.45,2025-12-24
13203,96,Electricity,5577.41,2025-07-15
7157,75,Electricity,5207.32,2025-06-07
6716,55,Cleaning,4180.32,2026-02-01
185,110,Repair,2616.52,2025-09-30
11544,51,Repair,4838.7,2025-10-28
9768,2,Repair,7620.87,
14503,99,,545.18,2026-02-16
10987,90,Repair,425.94,2025-06-26
6417,185,Repair,3886.25,2025-11-14
18772,30,Electricity,7855.39,2025-10-18
17595,32,Electricity,7835.27,2025-03-03
4829,137,Internet,3137.57,2025-11-05
6756,125,Water,4523.35,2025-10-22
1606,157,Internet,,2025-07-11
278,103,Internet,,2025-03-16
13384,200,Cleaning,4342.09,2025-05-30
4930,152,Security,9196.12,2025-03-23
6326,132,,1973.73,2025-03-22
6561,142,Security,2439.51,2025-09-28
18720,79,,9221.46,2025-07-06
15957,108,Repair,7610.79,2025-09-16
8786,165,Security,4743.98,2025-03-20
9623,74,Internet,3927.09,2025-05-17
6941,92,Electricity,8129.08,2025-07-13
8187,162,Security,,2025-08-15
19045,171,Repair,5075.38,2025-09-08
410,95,Cleaning,958.3,2026-02-05
1871,92,Security,8186.96,2025-04-13
874,38,,4116.91,
18550,17,Electricity,549.18,2025-11-11
14691,34,Cleaning,8302.53,2025-08-13
3046,78,Internet,7060.32,
623,115,Cleaning,3736.2,2025-07-10
16460,17,Internet,,2026-01-03
2898,97,Electricity,2860.6,2025-07-05
3150,145,Internet,4570.74,2025-11-28
14441,32,ELECTRICITY,3259.46,2025-09-19
2874,137,Internet,4223.51,2025-09-20
1382,51,Water,3941.26,2025-06-05
5916,24,Security,887.92,2025-11-04
15221,170,Internet,8665.12,2026-01-01
6876,167,Water,4375.05,2026-02-05
8943,11,Repair,8642.59,2025-08-08
16747,52,Internet,8432.6,2025-10-11
18250,188,Internet,2155.57,2025-05-07
19058,18,,735.13,2025-05-20
3923,96,Water,7843.81,2025-06-24
10000,168,Security,2210.55,2025-03-14
9600,162,Internet,4015.1,2026-02-07
18534,123,Internet,3343.49,2025-11-01
7783,26,Internet,8798.08,2025-07-10
15855,67,Security,2344.81,2025-10-09
11830,40,Repair,469.4,
11801,111,Repair,1812.5,2025-09-04
13807,11,Repair,3989.61,2025-05-31
2573,177,Security,3248.88,2025-10-17
17886,109,Security,5358.4,2025-06-19
4697,175,Internet,5079.93,2025-12-04
5164,108,Repair,4712.14,2025-04-07
14059,153,Security,4089.82,
19778,195,Water,5209.26,2025-11-19
9865,117,internet,6945.07,2025-08-12
11471,5,,632.98,2025-09-09
15809,84,Internet,8864.53,2025-02-28
18151,122,Internet,7350.67,2025-12-21
8181,160,Cleaning,117.54,2025-12-17
7993,28,Repair,2776.42,2025-07-07
1929,163,Repair,,2025-10-01
130,195,Electricity,5131.94,2025-02-25
11979,197,Water,4705.31,2025-03-08
3749,38,Electricity,4053.94,2025-09-21
13500,72,Repair,7104.09,2026-01-13
8974,87,cleaning,842.47,
11163,8,Security,8356.25,2026-01-04
18254,123,repair,4660.87,2026-02-21
7378,16,Cleaning,4057.72,2025-06-03
6986,160,Water,3066.92,2025-03-20
1603,91,Water,2305.23,2026-02-19
18798,186,Internet,8906.48,2025-06-14
13875,71,Internet,4051.4,2025-06-04
19077,139,Electricity,9375.04,2026-02-19
6910,161,Internet,4856.51,2025-04-03
7024,69,Security,7936.99,2026-02-25
6397,85,Water,5006.98,2026-01-05
5006,134,Electricity,926.94,2025-07-01
1584,21,Electricity,4992.83,2025-06-09
11333,83,Repair,8871.31,2026-01-16
4840,139,Internet,2776.18,2025-12-27
17721,131,Cleaning,9009.03,2025-03-23
10336,167,SECURITY,7874.36,2025-10-01
4799,93,,1268.85,2025-11-07
11987,5,Electricity,,2025-09-05
14343,195,Electricity,1474.49,2025-04-22
1392,77,Security,781.29,2025-07-31
14660,96,Internet,9843.29,2025-12-13
5176,19,Water,8175.72,2025-12-27
9331,45,Security,6971.99,2026-01-02
10252,92,Internet,2566.47,2025-05-17
13022,69,Security,8675.39,2025-08-25
15242,57,Repair,,2025-10-16
12242,60,Cleaning,577.08,2025-11-12
9192,112,Cleaning,205.65,2025-05-04
18336,63,Cleaning,9601.85,2025-03-31
8965,16,Cleaning,5590.28,2025-10-15
18363,132,Electricity,3622.28,2025-11-04
5619,147,Repair,5528.18,2025-10-19
9341,144,Cleaning,6756.31,2025-05-18
16370,19,Repair,614.32,2025-04-19
1609,26,Repair,2375.44,2025-11-30
15351,106,Internet,170.77,2025-06-05
17093,142,INTERNET,9624.53,2025-11-04
9659,183,Repair,6434.67,2025-10-14
18635,180,Cleaning,2982.17,2025-06-01
4415,58,Water,4137.35,2025-11-29
378,144,Internet,281.56,2025-07-22
6080,101,Water,3597.76,2025-04-25
15037,166,Internet,3869.56,2025-03-09
1877,46,Water,5923.96,2025-08-05
9883,146,Electricity,,2025-08-28
18770,166,SECURITY,8444.2,2025-10-08
12912,70,Security,9678.09,2025-04-11
3535,55,Water,2363.43,2025-03-07
7867,196,Water,1977.48,
12529,77,Cleaning,6180.18,2025-10-31
17045,110,,893.57,2025-12-29
13084,129,Security,7033.53,2025-11-16
290,184,Electricity,5928.79,2025-06-27
9667,200,Cleaning,522.8,2025-05-15
16524,47,Internet,5474.65,2025-04-15
1399,172,Security,6190.59,2025-11-30
6323,192,Repair,5480.21,2025-05-28
2648,140,Repair,5028.99,2025-06-04
218,19,Internet,7477.59,2025-10-20
11586,116,Internet,6654.48,2025-12-20
2519,170,Internet,6892.83,2026-02-10
8037,16,Repair,2750.24,2025-07-18
16189,72,Water,6726.57,2025-10-13
11856,67,Repair,1244.03,2025-04-06
16970,117,Cleaning,4760.71,2026-02-09
6193,69,Cleaning,7838.32,2025-05-27
5968,71,Internet,919.8,2025-05-31
14355,31,Repair,988.41,2025-07-29
13244,75,Water,7035.25,2025-07-16
9511,169,Repair,5468.09,2025-09-10
18841,122,Internet,9418.29,2025-04-27
16672,70,Security,,2025-10-14
18438,98,Security,6087.14,2025-04-02
18852,179,Security,621.02,2026-01-31
19408,169,Security,2953.36,2025-05-17
17675,146,Cleaning,5723.88,2026-02-07
1164,162,Security,7447.91,2025-07-08
9502,9,Repair,7373.37,2026-02-09
12405,64,Repair,9987.05,2025-06-15
1962,129,Electricity,4128.55,2025-12-31
685,197,Cleaning,9297.29,2025-08-27
190,198,Water,2456.43,2025-12-05
6888,2,Electricity,3614.28,2025-03-20
1274,186,Water,444.21,2025-12-01
16634,114,Cleaning,1004.96,2026-01-06
