shipment_id,supplier_id,warehouse_id,product_id,quantity,shipped_date,arrival_date,status
906,6,2,4684,916.0,2024-07-25,2024-08-03,Received
1730,61,5,4198,679.0,2025-05-05,2025-05-09,Received
649,4,4,2766,426.0,2024-10-29,2024-11-11,Received
1688,29,2,133,94.0,2025-01-25,2025-02-05,Received
312,86,3,2964,955.0,2024-10-08,2024-10-10,In Transit
1497,53,1,2258,772.0,,2026-01-31,Received
433,64,2,2872,492.0,2026-01-12,2026-01-24,In Transit
1953,51,1,4102,901.0,2024-10-15,2024-10-19,Received
282,38,2,4046,858.0,2024-12-08,2024-12-15,Received
851,31,1,3311,855.0,2025-03-23,2025-03-30,Received
1797,48,2,5194,125.0,2025-05-28,2025-06-08,Received
567,48,3,5458,160.0,2025-01-17,2025-01-21,Received
1269,25,1,1448,421.0,2024-06-02,2024-06-05,Received
627,55,2,716,622.0,2025-08-02,2025-08-05,Received
1578,51,2,4131,,2024-08-06,,In Transit
1497,53,1,2258,772.0,,2026-01-31,Received
650,40,1,5076,169.0,2025-02-17,2025-02-27,Received
1286,38,3,3234,402.0,2025-07-07,2025-07-15,Received
189,63,5,5158,140.0,2024-11-05,2024-11-15,Received
1902,55,5,5349,758.0,2024-06-11,2024-06-20,Delayed
437,6,5,1618,704.0,2024-12-14,2024-12-27,Received
565,24,1,2849,718.0,2026-01-19,2026-01-27,Received
1031,32,3,2046,998.0,2024-07-05,2024-07-12,Delayed
3,45,5,5007,811.0,,2024-07-31,Received
217,56,3,1166,855.0,2025-11-22,2025-11-27,Received
797,65,1,3322,597.0,2025-05-03,2025-05-14,
238,27,3,416,281.0,,2025-05-31,Received
1697,62,1,843,992.0,2024-06-03,2024-06-09,Received
1547,6,2,3295,433.0,2024-04-27,2024-05-05,Received
658,33,4,2987,369.0,2025-05-19,2025-05-24,Received
484,69,4,4728,560.0,2025-04-15,2025-04-26,Received
205,16,2,4981,664.0,2024-06-29,2024-07-02,Received
1030,23,5,2844,312.0,2025-09-26,2025-10-05,Received
1503,20,5,3479,240.0,2025-06-04,2025-06-06,Received
691,16,4,3767,914.0,2025-12-04,2025-12-08,In Transit
1903,24,2,4589,942.0,2025-05-30,2025-06-05,Received
1132,16,3,3465,754.0,2025-10-22,2025-10-29,Received
864,7,3,3809,361.0,2024-11-25,2024-11-27,Received
1490,28,3,687,939.0,2025-06-16,2025-06-26,In Transit
112,45,5,5802,507.0,2025-01-19,2025-01-24,Received
979,40,1,1938,402.0,2024-08-18,2024-08-25,In Transit
962,30,4,3080,458.0,2024-09-16,2024-09-27,Received
1722,46,2,5126,109.0,2025-06-16,2025-06-21,RECEIVED
597,30,2,4452,159.0,2025-07-20,2025-08-02,In Transit
1716,91,4,5770,562.0,,2024-11-17,Received
980,53,1,5778,466.0,2025-09-04,2025-09-12,In Transit
1796,21,3,4784,270.0,2024-11-02,2024-11-09,In Transit
1648,91,1,1005,181.0,2025-06-28,2025-07-04,Received
788,17,5,3624,53.0,2024-12-26,2024-12-31,Received
1122,34,1,5167,597.0,2025-11-11,2025-11-23,Received
44,29,5,3710,877.0,2025-08-03,2025-08-13,Received
1908,88,4,3996,948.0,2024-06-04,2024-06-16,Received
1329,35,4,1655,626.0,2025-07-07,2025-07-13,
276,88,3,998,494.0,2024-05-23,2024-05-30,Received
448,66,2,4913,550.0,2025-02-26,2025-03-04,Received
1481,80,4,1889,58.0,2025-01-12,2025-01-17,Received
1623,46,2,2936,702.0,2024-11-30,2024-12-13,Received
1705,47,4,1719,311.0,2025-08-29,2025-09-08,in transit
672,55,3,1411,322.0,2024-05-09,2024-05-20,Received
749,87,2,1182,430.0,2026-01-30,2026-02-05,Received
1505,22,5,1116,288.0,2024-12-25,2025-01-07,Received
1555,11,2,4693,428.0,2024-10-29,2024-11-04,Received
439,1,2,3685,747.0,2024-10-22,2024-10-28,delayed
152,41,2,2745,684.0,2025-01-14,2025-01-25,Received
190,62,1,2431,415.0,2025-03-20,2025-03-25,Received
136,11,2,1285,412.0,2024-09-03,2024-09-05,In Transit
1937,31,4,4493,452.0,2025-11-04,2025-11-14,Received
391,51,5,3921,353.0,2025-02-28,2025-03-03,Received
1118,11,5,4135,325.0,2026-02-08,2026-02-18,Received
1072,44,5,3499,629.0,2026-02-08,2026-02-12,Delayed
1883,86,4,5728,452.0,2025-07-06,2025-07-16,Received
1123,5,4,3999,165.0,2024-08-01,,In Transit
1441,67,1,1026,461.0,2025-02-27,,Received
110,16,4,3482,703.0,2025-01-16,2025-01-19,Received
956,23,5,2543,644.0,2024-11-16,2024-11-28,Received
1642,37,1,737,661.0,2024-10-01,2024-10-04,RECEIVED
962,30,4,3080,458.0,2024-09-16,2024-09-27,Received
672,55,3,1411,322.0,2024-05-09,2024-05-20,Received
673,28,3,938,333.0,2024-09-25,2024-10-06,Received
1278,26,4,184,72.0,,2024-06-28,In Transit
1502,83,3,2336,523.0,2025-07-23,2025-08-04,In Transit
758,29,1,1458,617.0,2025-03-29,2025-04-05,
766,15,4,5243,269.0,2025-01-09,2025-01-21,Received
1219,25,4,4048,,2025-12-29,2026-01-02,Received
1641,42,1,4267,,2025-11-19,2025-12-01,Received
401,22,3,2595,504.0,2025-01-21,2025-01-29,In Transit
132,77,3,71,493.0,2024-05-18,2024-05-21,Received
1313,87,3,2790,971.0,2025-04-15,2025-04-21,Received
1047,55,5,2425,933.0,2024-02-23,2024-03-02,Received
175,5,5,494,857.0,2024-10-12,2024-10-14,In Transit
1812,11,5,3844,,2025-12-30,2026-01-05,Received
1051,89,5,512,602.0,2025-05-08,2025-05-13,Received
963,54,1,2497,200.0,2024-05-06,2024-05-09,Received
86,47,2,2273,991.0,2025-03-07,2025-03-09,Received
595,29,4,2614,762.0,2025-06-05,2025-06-08,Received
1965,45,4,449,333.0,2025-06-24,2025-07-06,Received
721,78,1,395,457.0,2024-07-26,2024-08-02,Received
464,67,1,3697,348.0,2025-03-21,2025-03-25,In Transit
1089,84,3,3657,97.0,2024-06-20,2024-06-26,Received
1582,87,1,621,992.0,2025-08-01,2025-08-05,In Transit
155,86,1,146,91.0,2024-03-27,2024-03-29,Received
352,55,5,1840,645.0,2024-05-30,2024-06-09,IN TRANSIT
398,70,5,312,934.0,2024-11-08,2024-11-17,Received
1106,58,1,4855,925.0,,,Received
1548,44,4,791,314.0,,2025-11-17,Received
1258,49,1,2762,683.0,2025-07-10,2025-07-13,Received
823,47,5,1097,417.0,2025-04-16,2025-04-25,Received
1291,78,4,2654,106.0,2024-03-22,2024-03-27,Received
1933,40,4,2323,785.0,2025-04-16,2025-04-23,In Transit
1293,51,1,4259,599.0,2024-02-17,2024-02-26,In Transit
671,27,4,863,466.0,2025-05-24,,Received
1234,48,2,4482,886.0,2026-02-01,2026-02-11,Received
1838,12,5,5637,365.0,2026-02-14,2026-02-23,Received
1386,7,3,4029,301.0,2024-02-22,2024-02-28,Received
887,88,5,1827,805.0,2026-01-13,2026-01-25,Received
1266,49,5,4126,768.0,2024-07-07,2024-07-13,Received
690,38,3,5791,906.0,2024-03-30,2024-04-03,Received
930,37,4,2921,52.0,2024-08-07,,Received
1909,37,2,5337,475.0,2024-09-07,,Received
492,52,5,3807,172.0,2025-02-25,2025-02-28,In Transit
1876,49,3,2814,706.0,2025-05-23,2025-05-28,Received
1061,40,1,3099,409.0,2025-03-21,,In Transit
1477,87,5,5604,365.0,2024-09-19,2024-09-27,Received
1735,5,4,5033,435.0,2024-09-19,2024-09-22,Received
730,70,3,5532,258.0,2025-10-09,,Received
1755,49,5,285,851.0,2026-01-31,2026-02-05,in transit
1416,76,4,4112,71.0,2025-08-13,2025-08-15,Received
1627,80,5,4219,356.0,2025-05-03,2025-05-14,Received
630,48,5,5366,66.0,2026-01-27,2026-02-02,Received
1389,3,4,4575,538.0,2025-11-28,2025-12-04,Received
1382,80,2,532,708.0,2024-04-21,2024-04-26,Received
1493,70,4,1506,260.0,,2025-07-16,Received
955,25,5,4286,175.0,2024-04-27,2024-04-30,In Transit
86,47,2,2273,991.0,2025-03-07,2025-03-09,Received
1855,6,4,4700,520.0,2025-03-25,2025-04-03,Received
750,45,2,3570,418.0,2024-05-28,2024-05-30,IN TRANSIT
1033,86,5,3605,808.0,2024-03-20,,Received
558,56,2,1747,794.0,2025-05-19,2025-05-23,Received
1040,72,4,1254,656.0,2025-09-09,2025-09-19,Received
281,78,3,445,208.0,2025-06-23,2025-06-29,Received
1489,79,2,353,650.0,2024-08-05,2024-08-08,In Transit
736,26,2,2896,913.0,2024-08-18,2024-08-31,RECEIVED
453,62,5,3695,379.0,2025-09-09,2025-09-11,In Transit
1275,37,2,2799,929.0,2024-10-03,2024-10-07,In Transit
1679,38,5,2843,511.0,,2025-12-19,Received
236,63,2,2405,602.0,2025-12-04,2025-12-09,Received
744,36,3,4640,120.0,2025-02-02,2025-02-07,Received
711,36,5,3467,150.0,2024-05-16,2024-05-25,
768,11,4,4925,483.0,2024-10-22,2024-11-02,Received
495,75,2,5344,523.0,2025-11-11,2025-11-24,Received
1813,14,3,1974,753.0,2024-07-17,2024-07-20,Received
335,58,3,3917,447.0,2024-05-10,2024-05-18,Received
1034,31,2,3455,623.0,2025-06-08,2025-06-18,Received
381,31,4,954,930.0,2025-01-28,2025-01-30,Received
1322,24,3,3511,498.0,2024-08-14,2024-08-19,Received
786,80,2,630,570.0,2025-08-05,2025-08-13,Received
271,42,5,3190,795.0,2025-01-24,2025-01-30,Received
91,75,2,1094,222.0,2024-08-01,2024-08-10,Received
1007,70,5,5169,561.0,2026-02-12,2026-02-15,Received
990,83,1,5283,798.0,2024-10-30,2024-11-08,Received
801,55,3,3995,361.0,2024-06-27,2024-07-10,Received
1512,33,5,4821,796.0,2025-01-28,2025-02-10,Received
215,3,1,2041,343.0,,2025-11-27,Received
1420,43,3,884,289.0,2025-02-05,,
725,10,5,1446,530.0,2024-07-07,2024-07-18,Received
300,84,1,3843,403.0,2025-04-30,2025-05-11,Received
1772,40,4,3303,254.0,2025-06-01,2025-06-04,Received
1557,57,1,2021,442.0,2024-06-26,2024-07-07,
1257,67,2,5539,520.0,2025-07-24,2025-08-02,Received
1373,16,5,5304,684.0,2025-12-27,2026-01-02,Received
854,61,3,4584,332.0,2025-08-08,2025-08-18,Received
418,33,5,843,602.0,2025-07-06,,Received
78,56,3,1487,962.0,2024-04-11,2024-04-20,In Transit
1488,61,1,3839,75.0,2024-02-25,2024-03-03,Received
1016,14,4,4866,978.0,2025-05-26,2025-05-29,Received
109,55,2,4977,131.0,2025-06-04,2025-06-16,In Transit
1721,81,3,3143,340.0,2024-04-22,2024-05-05,received
724,59,1,651,973.0,2025-11-06,2025-11-15,
1962,65,5,4219,304.0,2024-06-23,2024-06-26,In Transit
1807,74,1,2042,879.0,2024-08-29,2024-09-07,Received
715,79,3,752,898.0,2025-01-04,2025-01-15,Delayed
1379,51,1,5108,839.0,2025-10-18,2025-10-30,Received
57,74,3,2371,144.0,2024-09-09,2024-09-15,Received
153,28,3,832,101.0,2024-08-25,2024-09-06,Received
202,66,5,2494,264.0,2026-01-25,2026-02-07,Received
1216,70,5,5727,344.0,2025-02-20,2025-02-24,Received
272,29,1,1735,880.0,2025-07-06,2025-07-08,Received
761,41,4,540,499.0,2025-11-07,2025-11-09,
5,4,2,4794,528.0,2024-04-23,2024-05-04,In Transit
770,59,4,2468,410.0,2025-08-24,2025-08-27,In Transit
1633,3,5,3689,147.0,2025-05-28,2025-05-30,Received
208,1,2,626,246.0,2025-02-01,2025-02-11,Received
809,8,5,3190,833.0,2025-12-03,,Received
680,23,1,438,194.0,2025-12-13,,
1104,67,1,3624,562.0,2024-10-30,2024-11-04,Received
1673,26,5,2368,625.0,2025-06-04,2025-06-11,Received
985,6,1,2608,317.0,2025-06-20,2025-06-27,Received
815,51,1,2176,775.0,2025-08-03,2025-08-05,Received
1232,84,1,2849,496.0,2025-11-03,2025-11-11,In Transit
522,24,1,4095,942.0,2024-07-24,2024-07-30,
184,28,4,5308,680.0,2025-06-23,2025-06-28,In Transit
334,75,5,349,664.0,2024-05-31,2024-06-03,Received
1736,82,5,4686,967.0,2025-01-15,2025-01-20,Received
989,70,5,2931,274.0,2025-04-11,2025-04-19,Received
1625,18,5,2748,490.0,2025-07-16,2025-07-27,Received
96,18,4,3607,51.0,2026-01-17,2026-01-27,Delayed
1397,6,4,3152,226.0,2025-03-16,2025-03-23,Received
441,74,1,1923,54.0,2024-07-26,2024-07-29,IN TRANSIT
1632,82,2,4914,562.0,2025-05-19,2025-05-22,Received
53,54,5,1140,860.0,2025-09-11,2025-09-20,Delayed
1536,2,3,2212,88.0,2024-10-27,2024-11-06,Received
1692,13,4,2791,409.0,2025-09-12,2025-09-18,Received
1671,42,1,4880,496.0,2024-10-12,2024-10-14,Received
847,42,4,4667,289.0,2025-08-31,2025-09-12,Received
874,68,1,5113,693.0,2025-10-27,2025-10-29,Received
1942,19,4,3069,435.0,,2026-02-05,
455,42,1,1422,258.0,2025-09-24,2025-10-05,In Transit
1591,83,5,2336,775.0,2025-03-10,2025-03-19,in transit
604,1,3,3407,168.0,,2024-08-14,Delayed
1342,1,5,3112,669.0,2024-04-18,2024-04-27,Received
1840,46,1,4255,361.0,2024-12-23,2025-01-02,Received
507,43,4,4106,239.0,2024-07-22,2024-07-31,RECEIVED
834,63,4,216,669.0,2025-11-29,2025-12-08,received
329,36,1,994,,2024-09-27,2024-09-29,Delayed
145,91,4,4152,567.0,2026-02-02,2026-02-14,Received
1830,33,2,1866,78.0,2025-08-26,2025-09-02,Received
872,49,4,2379,627.0,2024-06-04,2024-06-10,Delayed
1928,59,4,5289,649.0,2024-05-03,2024-05-15,Received
709,51,1,1097,869.0,2024-08-07,2024-08-20,Received
1898,14,1,3863,736.0,2025-01-13,2025-01-24,Delayed
626,52,5,205,171.0,2025-08-12,2025-08-23,Delayed
1754,11,2,4484,293.0,2025-01-23,2025-01-27,Received
1245,70,2,1453,199.0,2024-11-19,2024-11-25,Received
310,5,4,4457,612.0,2024-10-14,2024-10-26,In Transit
1120,3,4,5741,875.0,2025-09-16,2025-09-20,Received
587,91,3,137,462.0,2024-06-01,2024-06-08,Received
1065,56,1,118,742.0,2025-05-28,2025-06-07,Received
1892,11,2,4144,963.0,2025-02-01,2025-02-13,Received
1886,16,4,3074,823.0,2026-01-12,2026-01-18,Received
606,57,2,5410,603.0,2024-05-23,2024-05-28,Received
889,20,4,4093,695.0,2024-04-19,2024-04-24,Received
1662,29,3,5469,363.0,2024-02-24,2024-02-26,Received
997,24,1,1425,99.0,2024-12-06,2024-12-09,Received
1707,23,3,442,224.0,2024-10-18,,In Transit
829,16,5,4207,,2025-11-06,2025-11-14,In Transit
894,87,4,3973,563.0,2025-08-12,2025-08-21,received
1391,6,5,3564,393.0,2025-10-18,2025-10-23,Received
1863,28,1,4810,936.0,2025-01-23,2025-01-28,Received
318,9,2,3168,333.0,2025-04-19,2025-04-21,Received
925,71,5,5714,323.0,2025-03-14,2025-03-16,
869,66,3,5490,547.0,2025-11-21,2025-11-26,Received
1957,13,2,4819,912.0,2025-04-19,2025-04-30,In Transit
491,72,5,1510,646.0,2024-03-23,2024-04-03,Delayed
1507,68,5,1681,504.0,2024-05-24,,Received
196,7,3,836,135.0,2025-05-08,2025-05-15,Received
1891,41,4,1047,542.0,2024-07-20,2024-07-27,Received
177,35,3,1649,858.0,2025-10-24,2025-10-26,Received
450,45,4,4806,235.0,2024-11-16,2024-11-18,Received
1881,27,3,899,951.0,2024-09-11,2024-09-20,In Transit
206,57,3,3723,821.0,2025-10-04,2025-10-15,In Transit
700,39,2,654,764.0,2025-09-02,2025-09-07,Received
1498,68,5,5799,107.0,,2025-09-06,Received
466,29,4,4055,165.0,2024-12-31,2025-01-08,Received
487,53,4,5040,540.0,2025-05-14,2025-05-20,In Transit
1737,91,1,3695,985.0,2025-12-05,2025-12-17,Received
106,67,4,232,864.0,2025-07-15,2025-07-21,Received
227,72,4,4528,751.0,2025-03-04,2025-03-14,In Transit
242,8,1,3062,958.0,2024-09-02,2024-09-04,Received
1197,91,2,5597,428.0,2025-03-09,2025-03-12,Received
338,28,1,4574,937.0,2025-01-25,2025-01-28,Received
34,7,4,2403,625.0,2025-08-16,2025-08-23,Received
1217,71,4,1225,294.0,2024-02-29,,received
510,15,3,2894,414.0,2024-12-19,2024-12-21,Received
1858,43,2,1491,,2025-01-10,2025-01-12,Received
1663,81,4,2754,401.0,2024-09-19,2024-09-30,Received
1637,82,3,2222,722.0,2026-01-21,2026-01-30,Received
1249,80,5,1944,404.0,,2025-07-18,Received
97,89,4,3532,959.0,2024-10-24,2024-11-03,Received
420,22,4,5015,229.0,2025-09-08,2025-09-13,Received
181,63,3,3434,437.0,2025-02-14,2025-02-19,Delayed
119,27,1,2498,,,2025-01-31,Received
1566,37,2,1868,726.0,2025-08-13,2025-08-17,Received
770,59,4,2468,410.0,2025-08-24,2025-08-27,In Transit
490,30,5,1913,869.0,2025-08-13,2025-08-25,Received
973,81,2,5787,501.0,2025-06-01,2025-06-11,In Transit
423,76,1,3586,666.0,2025-02-04,2025-02-16,Received
1764,86,2,249,879.0,2025-02-16,2025-03-01,Received
1326,9,4,715,695.0,2025-08-10,2025-08-12,In Transit
372,9,4,3341,,2024-12-06,2024-12-15,Received
412,15,5,2746,161.0,2024-10-24,2024-11-03,Received
432,69,3,2103,185.0,2024-05-08,2024-05-13,Received
1778,60,3,1227,681.0,2025-09-04,,Received
65,3,4,1413,913.0,2025-01-20,2025-01-29,Received
277,78,1,4755,,2025-10-29,,Received
19,37,2,65,,2024-12-21,2025-01-03,Received
1506,88,3,3925,473.0,2024-12-13,2024-12-16,In Transit
1470,18,1,3968,147.0,2024-08-07,2024-08-19,Received
1790,86,5,1762,309.0,2024-03-07,2024-03-13,Received
1624,63,1,1978,882.0,2024-02-25,2024-03-08,In Transit
383,74,2,3804,348.0,2025-05-18,2025-05-25,Received
258,20,5,3651,736.0,2025-07-13,2025-07-15,Received
1355,70,2,4584,424.0,2024-03-14,2024-03-25,Received
921,59,1,1561,508.0,2024-09-07,2024-09-15,In Transit
1018,1,1,868,198.0,2026-01-31,2026-02-09,In Transit
346,64,4,527,109.0,2025-06-11,2025-06-13,In Transit
409,59,3,884,835.0,2025-06-24,2025-07-02,Received
1799,16,2,4463,80.0,2025-12-23,2025-12-30,Received
13,91,5,987,264.0,2024-11-16,2024-11-19,Received
1895,53,5,3777,921.0,2025-07-24,2025-08-05,received
1351,89,4,3907,724.0,2025-06-24,2025-07-03,In Transit
1273,53,3,5556,290.0,2025-01-25,2025-02-04,Received
1761,57,4,1615,928.0,2025-06-01,2025-06-11,Received
609,83,4,2218,,2025-05-29,2025-06-01,Received
811,91,3,612,947.0,2024-06-10,2024-06-16,Received
504,42,5,4433,260.0,2025-09-20,2025-10-03,RECEIVED
1567,71,1,2321,471.0,2024-08-12,2024-08-16,Received
405,52,2,2107,187.0,2024-12-24,2025-01-02,Received
162,6,2,4835,109.0,2025-09-12,2025-09-25,Received
623,79,4,4671,902.0,2024-07-30,2024-08-05,Received
1436,91,3,1922,627.0,2024-04-03,2024-04-15,Received
970,70,4,2752,882.0,2024-08-02,2024-08-09,In Transit
1882,74,1,4988,471.0,2024-03-15,2024-03-20,Received
949,41,4,4441,279.0,2024-06-02,2024-06-08,Received
877,67,1,4066,418.0,2024-09-15,2024-09-27,
1044,80,4,5366,75.0,2025-09-07,2025-09-14,Delayed
107,11,3,4244,595.0,2025-09-06,2025-09-08,In Transit
1708,82,5,4642,66.0,2024-12-08,2024-12-10,In Transit
492,52,5,3807,172.0,2025-02-25,2025-02-28,In Transit
642,37,2,394,967.0,2025-07-29,2025-08-09,Received
1636,85,3,5013,582.0,2024-05-22,2024-05-26,Received
1562,84,2,2182,,2025-01-21,2025-01-27,Received
1973,56,4,2123,169.0,2025-09-27,2025-10-07,Delayed
1824,64,1,5471,992.0,2024-09-16,2024-09-21,In Transit
1816,11,3,997,165.0,2024-12-11,2024-12-21,Received
1543,50,2,460,731.0,2024-04-21,2024-05-02,Received
677,43,3,1589,,,2024-11-12,In Transit
1302,59,2,5606,598.0,2025-02-22,2025-03-07,RECEIVED
191,79,4,1495,412.0,2026-02-11,2026-02-16,Received
999,37,5,2858,297.0,2024-04-10,2024-04-22,Received
1818,60,4,2737,,2024-02-29,,Received
1378,75,4,1396,268.0,2025-06-07,,Received
1691,45,4,245,689.0,2025-03-13,2025-03-15,Received
1166,60,1,1028,356.0,2025-07-05,2025-07-08,In Transit
1476,37,1,3935,248.0,2025-06-29,2025-07-08,In Transit
543,70,1,3163,979.0,2024-04-16,2024-04-23,Received
1556,62,3,2493,183.0,2025-05-20,2025-05-29,Received
1094,26,1,23,611.0,2024-10-18,2024-10-22,Received
377,35,5,598,397.0,2025-05-04,2025-05-16,Received
580,67,2,5444,799.0,,2024-03-03,Received
520,61,4,5211,653.0,2025-10-13,2025-10-16,
1479,18,5,3558,753.0,,2025-07-26,Received
1413,86,4,1266,237.0,2024-09-23,2024-10-01,Received
1133,30,5,1735,93.0,2025-10-24,2025-11-05,Received
1781,36,2,5317,929.0,2025-04-12,2025-04-23,Received
179,66,5,4965,894.0,2024-08-30,2024-09-03,In Transit
374,17,5,1706,649.0,,2026-02-05,Received
835,86,4,851,844.0,2024-10-03,2024-10-11,Received
1352,60,3,3358,179.0,2025-07-26,2025-07-29,Received
560,3,2,1282,602.0,2024-03-05,2024-03-10,Received
1852,87,1,1835,357.0,2024-04-17,2024-04-26,Received
935,84,4,1785,147.0,2024-03-29,2024-04-08,Received
273,55,5,2660,141.0,2025-05-19,2025-05-25,Received
577,89,2,1922,739.0,2024-07-10,2024-07-16,Received
784,20,5,5079,982.0,2024-09-11,,Delayed
771,60,2,2116,66.0,2025-04-13,2025-04-24,Received
599,77,5,843,268.0,2025-03-19,2025-03-26,
1777,51,4,1259,273.0,2024-09-15,2024-09-27,Received
54,49,2,3927,804.0,2025-05-18,2025-05-23,Received
608,48,1,2998,810.0,2025-06-13,2025-06-24,Delayed
1814,42,1,2581,746.0,2024-06-10,2024-06-22,Received
388,58,1,664,380.0,2025-08-04,2025-08-10,Received
1495,18,1,1217,633.0,2024-03-15,2024-03-20,Received
1613,19,2,4517,315.0,2024-11-21,2024-11-24,In Transit
283,43,5,5710,209.0,2025-05-31,2025-06-03,Received
1320,20,4,4521,231.0,2025-01-17,2025-01-28,In Transit
813,81,5,3982,403.0,2024-12-29,2025-01-01,In Transit
1501,9,4,4497,991.0,2024-05-14,2024-05-18,
1683,32,2,312,259.0,2025-10-03,2025-10-11,In Transit
255,21,4,2174,439.0,,2025-04-09,Received
1158,84,4,890,524.0,2024-08-24,2024-08-31,Received
720,27,5,369,350.0,2025-11-11,2025-11-15,Received
148,89,3,1718,713.0,2025-06-20,2025-06-28,Received
1946,35,2,3621,644.0,2024-08-12,2024-08-23,Received
806,17,1,3551,124.0,2025-08-07,2025-08-20,Received
1802,56,2,4336,377.0,2024-12-10,2024-12-18,Received
581,29,4,1320,302.0,2024-09-21,2024-09-27,Received
1409,56,2,1197,391.0,2024-04-20,2024-04-25,Received
1525,17,5,1307,540.0,2025-04-26,2025-04-30,Received
714,52,5,3759,350.0,2025-06-04,2025-06-15,Received
1853,27,3,2179,612.0,2024-05-11,2024-05-21,Received
1380,36,3,1267,822.0,2024-03-07,2024-03-20,Received
1200,60,2,973,529.0,2026-02-07,,Received
1412,28,2,2133,713.0,2024-07-18,2024-07-24,Received
98,33,4,4012,307.0,2026-01-09,2026-01-19,Received
767,83,4,1409,937.0,2024-06-26,2024-07-02,Received
178,39,2,4296,161.0,2025-08-16,2025-08-19,In Transit
246,51,4,4565,617.0,2024-03-23,2024-03-25,
58,75,2,5188,188.0,2025-01-18,2025-01-30,Received
1230,80,5,2957,482.0,2025-12-29,2026-01-11,Received
1511,91,2,2817,485.0,2024-02-18,2024-02-25,Delayed
1724,40,1,413,522.0,,2025-08-24,Received
886,58,5,935,86.0,2024-05-24,2024-05-29,Received
1847,70,5,109,702.0,2025-05-26,2025-05-31,Received
1948,36,5,2368,941.0,2024-10-11,2024-10-22,Received
1621,14,5,260,,2025-04-05,2025-04-12,Delayed
1686,62,5,2484,453.0,2024-03-04,2024-03-17,Received
70,75,3,4287,539.0,2024-05-18,2024-05-25,Received
1292,77,2,3055,883.0,2025-03-06,2025-03-16,Received
1070,28,5,725,769.0,2024-09-13,2024-09-15,Delayed
1195,63,5,1352,204.0,2025-02-06,2025-02-13,Received
30,26,5,2324,316.0,2025-04-14,2025-04-18,In Transit
40,34,5,4998,100.0,2024-11-08,2024-11-16,Received
1889,6,5,5217,454.0,,2025-07-12,In Transit
1383,25,3,4234,724.0,2025-12-02,2025-12-10,In Transit
868,2,3,2837,128.0,2025-02-01,2025-02-09,Received
1659,11,1,410,884.0,2024-11-05,2024-11-14,In Transit
1901,43,5,222,213.0,2024-05-26,2024-06-05,Received
1317,38,1,496,73.0,2024-08-17,2024-08-28,
1370,89,3,2851,830.0,2025-05-11,2025-05-21,Received
4,73,1,1999,889.0,2024-05-12,2024-05-21,In Transit
