summary_id,summary_date,total_revenue,total_orders,avg_order_value
390,2025-01-24,799520.13,448.0,1784.64
645,,335564.16,335.0,
740,2026-01-09,,303.0,1756.03
389,2025-01-23,152812.17,161.0,949.14
495,2025-05-09,346036.14,321.0,1077.99
73,2024-03-13,304853.73,159.0,1917.32
293,2024-10-19,,65.0,1800.14
511,2025-05-25,259404.03,145.0,1788.99
40,2024-02-09,288050.59,328.0,878.2
315,2024-11-10,,123.0,1377.03
720,2025-12-20,141037.16,133.0,1060.43
603,2025-08-25,140688.14,95.0,1480.93
563,2025-07-16,322647.15,361.0,893.76
327,,,300.0,1815.51
497,2025-05-11,477265.08,484.0,986.08
752,2026-01-21,370608.09,365.0,1015.36
771,2026-02-09,432300.55,262.0,1650.0
630,2025-09-21,374105.18,291.0,1285.58
241,2024-08-28,569941.55,416.0,1370.05
311,2024-11-06,184610.71,164.0,1125.68
403,2025-02-06,128664.19,128.0,1005.19
382,2025-01-16,474846.7,487.0,975.04
446,2025-03-21,551439.4,473.0,1165.83
510,2025-05-24,315780.87,370.0,853.46
279,2024-10-05,121628.88,68.0,1788.66
776,2026-02-14,497820.19,390.0,1276.46
482,2025-04-26,458113.97,320.0,1431.61
617,2025-09-08,125246.86,89.0,1407.27
690,2025-11-20,,263.0,1907.94
598,2025-08-20,121551.85,150.0,810.35
760,2026-01-29,161931.06,123.0,1316.51
703,2025-12-03,581875.87,311.0,1870.98
89,,348853.16,295.0,1182.55
60,2024-02-29,504085.79,372.0,1355.07
416,2025-02-19,275682.73,199.0,1385.34
768,2026-02-06,606463.4,368.0,1648.0
517,2025-05-31,572060.26,459.0,1246.32
628,2025-09-19,763169.98,487.0,1567.08
616,2025-09-07,229839.03,121.0,1899.5
64,2024-03-04,85112.2,89.0,956.32
64,2024-03-04,85112.2,89.0,956.32
406,2025-02-09,211158.15,107.0,1973.44
625,2025-09-16,61498.97,57.0,
33,2024-02-02,,276.0,1289.14
314,2024-11-09,481378.4,298.0,1615.36
118,2024-04-27,83506.96,70.0,1192.96
64,2024-03-04,85112.2,89.0,956.32
219,2024-08-06,409737.2,270.0,1517.55
662,2025-10-23,542942.22,406.0,1337.3
278,2024-10-04,250431.47,232.0,1079.45
58,2024-02-27,529610.5,,1085.27
653,2025-10-14,371950.59,424.0,877.24
572,2025-07-25,372349.13,232.0,1604.95
63,2024-03-03,586034.5,494.0,1186.3
439,2025-03-14,741662.48,441.0,1681.77
739,2026-01-08,519614.85,385.0,1349.65
152,2024-05-31,472820.64,307.0,1540.13
528,2025-06-11,682362.08,447.0,
91,2024-03-31,,147.0,913.42
545,2025-06-28,214383.06,137.0,1564.84
235,2024-08-22,202150.98,169.0,
12,2024-01-12,466898.49,453.0,1030.68
348,,189013.01,192.0,984.44
244,2024-08-31,210330.5,149.0,
551,2025-07-04,253600.12,165.0,1536.97
754,2026-01-23,457991.29,435.0,1052.85
568,,267185.7,138.0,1936.13
309,2024-11-04,52875.11,60.0,881.25
353,2024-12-18,551404.15,397.0,1388.93
146,2024-05-25,428723.03,316.0,1356.72
190,2024-07-08,90833.22,76.0,1195.17
295,2024-10-21,407143.34,,885.09
579,2025-08-01,634537.91,471.0,1347.21
437,2025-03-12,60411.31,72.0,839.05
585,2025-08-07,140045.63,157.0,892.01
234,2024-08-21,297128.98,212.0,1401.55
195,2024-07-13,371255.57,235.0,1579.81
312,2024-11-07,180104.52,132.0,1364.43
237,2024-08-24,167412.61,121.0,1383.58
149,2024-05-28,747012.99,456.0,1638.19
457,2025-04-01,508158.79,487.0,1043.45
212,2024-07-30,545034.39,494.0,1103.31
464,2025-04-08,274148.71,332.0,825.75
202,2024-07-20,459135.19,396.0,1159.43
764,2026-02-02,452065.62,241.0,1875.79
517,2025-05-31,572060.26,459.0,1246.32
178,2024-06-26,597623.82,418.0,1429.72
700,2025-11-30,403964.37,386.0,1046.54
725,2025-12-25,598707.87,375.0,1596.55
562,2025-07-15,735434.54,459.0,1602.25
167,2024-06-15,483554.83,433.0,1116.75
682,2025-11-12,688285.64,,1801.79
340,2024-12-05,498022.49,389.0,1280.26
428,2025-03-03,676606.69,411.0,1646.24
637,2025-09-28,768004.62,402.0,1910.46
171,2024-06-19,651480.56,422.0,1543.79
472,2025-04-16,569443.16,315.0,1807.76
203,2024-07-21,155071.88,79.0,1962.94
777,2026-02-15,144445.12,91.0,1587.31
31,2024-01-31,731287.63,441.0,1658.25
538,2025-06-21,194388.06,161.0,1207.38
565,2025-07-18,412457.21,343.0,1202.5
227,2024-08-14,227702.26,161.0,1414.3
266,2024-09-22,623808.4,372.0,1676.9
70,2024-03-10,206746.41,205.0,1008.52
162,2024-06-10,371761.09,244.0,1523.61
207,2024-07-25,697211.83,402.0,1734.36
90,2024-03-30,178023.51,154.0,1156.0
8,2024-01-08,204124.74,118.0,1729.87
711,2025-12-11,255110.23,229.0,1114.02
310,2024-11-05,221525.09,127.0,1744.29
643,2025-10-04,426853.57,220.0,1940.24
454,2025-03-29,310457.17,347.0,894.69
409,2025-02-12,381487.23,245.0,1557.09
550,2025-07-03,588272.02,449.0,1310.18
39,2024-02-08,283833.06,180.0,1576.85
600,2025-08-22,574471.82,397.0,1447.03
737,2026-01-06,903946.74,495.0,1826.16
693,2025-11-23,744082.3,484.0,
249,2024-09-05,256220.65,179.0,1431.4
574,2025-07-27,307077.45,257.0,1194.85
238,2024-08-25,563350.82,,1304.05
466,2025-04-10,,188.0,1974.71
185,2024-07-03,414911.87,345.0,1202.64
135,2024-05-14,596912.1,450.0,1326.47
722,,335651.78,286.0,1173.61
527,2025-06-10,401337.12,206.0,1948.24
417,2025-02-20,481617.15,313.0,1538.71
25,2024-01-25,173245.39,138.0,1255.4
372,2025-01-06,762537.72,432.0,1765.13
361,2024-12-26,366690.97,354.0,1035.85
535,2025-06-18,68857.95,51.0,1350.16
787,2026-02-25,593873.41,495.0,1199.74
595,2025-08-17,128394.0,103.0,1246.54
299,2024-10-25,409032.49,216.0,1893.67
215,2024-08-02,572740.17,349.0,1641.09
601,2025-08-23,155225.99,169.0,
489,,333216.88,227.0,1467.92
213,,292094.19,279.0,1046.93
622,2025-09-13,299216.21,239.0,1251.95
133,2024-05-12,263940.71,132.0,1999.55
588,2025-08-10,493407.02,,1370.58
521,2025-06-04,253400.06,156.0,1624.36
567,2025-07-20,85941.57,,1408.88
195,2024-07-13,371255.57,235.0,1579.81
651,2025-10-12,,,1213.69
486,2025-04-30,287992.95,188.0,1531.88
43,2024-02-12,153228.83,77.0,1989.98
233,2024-08-20,323645.14,192.0,1685.65
444,2025-03-19,205408.8,217.0,946.58
391,2025-01-25,588435.31,340.0,1730.69
204,2024-07-22,430626.59,455.0,946.43
75,2024-03-15,794603.0,465.0,1708.82
87,2024-03-27,365708.02,218.0,1677.56
475,2025-04-19,481635.01,283.0,1701.89
381,2025-01-15,295327.84,183.0,1613.81
496,2025-05-10,563575.82,328.0,1718.22
583,2025-08-05,346727.05,351.0,987.83
358,2024-12-23,438538.52,323.0,1357.7
34,2024-02-03,95366.88,80.0,1192.09
542,2025-06-25,,416.0,1178.96
46,2024-02-15,598669.95,474.0,1263.02
330,2024-11-25,101269.47,89.0,1137.86
566,2025-07-19,153664.66,77.0,1995.64
742,2026-01-11,214106.34,159.0,1346.58
785,2026-02-23,95444.6,79.0,1208.16
127,2024-05-06,535037.35,285.0,
277,,172629.43,119.0,1450.67
261,2024-09-17,337794.36,204.0,1655.85
41,2024-02-10,685180.48,445.0,1539.73
157,2024-06-05,223307.37,216.0,1033.83
597,2025-08-19,440107.21,394.0,1117.02
507,2025-05-21,549118.11,350.0,1568.91
216,2024-08-03,134662.87,101.0,1333.3
15,2024-01-15,480817.64,438.0,1097.76
557,2025-07-10,226916.94,254.0,893.37
46,2024-02-15,598669.95,474.0,1263.02
173,2024-06-21,734529.17,466.0,1576.24
223,2024-08-10,460205.29,327.0,1407.36
679,2025-11-09,491353.81,264.0,1861.19
731,,165226.19,204.0,809.93
342,2024-12-07,174245.81,157.0,1109.85
83,2024-03-23,639166.22,408.0,1566.58
373,2025-01-07,530946.68,350.0,1516.99
396,2025-01-30,699882.1,457.0,1531.47
434,2025-03-09,94434.24,118.0,800.29
362,2024-12-27,624933.21,424.0,1473.9
692,2025-11-22,220934.21,145.0,1523.68
188,,413129.86,358.0,1153.99
317,2024-11-12,224108.05,263.0,852.12
735,2026-01-04,596404.26,320.0,1863.76
658,2025-10-19,218472.2,131.0,1667.73
57,2024-02-26,271306.07,156.0,1739.14
267,2024-09-23,498776.26,283.0,1762.46
276,2024-10-02,668420.3,346.0,1931.85
395,2025-01-29,64558.66,,1024.74
36,2024-02-05,301632.86,272.0,1108.94
32,2024-02-01,96951.26,119.0,814.72
549,2025-07-02,790954.08,471.0,1679.31
368,2025-01-02,441035.21,275.0,1603.76
248,2024-09-04,605923.31,344.0,1761.4
654,2025-10-15,557773.25,315.0,1770.71
282,2024-10-08,216238.15,200.0,1081.19
531,2025-06-14,499595.47,251.0,1990.42
784,2026-02-22,428463.61,218.0,1965.43
447,2025-03-22,121568.07,107.0,1136.15
539,2025-06-22,292964.45,228.0,1284.93
483,2025-04-27,,95.0,1669.64
400,2025-02-03,124379.18,67.0,1856.41
154,2024-06-02,,412.0,1011.85
404,2025-02-07,692212.5,354.0,1955.4
734,2026-01-03,109744.44,62.0,1770.07
753,2026-01-22,251307.9,211.0,1191.03
453,2025-03-28,361371.21,,1474.98
582,2025-08-04,410288.4,240.0,1709.54
45,2024-02-14,130492.11,104.0,1254.73
503,2025-05-17,387251.15,350.0,1106.43
501,2025-05-15,318995.91,290.0,1099.99
369,2025-01-03,161862.42,113.0,1432.41
319,2024-11-14,532853.16,403.0,1322.22
376,2025-01-10,495194.91,447.0,1107.82
427,2025-03-02,308092.34,226.0,1363.24
336,2024-12-01,193083.2,164.0,1177.34
230,2024-08-17,408370.15,277.0,1474.26
334,2024-11-29,282330.74,285.0,990.63
590,2025-08-12,336763.77,394.0,854.73
379,2025-01-13,238249.18,,1323.61
687,2025-11-17,320291.42,278.0,1152.13
134,,281255.16,253.0,1111.68
750,,464883.51,485.0,958.52
652,2025-10-13,987282.21,497.0,1986.48
303,2024-10-29,806866.87,423.0,1907.49
27,2024-01-27,,91.0,1584.22
617,2025-09-08,125246.86,89.0,1407.27
448,2025-03-23,466913.14,466.0,1001.96
695,2025-11-25,656303.79,335.0,1959.12
92,,134115.49,105.0,1277.29
485,2025-04-29,146467.82,113.0,
473,2025-04-17,315532.91,366.0,862.11
529,2025-06-12,316073.9,309.0,1022.89
275,,367036.57,326.0,1125.88
774,2026-02-12,126623.41,75.0,1688.31
677,2025-11-07,290330.9,196.0,1481.28
365,2024-12-30,491355.37,433.0,1134.77
432,2025-03-07,100054.97,62.0,1613.79
367,2025-01-01,,382.0,1741.69
408,,215776.33,153.0,1410.3
137,2024-05-16,429782.73,263.0,1634.15
208,2024-07-26,371275.72,273.0,1359.98
529,2025-06-12,316073.9,309.0,1022.89
540,2025-06-23,176836.22,136.0,1300.27
250,2024-09-06,152644.47,97.0,1573.65
468,2025-04-12,949258.04,498.0,1906.14
221,2024-08-08,492977.4,476.0,1035.67
220,2024-08-07,277350.34,170.0,1631.47
469,2025-04-13,311413.72,356.0,874.76
42,,89468.71,55.0,1626.7
636,2025-09-27,,165.0,1231.34
290,2024-10-16,508707.46,354.0,1437.03
647,2025-10-08,58933.78,62.0,950.54
11,2024-01-11,232488.96,142.0,1637.25
236,2024-08-23,524349.32,442.0,1186.31
281,2024-10-07,136379.05,119.0,1146.04
183,2024-07-01,542796.66,327.0,1659.93
173,2024-06-21,734529.17,466.0,1576.24
180,2024-06-28,328092.81,392.0,836.97
153,2024-06-01,144364.04,95.0,1519.62
570,2025-07-23,85382.22,100.0,853.82
289,2024-10-15,586849.66,309.0,1899.19
130,2024-05-09,240570.94,278.0,865.36
103,2024-04-12,160239.95,89.0,1800.45
645,,335564.16,335.0,
465,2025-04-09,308455.44,258.0,1195.56
122,2024-05-01,568874.65,428.0,1329.15
519,2025-06-02,635658.29,452.0,1406.32
397,2025-01-31,472858.57,478.0,989.24
691,2025-11-21,91562.07,66.0,1387.3
520,2025-06-03,198987.23,245.0,812.19
84,2024-03-24,503642.35,448.0,1124.2
55,2024-02-24,140526.56,110.0,1277.51
378,2025-01-12,372737.33,314.0,
175,2024-06-23,421015.93,227.0,1854.7
494,2025-05-08,101820.68,,1818.23
14,2024-01-14,120730.17,99.0,1219.5
376,2025-01-10,495194.91,447.0,1107.82
782,2026-02-20,433510.36,288.0,1505.24
755,2026-01-24,236275.01,211.0,1119.79
239,2024-08-26,458166.18,281.0,1630.48
126,2024-05-05,288720.04,182.0,1586.37
649,2025-10-10,382174.48,403.0,948.32
52,2024-02-21,716212.01,366.0,1956.86
684,2025-11-14,191398.03,134.0,1428.34
328,2024-11-23,126702.4,99.0,1279.82
763,2026-02-01,213665.24,139.0,1537.16
611,2025-09-02,475527.99,353.0,1347.1
78,2024-03-18,458738.62,,1102.74
402,2025-02-05,498993.06,290.0,1720.67
4,2024-01-04,699922.62,403.0,1736.78
211,2024-07-29,100246.52,66.0,1518.89
715,2025-12-15,627248.33,365.0,1718.49
500,2025-05-14,614321.99,318.0,1931.83
323,2024-11-18,211976.12,142.0,1492.79
371,2025-01-05,78956.59,77.0,1025.41
62,2024-03-02,469877.78,385.0,1220.46
187,2024-07-05,,411.0,981.64
732,2026-01-01,266583.32,317.0,840.96
10,2024-01-10,107501.62,92.0,1168.5
302,2024-10-28,684874.6,428.0,1600.17
548,2025-07-01,348306.1,389.0,895.39
286,2024-10-12,96672.73,114.0,848.01
80,2024-03-20,496469.81,334.0,1486.44
245,2024-09-01,364244.91,194.0,1877.55
119,2024-04-28,380375.51,246.0,1546.24
106,2024-04-15,270797.06,152.0,1781.56
209,2024-07-27,406076.61,465.0,
615,2025-09-06,614321.51,440.0,1396.19
272,2024-09-28,566767.25,413.0,1372.32
621,2025-09-12,196725.64,121.0,1625.83
499,2025-05-13,253144.06,269.0,941.06
646,2025-10-07,373209.96,397.0,940.08
594,2025-08-16,146457.71,169.0,866.61
756,2026-01-25,488091.78,490.0,996.11
370,2025-01-04,174879.13,190.0,920.42
578,2025-07-31,242622.53,291.0,
228,2024-08-15,543037.95,304.0,1786.31
729,2025-12-29,227464.66,196.0,1160.53
6,2024-01-06,738239.34,408.0,1809.41
110,2024-04-19,384107.76,253.0,1518.21
141,2024-05-20,309206.81,197.0,1569.58
58,2024-02-27,529610.5,,1085.27
400,2025-02-03,124379.18,67.0,1856.41
477,2025-04-21,302410.73,356.0,849.47
463,2025-04-07,325304.13,225.0,
320,2024-11-15,613100.39,398.0,1540.45
265,2024-09-21,229201.15,182.0,1259.35
29,2024-01-29,373160.49,229.0,1629.52
155,2024-06-03,281629.79,297.0,948.25
788,2026-02-26,100421.07,119.0,843.87
159,2024-06-07,773474.8,472.0,1638.72
638,2025-09-29,299669.72,194.0,1544.69
635,2025-09-26,654816.2,453.0,1445.51
18,2024-01-18,759368.52,395.0,1922.45
313,2024-11-08,534211.16,461.0,1158.81
581,2025-08-03,207912.38,240.0,866.3
515,2025-05-29,234389.33,,968.55
197,2024-07-15,100522.63,104.0,966.56
561,2025-07-14,745170.08,467.0,1595.65
259,2024-09-15,343771.31,267.0,1287.53
357,2024-12-22,693627.62,434.0,1598.22
7,2024-01-07,395117.26,277.0,1426.42
462,2025-04-06,270549.09,310.0,872.74
712,2025-12-12,247837.12,137.0,1809.03
452,2025-03-27,533166.28,386.0,1381.26
543,2025-06-26,706180.33,404.0,1747.97
351,2024-12-16,221776.35,205.0,1081.84
177,2024-06-25,431441.09,270.0,1597.93
655,2025-10-16,312819.22,221.0,1415.47
493,2025-05-07,152892.05,113.0,1353.03
607,2025-08-29,851326.15,432.0,1970.66
288,2024-10-14,397032.34,452.0,878.39
257,2024-09-13,371220.38,195.0,1903.69
332,2024-11-27,301566.77,351.0,859.16
305,2024-10-31,379602.13,202.0,1879.22
766,2026-02-04,488306.92,371.0,1316.19
741,2026-01-10,496090.8,477.0,1040.02
604,2025-08-26,193031.44,,1484.86
370,2025-01-04,174879.13,190.0,920.42
326,2024-11-21,636941.74,416.0,1531.11
82,2024-03-22,309738.69,234.0,1323.67
206,2024-07-24,248018.33,273.0,908.49
85,,123086.81,82.0,1501.06
786,2026-02-24,570774.54,415.0,1375.36
534,2025-06-17,209542.13,135.0,1552.16
343,2024-12-08,426389.28,358.0,
284,2024-10-10,397020.22,224.0,1772.41
374,2025-01-08,336490.72,392.0,858.39
727,2025-12-27,373747.85,302.0,1237.58
740,2026-01-09,,303.0,1756.03
701,2025-12-01,247173.89,260.0,950.67
102,2024-04-11,193454.72,,1062.94
471,2025-04-15,592722.49,,1192.6
671,2025-11-01,294279.9,154.0,1910.91
765,2026-02-03,514205.29,285.0,1804.23
576,2025-07-29,246104.95,216.0,1139.37
253,2024-09-09,278736.36,183.0,
421,2025-02-24,135621.63,82.0,1653.92
383,2025-01-17,657007.17,428.0,1535.06
63,2024-03-03,586034.5,494.0,1186.3
432,2025-03-07,100054.97,62.0,1613.79
112,2024-04-21,212820.19,159.0,1338.49
128,2024-05-07,676394.83,387.0,1747.79
726,2025-12-26,382833.88,237.0,1615.33
487,2025-05-01,378420.84,338.0,1119.59
778,2026-02-16,513850.09,294.0,1747.79
99,2024-04-08,,328.0,1308.55
780,2026-02-18,294487.05,289.0,1018.99
38,2024-02-07,696138.14,381.0,1827.13
13,2024-01-13,421178.7,301.0,1399.26
697,2025-11-27,433025.27,398.0,1088.0
205,,509938.71,470.0,1084.98
605,2025-08-27,841042.45,473.0,1778.1
491,2025-05-05,,346.0,997.04
297,2024-10-23,257779.28,153.0,1684.83
589,2025-08-11,223290.07,262.0,852.25
131,2024-05-10,439124.08,491.0,894.35
96,2024-04-05,463631.69,416.0,1114.5
287,2024-10-13,266200.24,264.0,1008.33
664,2025-10-25,343632.42,211.0,1628.59
246,2024-09-02,621430.33,335.0,1855.02
425,2025-02-28,404544.8,477.0,848.1
322,2024-11-17,816286.93,420.0,1943.54
610,,294075.8,312.0,942.55
410,2025-02-13,224793.37,169.0,1330.14
315,2024-11-10,,123.0,1377.03
640,2025-10-01,675597.64,496.0,1362.09
508,2025-05-22,161453.44,115.0,1403.94
200,2024-07-18,682488.54,,1777.31
533,,390619.38,488.0,800.45
418,2025-02-21,616598.3,369.0,1671.0
117,2024-04-26,355244.95,429.0,828.08
104,2024-04-13,378859.4,227.0,1668.98
544,2025-06-27,90472.46,,1459.23
270,2024-09-26,246695.54,301.0,819.59
591,2025-08-13,258767.65,251.0,1030.95
347,2024-12-12,349199.34,284.0,1229.58
511,2025-05-25,259404.03,145.0,1788.99
738,2026-01-07,391827.26,323.0,1213.09
300,2024-10-26,275704.42,207.0,1331.91
223,2024-08-10,460205.29,327.0,1407.36
77,2024-03-17,167984.34,96.0,1749.84
627,2025-09-18,370813.39,351.0,1056.45
602,2025-08-24,,61.0,956.29
28,2024-01-28,272296.86,158.0,1723.4
580,,511992.19,278.0,1841.7
717,2025-12-17,629405.37,402.0,1565.69
670,2025-10-31,799926.68,442.0,
435,2025-03-10,182939.17,140.0,1306.71
443,2025-03-18,,184.0,1300.56
147,2024-05-26,388830.32,319.0,1218.9
769,2026-02-07,299810.67,182.0,1647.31
599,2025-08-21,448438.97,480.0,934.25
113,2024-04-22,50899.92,52.0,978.84
65,2024-03-05,510117.9,277.0,1841.58
64,2024-03-04,85112.2,89.0,956.32
247,2024-09-03,339520.81,306.0,1109.55
460,2025-04-04,208047.18,214.0,972.18
294,2024-10-20,570297.37,289.0,1973.35
301,2024-10-27,366840.17,337.0,1088.55
424,2025-02-27,194685.41,202.0,963.79
467,2025-04-11,661849.32,367.0,1803.4
614,2025-09-05,84294.35,69.0,1221.66
620,,283119.44,306.0,925.23
414,2025-02-17,706552.85,389.0,1816.33
145,2024-05-24,341543.24,274.0,1246.51
129,2024-05-08,387877.87,211.0,1838.28
707,2025-12-07,90124.18,98.0,919.63
770,2026-02-08,425084.33,376.0,1130.54
478,2025-04-22,58385.15,56.0,1042.59
89,,348853.16,295.0,1182.55
746,2026-01-15,341789.07,271.0,1261.21
691,2025-11-21,91562.07,66.0,1387.3
76,2024-03-16,744616.66,476.0,1564.32
48,2024-02-17,485867.75,312.0,1557.27
69,2024-03-09,233834.73,232.0,1007.91
749,2026-01-18,276544.42,236.0,1171.8
762,2026-01-31,103656.64,122.0,849.64
174,2024-06-22,242762.86,173.0,1403.25
17,2024-01-17,594284.38,404.0,1471.0
143,2024-05-22,168638.72,172.0,980.46
422,2025-02-25,104345.92,79.0,1320.83
269,2024-09-25,204207.98,182.0,1122.02
743,2026-01-12,637399.61,392.0,1626.02
525,2025-06-08,252288.89,300.0,840.96
106,2024-04-15,270797.06,152.0,1781.56
58,2024-02-27,529610.5,,1085.27
718,2025-12-18,323106.8,295.0,1095.28
573,2025-07-26,453978.15,388.0,1170.05
401,2025-02-04,705963.14,496.0,1423.31
713,2025-12-13,186680.17,149.0,1252.89
50,2024-02-19,542402.11,291.0,1863.92
108,2024-04-17,400124.18,442.0,905.26
678,,122931.38,66.0,1862.6
101,2024-04-10,754375.99,415.0,1817.77
56,2024-02-25,248301.4,182.0,1364.29
279,2024-10-05,121628.88,68.0,1788.66
584,2025-08-06,487333.78,315.0,1547.09
3,,196978.44,,1601.45
696,2025-11-26,410309.65,250.0,1641.24
186,2024-07-04,471729.56,467.0,1010.13
488,2025-05-02,62018.48,77.0,805.43
30,2024-01-30,474674.29,392.0,1210.9
586,2025-08-08,466735.08,304.0,1535.31
232,2024-08-19,269675.02,244.0,
626,2025-09-17,232348.45,130.0,1787.3
316,2024-11-11,,154.0,1022.45
263,2024-09-19,537983.02,379.0,1419.48
627,2025-09-18,370813.39,351.0,1056.45
61,2024-03-01,156686.93,166.0,
705,2025-12-05,423513.61,386.0,1097.19
657,2025-10-18,477627.91,409.0,1167.79
308,2024-11-03,906950.42,494.0,1835.93
172,2024-06-20,314708.45,304.0,1035.23
484,2025-04-28,168564.65,132.0,1277.0
715,2025-12-15,627248.33,365.0,1718.49
67,2024-03-07,547571.51,282.0,1941.74
283,2024-10-09,373959.66,406.0,921.08
71,2024-03-11,490629.14,268.0,1830.71
296,2024-10-22,562212.91,492.0,1142.71
438,2025-03-13,110163.05,96.0,1147.53
405,2025-02-08,157364.34,89.0,1768.14
429,2025-03-04,372877.3,395.0,943.99
767,2026-02-05,160096.67,96.0,1667.67
706,2025-12-06,437868.24,257.0,
258,2024-09-14,191100.03,160.0,1194.38
547,2025-06-30,209448.41,183.0,1144.53
399,2025-02-02,738490.73,439.0,1682.21
111,2024-04-20,122709.48,71.0,1728.3
298,2024-10-24,554843.05,442.0,1255.3
481,,89556.35,98.0,913.84
532,2025-06-15,567485.7,342.0,1659.31
569,2025-07-22,263386.06,157.0,1677.62
68,2024-03-08,231602.54,191.0,1212.58
196,2024-07-14,368045.82,199.0,1849.48
442,2025-03-17,419958.7,269.0,1561.18
631,2025-09-22,867104.86,441.0,1966.22
166,2024-06-14,583703.7,440.0,1326.6
670,2025-10-31,799926.68,442.0,
