change_id,table_name,record_id,column_name,old_value,new_value,changed_by,changed_at,action
8060,employees,2684,salary,63742,73904,1747.0,2024-10-16 07:24:36,Update
4854,products,1695,price,4355.53,4290.88,924.0,2024-07-24 11:49:13,UPDATE
559,products,1821,price,3573.62,3234.69,1147.0,2025-10-25 07:54:33,UPDATE
2207,products,171,price,655.52,633.5,1946.0,2024-02-22 00:21:48,UPDATE
8832,products,4550,price,4645.68,4207.04,111.0,2025-07-14 11:10:14,
8037,employees,92,salary,46746,50979,1440.0,2024-01-24 11:25:23,UPDATE
9247,employees,423,,62588,71613,2505.0,2024-10-24 16:55:43,UPDATE
3151,products,3958,price,4393.06,4804.68,1585.0,2025-07-11 11:19:40,UPDATE
8622,employees,2910,salary,72140,82286,2497.0,2024-06-17 03:25:42,UPDATE
460,employees,104,salary,50802,59586,1012.0,2026-02-03 05:01:19,UPDATE
7918,products,377,price,836.93,869.72,1173.0,2024-12-15 21:49:21,UPDATE
8253,employees,624,salary,34839,38653,2978.0,2024-11-14 10:51:04,UPDATE
1264,,4364,,563.05,545.47,2341.0,,Update
4890,Products,1114,price,4261.29,4185.77,1010.0,2025-11-29 12:33:43,UPDATE
1758,products,1015,price,4195.25,4230.91,313.0,2025-03-19 00:50:51,UPDATE
9448,products,1640,price,1644.98,1573.01,529.0,2024-12-15 10:43:17,UPDATE
3731,employees,118,,33306,36536,2083.0,2024-10-14 01:40:55,UPDATE
5387,products,522,price,4454.36,4690.77,1777.0,2024-06-20 12:55:01,Update
9231,products,4122,price,2964.51,2979.24,1148.0,2025-12-02 07:05:50,UPDATE
389,products,4426,price,2333.93,2535.26,2100.0,2024-10-13 00:00:12,UPDATE
7178,employees,2064,salary,50463,58589,257.0,2024-03-01 15:52:41,UPDATE
8260,,4035,price,1886.54,1943.62,2977.0,2025-11-02 18:54:49,UPDATE
8901,products,1870,price,191.92,206.63,2853.0,2024-06-24 01:27:38,UPDATE
1394,employees,1555,salary,39275,46981,814.0,2024-08-25 03:48:09,UPDATE
32,products,2774,,2265.1,2278.8,454.0,2026-01-03 23:55:45,UPDATE
5977,employees,2968,salary,42704,50995,2318.0,2024-05-28 15:25:23,UPDATE
2888,employees,2842,salary,48694,53787,1594.0,2025-06-15 02:30:59,UPDATE
4952,products,3638,price,3211.03,3090.34,15.0,2025-05-04 00:08:42,UPDATE
3738,products,5299,price,4069.67,4417.91,1688.0,2025-04-09 20:13:58,Update
5490,employees,2093,salary,31714,36260,2555.0,2025-11-02 11:00:21,UPDATE
7934,,3272,price,402.65,383.19,921.0,2024-04-25 03:16:55,UPDATE
3529,products,2144,price,2997.15,2743.8,,2025-10-14 09:00:48,UPDATE
4209,products,2913,price,1072.62,1152.0,1464.0,2025-10-12 21:39:41,Update
8903,products,1208,price,1872.13,1797.01,,2025-12-19 19:56:27,UPDATE
966,products,3537,,1674.65,1513.91,1646.0,2024-09-29 15:45:52,UPDATE
5478,employees,2209,salary,79102,90060,1857.0,2025-06-23 12:20:18,UPDATE
7367,products,5531,price,2737.0,2682.84,79.0,2024-09-01 08:07:47,UPDATE
956,employees,2183,salary,66176,74951,2854.0,,UPDATE
6966,products,4324,price,850.58,800.3,867.0,2025-01-30 11:50:31,UPDATE
9000,products,828,price,2404.87,2583.29,815.0,2025-04-18 04:56:50,UPDATE
9715,employees,2339,salary,78395,93009,1969.0,2024-07-18 01:14:40,UPDATE
8580,employees,1439,salary,38174,42449,,2024-12-22 09:09:17,UPDATE
9934,,2358,,3458.54,3511.37,2168.0,2025-01-10 02:01:01,UPDATE
6664,products,3806,price,2048.27,2024.94,402.0,2024-06-18 08:03:50,UPDATE
6520,products,4651,PRICE,201.98,218.16,1708.0,2025-08-07 01:10:12,UPDATE
8950,products,1689,price,2032.73,2015.6,,2024-12-24 09:51:09,UPDATE
3096,products,5639,price,3790.06,3637.33,2131.0,2025-08-20 17:47:45,Update
9285,employees,2936,salary,59302,66470,2945.0,2025-01-03 00:21:20,UPDATE
7267,employees,2015,salary,42897,47391,570.0,2024-07-04 14:09:01,UPDATE
9641,products,3995,price,1963.53,1938.16,1969.0,2024-01-07 08:07:29,UPDATE
8718,Products,5744,price,4003.46,3615.9,2981.0,2025-03-16 02:45:13,
7288,products,612,price,3801.59,4014.53,2441.0,2025-01-09 20:39:51,UPDATE
4292,employees,468,salary,43358,47790,1787.0,2025-06-08 09:36:42,UPDATE
4690,products,2022,price,1004.28,910.7,74.0,2024-11-12 13:19:45,UPDATE
3717,products,1908,price,2596.82,2678.7,36.0,2025-06-04 13:05:38,UPDATE
1804,Products,2319,price,3518.22,3337.57,208.0,2024-05-03 11:14:25,UPDATE
1862,employees,227,salary,76212,86796,358.0,2025-03-14 09:56:14,UPDATE
7332,employees,312,salary,31965,35675,1717.0,2024-02-06 06:28:11,UPDATE
4280,employees,941,salary,50147,56760,990.0,2024-03-26 14:52:24,UPDATE
2262,products,4583,price,2894.4,3176.53,730.0,2024-09-05 15:17:39,update
4818,PRODUCTS,2229,price,2334.3,2252.16,2932.0,2024-12-17 10:09:36,UPDATE
6030,products,3504,price,3560.47,3904.11,524.0,2024-11-13 23:06:02,UPDATE
6190,employees,1992,salary,79879,89058,431.0,2024-09-29 07:43:21,UPDATE
3908,products,2674,price,4370.02,4195.89,,2025-05-09 09:33:10,UPDATE
5342,,2866,salary,78010,88465,2760.0,2025-06-25 13:10:49,
7386,employees,264,salary,47150,51260,1821.0,2026-02-15 16:43:47,UPDATE
4555,products,4568,price,3888.49,3635.62,2075.0,2024-08-07 07:17:06,UPDATE
3000,products,1537,PRICE,1319.68,,2438.0,2024-02-04 20:47:04,UPDATE
2815,employees,763,salary,59782,64988,1781.0,2025-10-09 17:39:13,UPDATE
6469,products,3888,price,467.77,429.78,,,UPDATE
4439,employees,2987,salary,58759,64541,1755.0,2024-01-25 23:49:19,UPDATE
5799,products,42,price,,4622.09,467.0,2025-10-28 14:26:00,UPDATE
2558,products,1625,PRICE,1926.82,1870.17,2382.0,2025-05-14 16:19:06,UPDATE
2679,employees,391,salary,37526,40534,2260.0,2024-07-09 23:28:39,UPDATE
3530,products,5655,price,3722.57,3599.94,1939.0,2025-11-22 21:16:13,UPDATE
1438,products,4517,price,3412.64,3545.69,,,UPDATE
6051,products,3122,price,2997.49,3013.71,735.0,2024-02-21 11:53:11,UPDATE
4291,products,1059,price,2598.98,2364.01,2149.0,2025-02-03 12:46:14,UPDATE
8620,products,4294,price,2033.31,2064.84,1133.0,2024-10-01 11:37:42,UPDATE
3736,products,4399,Price,2541.99,2780.85,958.0,2025-05-21 12:35:24,UPDATE
2071,,265,salary,57722,67047,1572.0,2025-11-18 04:21:17,
4725,products,1560,price,4453.57,4699.7,80.0,,
6927,employees,1895,salary,58234,69282,718.0,2025-01-24 10:19:15,UPDATE
3203,products,2452,price,270.84,245.98,1962.0,2025-10-11 12:04:24,UPDATE
6300,products,2129,price,4021.38,3895.81,344.0,,UPDATE
1817,products,740,price,746.02,788.87,231.0,2024-03-28 07:10:50,UPDATE
3307,products,4116,price,4051.87,4093.19,2804.0,2025-05-21 12:02:59,UPDATE
7936,products,3242,price,3951.25,3816.08,1889.0,2024-10-20 06:45:55,UPDATE
230,employees,936,salary,41376,43447,1468.0,2024-02-25 15:19:25,UPDATE
9124,products,1553,price,3036.65,3093.5,107.0,2024-04-03 15:35:33,UPDATE
8946,employees,2391,salary,33172,36450,2633.0,2025-09-22 01:10:46,UPDATE
4677,products,740,price,2199.8,2008.93,2754.0,2025-02-17 15:34:59,UPDATE
9404,,3237,price,535.95,547.7,1123.0,2025-02-03 13:00:17,UPDATE
6326,employees,2653,salary,58182,64109,2725.0,2025-04-02 00:41:13,UPDATE
437,employees,882,salary,47728,51979,993.0,2024-08-18 17:21:59,UPDATE
8026,employees,2235,salary,67818,72695,167.0,2025-07-05 04:23:38,UPDATE
6555,products,464,price,2932.33,3137.31,1165.0,2025-02-26 00:56:32,UPDATE
1942,employees,2976,salary,49018,54552,2562.0,2025-07-28 13:26:56,UPDATE
5411,products,2976,price,1875.71,1758.83,1907.0,2024-04-19 23:25:47,UPDATE
4939,products,3241,price,,1354.21,,2025-01-04 09:07:53,UPDATE
8344,products,2584,price,732.0,759.45,1989.0,2026-01-07 09:42:44,update
6830,,3403,price,3182.7,3346.98,323.0,2025-10-26 09:12:59,UPDATE
4949,products,5810,price,3090.15,2800.53,154.0,2025-01-02 01:10:03,UPDATE
15,products,1280,price,,914.13,2860.0,2024-10-07 05:15:26,UPDATE
4937,products,4893,price,3209.35,2922.99,2033.0,2024-01-07 06:20:13,UPDATE
7320,employees,602,salary,61607,70089,257.0,2025-02-26 06:21:37,UPDATE
6108,employees,1904,salary,31723,35384,2961.0,2024-10-30 13:53:37,UPDATE
2104,products,3971,price,4021.2,4326.8,407.0,2024-03-31 13:40:19,UPDATE
5073,employees,2131,salary,53285,61470,,2025-03-29 16:04:48,UPDATE
5760,products,133,,851.82,862.15,2048.0,2025-11-12 16:15:36,UPDATE
491,products,1611,price,291.11,262.53,,2024-05-09 04:33:43,
6454,employees,1902,salary,75308,79798,2447.0,2025-12-13 18:50:32,
9584,products,3284,price,1395.16,1412.35,1260.0,2025-11-12 09:49:56,update
4681,employees,1183,salary,44391,47625,107.0,2024-06-06 18:42:26,UPDATE
6284,employees,1680,salary,41234,46524,1292.0,2025-09-13 01:18:57,UPDATE
1383,products,3210,price,1310.54,1386.19,1931.0,2025-03-28 22:23:33,UPDATE
3467,employees,1998,salary,47426,51859,1231.0,2024-01-10 04:11:23,UPDATE
1708,employees,1742,salary,35569,42069,564.0,2024-07-16 21:24:38,Update
648,products,1054,price,1564.61,1680.16,2065.0,,UPDATE
9769,employees,307,salary,36209,42648,1186.0,,UPDATE
262,employees,723,,73634,86029,493.0,2025-11-03 06:06:33,UPDATE
1080,products,5388,price,1533.6,1529.05,2586.0,2024-09-03 06:55:38,Update
3058,products,3861,price,2283.17,2251.96,607.0,2024-11-08 23:49:36,
5013,products,2624,Price,326.2,295.34,753.0,2024-09-07 16:09:17,UPDATE
2386,products,5335,price,1766.62,1723.27,1961.0,2025-04-16 16:07:32,UPDATE
3514,products,5614,price,1369.56,1409.82,694.0,2024-12-19 09:10:20,UPDATE
8299,employees,2545,SALARY,40289,47747,1462.0,2025-12-20 23:47:44,update
86,,4455,price,2743.06,2899.78,2149.0,2024-01-08 19:46:43,UPDATE
5798,products,1869,price,1182.37,1125.98,2217.0,2025-10-03 05:27:11,UPDATE
3381,PRODUCTS,1156,price,2594.21,2521.49,1320.0,2025-07-21 11:11:15,
407,products,2855,price,3929.43,4291.96,2889.0,2024-06-12 08:22:38,UPDATE
2800,,478,,851.91,777.94,1572.0,2025-04-25 11:40:22,UPDATE
505,products,3760,price,3314.21,3059.3,1737.0,2024-07-26 19:02:17,UPDATE
8232,products,3832,price,3314.5,3259.62,1345.0,2025-07-26 17:06:46,
7247,products,5522,price,3772.97,4025.16,2155.0,2025-04-13 13:51:56,UPDATE
9817,products,558,price,2414.17,2301.21,1548.0,2025-05-17 19:15:57,UPDATE
9264,products,1434,price,868.06,922.99,1223.0,2024-10-01 03:55:55,UPDATE
5136,employees,2115,salary,32176,36551,518.0,,UPDATE
2655,products,1015,Price,2456.87,2544.22,1248.0,2024-06-26 03:35:16,Update
7777,products,3830,price,3872.45,3930.32,2619.0,2024-05-31 14:17:15,UPDATE
7582,products,4072,price,3884.47,4001.57,198.0,2024-12-22 12:27:45,UPDATE
1325,products,3927,price,3117.87,2864.49,1173.0,2024-03-05 16:43:11,
5033,products,1208,price,1316.78,1304.65,2687.0,2025-04-08 19:44:22,UPDATE
615,employees,2133,,,33960,527.0,2024-03-03 22:52:15,UPDATE
5182,products,3032,price,,993.08,236.0,2024-02-24 11:45:44,UPDATE
1055,products,1909,price,2445.59,2601.13,462.0,2024-05-22 23:15:50,UPDATE
6751,products,3472,price,1109.96,1179.97,2702.0,2025-10-12 20:34:45,UPDATE
5095,products,2511,price,,1386.24,12.0,2026-01-01 06:00:24,UPDATE
2637,products,4214,price,,926.94,2427.0,2025-04-22 03:39:55,UPDATE
7729,products,5675,PRICE,2818.27,2969.46,332.0,,UPDATE
7703,PRODUCTS,4506,price,2124.46,2240.57,,2025-08-08 11:54:21,UPDATE
7050,Employees,557,salary,44771,51866,1291.0,2024-08-10 01:16:44,UPDATE
106,products,4426,price,4650.92,4998.47,2925.0,2026-02-14 01:43:09,UPDATE
6986,products,1264,price,3205.1,3446.69,354.0,2025-04-12 07:57:14,UPDATE
4840,,2770,price,902.32,839.68,135.0,2024-04-07 19:35:41,UPDATE
5295,Products,1455,price,4101.49,4044.5,,2024-09-19 20:12:43,UPDATE
6011,products,2898,price,2774.66,3048.53,2582.0,2025-05-25 19:52:37,UPDATE
3921,products,3386,price,1759.42,1924.18,2189.0,2024-01-10 16:11:40,UPDATE
3504,products,5559,price,1169.98,1148.24,578.0,2025-09-21 14:29:59,UPDATE
6423,,1315,price,,3239.72,527.0,2025-10-10 06:05:51,UPDATE
875,products,1376,price,1711.41,1722.64,1780.0,2025-09-29 09:14:15,update
5494,Products,2592,price,4051.04,3797.06,2388.0,2024-12-17 22:41:33,UPDATE
1027,products,2370,price,2819.26,2877.78,1709.0,2024-11-11 15:15:21,UPDATE
6012,products,2486,price,2417.82,2377.26,2420.0,2025-09-12 14:03:42,UPDATE
2551,employees,84,salary,33438,37948,1484.0,2024-10-09 08:37:15,UPDATE
5417,products,4774,price,147.26,149.31,2468.0,2025-02-10 07:55:52,UPDATE
7581,products,1464,price,,1080.45,620.0,2024-04-27 06:01:15,UPDATE
7706,products,644,PRICE,1630.05,1711.39,1117.0,2025-05-06 17:37:05,UPDATE
6514,products,2024,price,4021.05,3731.76,2980.0,2024-06-07 19:04:35,UPDATE
1752,employees,1566,salary,61289,73149,519.0,2024-11-21 11:18:41,UPDATE
8452,products,439,price,4957.8,4815.77,684.0,2026-02-09 09:55:01,
9521,products,2629,price,2147.44,2072.08,2017.0,2024-03-12 01:38:12,UPDATE
5209,employees,991,salary,78025,92708,762.0,2026-01-21 23:16:56,UPDATE
2885,products,4246,PRICE,3885.28,4164.73,,2025-10-23 02:42:34,UPDATE
9224,employees,1546,,71773,76563,844.0,2024-04-29 16:48:23,UPDATE
1082,employees,251,salary,49923,55492,2081.0,2025-01-22 18:59:23,UPDATE
6952,products,5551,price,2988.78,2817.34,833.0,2024-10-15 03:40:48,UPDATE
9727,employees,2110,salary,42471,46192,806.0,2026-02-15 00:42:07,UPDATE
9587,products,3835,price,4160.86,4285.2,1919.0,2024-04-07 12:50:49,Update
4766,products,4912,price,4806.23,4722.29,71.0,2024-06-20 18:39:39,UPDATE
2884,products,3708,Price,2134.79,,2564.0,2024-10-29 17:43:00,UPDATE
9310,employees,592,,,55758,2812.0,2025-01-17 10:18:40,UPDATE
6442,products,1773,price,4439.5,4684.36,2281.0,2024-08-23 11:35:34,UPDATE
6283,products,3352,price,3833.34,3454.01,2358.0,2025-12-26 11:26:56,UPDATE
198,employees,2408,salary,73989,82775,2570.0,2024-04-18 07:18:03,Update
9873,products,3152,price,1307.8,1303.94,1196.0,2025-10-09 18:56:09,UPDATE
1622,employees,1925,salary,58183,61194,768.0,2025-12-14 01:45:39,
3880,Products,2054,price,748.42,812.38,250.0,2025-09-18 12:15:57,UPDATE
3983,,2867,salary,45392,53946,655.0,2024-12-22 14:36:31,UPDATE
669,products,2140,price,3478.44,3498.06,835.0,,UPDATE
161,products,2792,price,3142.57,3246.5,1106.0,2025-10-04 09:35:00,UPDATE
6460,employees,1443,,39280,43273,213.0,2024-12-05 03:16:12,UPDATE
5064,products,468,price,1318.27,1319.09,437.0,2024-06-01 08:15:16,UPDATE
1887,products,4434,price,3920.87,3657.18,369.0,2025-11-02 00:40:53,UPDATE
4115,products,1969,price,,4344.9,2215.0,2026-01-27 14:05:42,UPDATE
5182,products,3032,price,,993.08,236.0,2024-02-24 11:45:44,UPDATE
3316,employees,1091,salary,35830,41928,694.0,2024-01-15 00:03:20,UPDATE
993,products,2092,price,4827.81,4515.52,1821.0,,UPDATE
3115,products,4630,,4751.26,4450.31,1672.0,2025-10-15 17:17:21,UPDATE
855,products,3240,price,1333.87,1229.08,1430.0,2024-03-26 22:45:50,UPDATE
4981,products,4308,price,1201.1,1209.97,2224.0,2024-04-07 04:35:53,UPDATE
5353,products,1833,PRICE,1824.07,1647.99,983.0,2024-06-13 02:25:03,UPDATE
9479,employees,2268,salary,,63194,2768.0,2024-08-22 22:58:51,UPDATE
6586,employees,1161,salary,41319,48413,518.0,2025-06-22 15:17:33,UPDATE
7601,products,1934,PRICE,1486.1,1588.75,1358.0,2025-01-18 00:43:25,UPDATE
859,products,53,price,1496.9,1382.46,1872.0,2024-06-11 01:34:09,UPDATE
7805,employees,1708,salary,59091,64591,2855.0,2024-05-28 20:08:17,UPDATE
8311,products,2028,price,372.56,337.75,1469.0,2024-08-14 15:50:59,UPDATE
324,products,3325,price,2564.23,2588.58,1943.0,2024-07-06 12:43:26,UPDATE
