promo_id,promo_name,discount_percent,start_date,end_date,active
60,User-friendly Sale,50,2024-07-14,2024-07-25,False
61,Distributed Sale,5,2025-07-31,2025-08-04,False
62,Reverse-engineered Sale,10,2024-06-20,2024-07-02,False
63,Operative Sale,15,2026-01-06,2026-01-21,True
64,Cross-platform Sale,20,2024-02-15,2024-02-28,True
65,Compatible Sale,5,2024-11-25,2024-12-08,True
66,Profound Sale,15,2025-11-08,2025-11-13,False
67,Organic Sale,5,2025-03-08,2025-03-22,False
68,Expanded Sale,5,2026-02-04,2026-02-14,True
69,Reactive Sale,50,2025-11-11,2025-11-15,True
70,Digitized Sale,15,2024-08-21,2024-08-31,True
71,Synergized Sale,20,2024-04-20,2024-05-02,False
72,Monitored Sale,10,2025-11-27,2025-11-30,False
73,Cross-platform Sale,10,2025-01-18,2025-01-31,True
74,Secured Sale,20,2026-02-14,2026-02-24,False
75,Stand-alone Sale,15,2024-11-14,2024-11-25,True
76,Optimized Sale,15,2026-02-14,2026-02-20,True
77,Stand-alone Sale,15,2024-03-01,2024-03-04,True
78,Multi-channeled Sale,5,2024-07-09,2024-07-23,False
79,Pre-emptive Sale,25,2024-06-22,2024-07-06,False
80,User-centric Sale,20,2024-05-02,2024-05-17,True
81,Optimized Sale,10,2024-05-03,2024-05-18,True
82,Open-architected Sale,25,2024-12-28,2025-01-08,False
83,Cross-platform Sale,5,2024-12-18,2025-01-01,False
84,Up-sized Sale,25,2025-01-20,2025-02-02,True
85,Phased Sale,10,2024-03-20,2024-04-01,False
86,Right-sized Sale,10,2025-06-30,2025-07-03,False
87,Adaptive Sale,15,2025-07-24,2025-07-27,True
88,Multi-layered Sale,25,2024-08-13,2024-08-28,True
89,Business-focused Sale,25,2025-05-17,2025-05-25,False
90,Seamless Sale,10,2025-11-28,2025-12-02,False
91,Inverse Sale,25,2024-06-02,2024-06-15,False
92,Digitized Sale,50,2024-10-10,2024-10-16,True
93,Profit-focused Sale,10,2025-06-25,2025-07-03,False
94,Distributed Sale,10,2025-01-25,2025-02-04,False
95,Vision-oriented Sale,5,2024-07-10,2024-07-13,False
96,Function-based Sale,25,2024-11-27,2024-12-03,True
97,Visionary Sale,25,2025-08-24,2025-08-30,True
98,Proactive Sale,20,2025-01-29,2025-02-09,True
99,Re-engineered Sale,10,2025-05-10,2025-05-21,True
100,Business-focused Sale,10,2024-12-27,2025-01-07,True
101,Extended Sale,20,2024-03-21,2024-04-05,True
102,Extended Sale,50,2025-12-03,2025-12-13,False
103,Cloned Sale,20,2025-09-26,2025-10-07,False
104,Multi-channeled Sale,25,2024-10-19,2024-10-28,False
105,Function-based Sale,50,2024-03-24,2024-04-08,False
106,Cross-group Sale,50,2025-11-02,2025-11-10,True
107,Enhanced Sale,25,2024-04-13,2024-04-20,True
108,Virtual Sale,20,2025-04-25,2025-05-04,True
109,Future-proofed Sale,10,2025-09-21,2025-09-24,True
110,Vision-oriented Sale,50,2025-08-22,2025-09-05,True
111,Synergistic Sale,25,2024-07-15,2024-07-19,True
112,Self-enabling Sale,15,2024-12-28,2025-01-09,False
113,Enterprise-wide Sale,50,2025-10-14,2025-10-23,True
114,Phased Sale,50,2026-01-12,2026-01-26,True
115,Automated Sale,25,2024-12-17,2024-12-30,True
116,Operative Sale,10,2024-05-31,2024-06-05,False
117,Optimized Sale,15,2025-09-28,2025-10-07,False
118,Up-sized Sale,20,2026-01-26,2026-02-10,False
119,Reactive Sale,15,2025-01-23,2025-01-29,True
120,Future-proofed Sale,50,2024-05-02,2024-05-13,False
121,Self-enabling Sale,50,2025-10-11,2025-10-16,True
122,Open-source Sale,5,2025-07-24,2025-08-03,True
123,Down-sized Sale,10,2025-01-19,2025-01-22,False
124,De-engineered Sale,5,2024-12-16,2024-12-30,False
125,Fundamental Sale,5,2025-06-29,2025-07-11,True
126,Team-oriented Sale,50,2025-07-11,2025-07-18,True
127,Open-source Sale,50,2025-12-02,2025-12-17,False
128,Face-to-face Sale,15,2024-09-02,2024-09-08,False
129,Managed Sale,50,2026-02-05,2026-02-15,True
130,Profound Sale,5,2026-01-26,2026-02-01,False
131,Persevering Sale,20,2024-03-17,2024-03-24,False
132,Diverse Sale,5,2025-04-08,2025-04-14,True
133,Multi-tiered Sale,25,2025-11-24,2025-12-06,True
134,Progressive Sale,15,2026-01-12,2026-01-25,True
135,Secured Sale,5,2025-05-12,2025-05-27,True
136,Optimized Sale,15,2025-09-24,2025-10-06,True
137,Devolved Sale,15,2025-01-05,2025-01-13,False
138,Extended Sale,10,2025-09-07,2025-09-11,True
139,Profit-focused Sale,50,2024-09-22,2024-10-06,True
140,Centralized Sale,15,2025-04-11,2025-04-14,True
141,Self-enabling Sale,5,2025-09-16,2025-09-24,False
142,Fully-configurable Sale,10,2025-11-29,2025-12-13,True
143,Realigned Sale,50,2026-01-06,2026-01-13,False
144,Function-based Sale,25,2024-06-29,2024-07-13,True
145,Future-proofed Sale,5,2024-04-18,2024-05-03,True
146,Phased Sale,20,2024-10-08,2024-10-22,True
147,Function-based Sale,20,2024-03-30,2024-04-06,True
148,Cross-platform Sale,10,2025-09-03,2025-09-08,True
149,Extended Sale,15,2025-10-25,2025-11-09,True
150,Cloned Sale,20,2025-01-14,2025-01-22,True
151,Adaptive Sale,10,2025-06-17,2025-06-25,True
152,Integrated Sale,50,2024-12-18,2024-12-27,True
153,Public-key Sale,5,2025-03-16,2025-03-25,True
154,Down-sized Sale,10,2025-05-23,2025-05-31,True
155,Universal Sale,20,2025-04-20,2025-05-05,False
156,Decentralized Sale,25,2024-08-06,2024-08-13,True
157,Distributed Sale,25,2024-02-15,2024-02-22,False
158,Grass-roots Sale,15,2024-09-10,2024-09-25,False
159,Multi-tiered Sale,10,2024-10-07,2024-10-13,False
160,Face-to-face Sale,20,2024-02-26,2024-03-01,False
161,Profit-focused Sale,10,2024-11-04,2024-11-07,True
162,Reduced Sale,50,2025-01-20,2025-02-04,True
163,Re-engineered Sale,5,2025-10-10,2025-10-13,True
164,Team-oriented Sale,5,2025-09-19,2025-10-01,True
165,Virtual Sale,5,2025-03-01,2025-03-04,True
166,Phased Sale,5,2024-04-12,2024-04-27,False
167,Robust Sale,50,2025-06-02,2025-06-10,True
168,Open-architected Sale,15,2025-05-02,2025-05-05,True
169,Diverse Sale,10,2024-10-28,2024-11-05,True
170,Profound Sale,50,2025-05-24,2025-05-28,False
171,Synchronized Sale,15,2025-09-16,2025-09-27,True
172,Realigned Sale,20,2024-03-11,2024-03-18,False
173,Integrated Sale,20,2024-07-14,2024-07-29,True
174,Monitored Sale,50,2024-06-02,2024-06-15,True
175,Exclusive Sale,5,2024-05-21,2024-05-31,False
176,Virtual Sale,50,2025-08-13,2025-08-19,True
177,Grass-roots Sale,20,2024-11-06,2024-11-10,False
178,Distributed Sale,20,2025-07-03,2025-07-11,True
179,Expanded Sale,25,2025-10-28,2025-11-07,False
180,Ergonomic Sale,25,2025-11-26,2025-12-09,True
181,Reactive Sale,50,2025-06-22,2025-07-04,True
182,Optimized Sale,20,2026-02-02,2026-02-12,False
183,Enterprise-wide Sale,20,2026-01-26,2026-02-06,False
184,User-centric Sale,50,2024-07-20,2024-07-27,True
185,Fundamental Sale,25,2025-02-26,2025-03-10,True
186,Inverse Sale,15,2025-09-04,2025-09-08,False
187,Synergized Sale,15,2025-12-08,2025-12-18,False
188,Monitored Sale,50,2025-09-27,2025-10-02,True
189,Profound Sale,25,2024-05-31,2024-06-05,True
190,Streamlined Sale,25,2024-09-06,2024-09-10,True
191,Robust Sale,20,2024-09-25,2024-09-28,True
192,Adaptive Sale,20,2024-09-26,2024-10-01,True
193,Open-architected Sale,20,2025-01-25,2025-02-02,False
194,Progressive Sale,15,2026-01-31,2026-02-11,False
195,Cross-platform Sale,10,2025-12-11,2025-12-26,True
196,Business-focused Sale,50,2024-02-17,2024-03-02,False
197,Persistent Sale,10,2026-01-09,2026-01-12,False
198,Secured Sale,5,2024-09-20,2024-09-28,True
199,Future-proofed Sale,20,2024-12-17,2024-12-28,False
200,Customer-focused Sale,5,2024-08-16,2024-08-21,False
201,Phased Sale,10,2024-05-23,2024-06-07,True
202,Digitized Sale,5,2025-10-13,2025-10-16,True
203,Fully-configurable Sale,50,2025-08-26,2025-09-08,True
204,Optimized Sale,50,2025-12-29,2026-01-04,True
205,Quality-focused Sale,50,2025-11-25,2025-12-01,True
206,Universal Sale,50,2025-08-12,2025-08-17,True
207,Front-line Sale,5,2024-12-06,2024-12-14,False
208,Re-contextualized Sale,20,2024-03-07,2024-03-21,False
209,Multi-lateral Sale,50,2025-05-27,2025-06-07,True
210,Synergistic Sale,5,2025-08-12,2025-08-18,True
211,Polarized Sale,15,2024-08-06,2024-08-18,False
212,Focused Sale,5,2025-04-12,2025-04-21,False
213,Team-oriented Sale,15,2024-08-28,2024-09-02,True
214,Mandatory Sale,5,2024-10-03,2024-10-16,False
215,Switchable Sale,15,2024-11-22,2024-11-25,True
216,Synchronized Sale,20,2025-03-04,2025-03-07,False
217,Extended Sale,25,2024-10-03,2024-10-11,False
218,Team-oriented Sale,15,2025-01-29,2025-02-07,True
219,Synchronized Sale,50,2025-10-12,2025-10-21,False
220,Profound Sale,10,2024-12-07,2024-12-10,True
221,Organized Sale,20,2024-09-27,2024-10-10,False
222,Managed Sale,50,2025-03-26,2025-03-30,False
223,Optimized Sale,25,2025-10-04,2025-10-18,False
224,Function-based Sale,15,2025-06-22,2025-06-27,True
225,Robust Sale,25,2024-11-03,2024-11-08,True
226,Polarized Sale,10,2024-07-14,2024-07-21,True
227,Digitized Sale,20,2025-09-21,2025-09-26,True
228,Robust Sale,10,2026-01-07,2026-01-16,False
229,Integrated Sale,25,2025-05-26,2025-06-01,False
230,Ergonomic Sale,5,2024-09-22,2024-09-25,True
231,Adaptive Sale,15,2026-02-06,2026-02-21,False
232,Future-proofed Sale,25,2024-10-17,2024-10-30,True
233,Balanced Sale,15,2025-09-30,2025-10-04,True
234,Progressive Sale,20,2026-01-15,2026-01-30,False
235,Universal Sale,10,2024-12-07,2024-12-20,True
236,Monitored Sale,50,2024-08-23,2024-08-30,False
237,Implemented Sale,5,2024-08-06,2024-08-12,False
238,Profound Sale,25,2024-08-12,2024-08-17,False
239,Upgradable Sale,50,2025-12-19,2025-12-26,True
240,Business-focused Sale,20,2024-10-18,2024-10-29,True
241,Future-proofed Sale,25,2024-02-17,2024-02-25,False
242,Public-key Sale,25,2024-08-01,2024-08-08,True
243,Persistent Sale,10,2025-04-16,2025-04-20,False
244,Visionary Sale,25,2024-12-07,2024-12-21,False
245,Fundamental Sale,15,2024-03-13,2024-03-17,True
246,De-engineered Sale,20,2025-02-16,2025-02-19,False
247,Multi-lateral Sale,10,2024-12-22,2025-01-03,True
248,Organic Sale,20,2026-01-13,2026-01-27,True
249,Exclusive Sale,25,2024-08-30,2024-09-03,True
250,Managed Sale,20,2025-04-03,2025-04-08,True
251,Reverse-engineered Sale,50,2025-02-15,2025-02-19,False
252,Mandatory Sale,25,2024-03-30,2024-04-06,False
253,Robust Sale,25,2025-05-28,2025-06-08,True
254,Streamlined Sale,25,2025-05-25,2025-06-05,True
255,Fully-configurable Sale,20,2025-12-24,2025-12-27,False
256,Seamless Sale,50,2025-11-11,2025-11-21,False
257,Business-focused Sale,15,2026-01-02,2026-01-13,True
258,Total Sale,10,2025-05-16,2025-05-23,True
259,Customizable Sale,10,2024-07-14,2024-07-23,False
260,Compatible Sale,5,2024-12-14,2024-12-29,True
261,Business-focused Sale,10,2024-08-20,2024-08-26,False
262,Profit-focused Sale,50,2024-07-24,2024-08-05,True
263,Profound Sale,15,2025-04-28,2025-05-10,True
264,Triple-buffered Sale,15,2025-10-11,2025-10-18,False
265,Secured Sale,5,2024-03-30,2024-04-02,False
266,Enterprise-wide Sale,5,2024-06-02,2024-06-15,True
267,Re-engineered Sale,20,2025-10-17,2025-10-30,True
268,Sharable Sale,20,2024-12-27,2025-01-02,True
269,Synergized Sale,50,2024-04-13,2024-04-21,True
270,Organized Sale,50,2025-10-24,2025-11-02,False
271,Self-enabling Sale,15,2025-09-06,2025-09-15,False
272,Down-sized Sale,50,2025-08-12,2025-08-18,True
273,De-engineered Sale,25,2025-10-22,2025-11-01,True
274,Decentralized Sale,50,2024-10-30,2024-11-07,True
275,Synchronized Sale,50,2025-11-02,2025-11-08,True
276,User-centric Sale,50,2024-10-10,2024-10-17,False
277,Down-sized Sale,15,2024-03-02,2024-03-16,False
278,Open-source Sale,20,2025-05-31,2025-06-04,True
279,Open-architected Sale,50,2024-10-31,2024-11-09,False
280,Inverse Sale,10,2024-04-16,2024-04-25,True
281,Realigned Sale,20,2024-03-26,2024-04-08,True
282,Proactive Sale,10,2024-12-21,2025-01-01,True
283,De-engineered Sale,25,2025-09-19,2025-09-25,False
284,Proactive Sale,20,2024-03-02,2024-03-07,False
285,Function-based Sale,5,2024-10-02,2024-10-15,False
286,Organic Sale,15,2025-08-23,2025-08-26,True
287,Upgradable Sale,20,2024-06-21,2024-06-24,True
288,Enhanced Sale,15,2025-03-18,2025-03-23,True
289,Stand-alone Sale,25,2025-08-03,2025-08-12,True
290,Open-source Sale,20,2025-08-01,2025-08-06,True
291,Reverse-engineered Sale,15,2026-01-08,2026-01-17,True
292,Visionary Sale,10,2025-10-15,2025-10-21,True
293,Multi-channeled Sale,10,2024-08-17,2024-08-27,True
294,Cross-group Sale,50,2025-02-26,2025-03-03,True
295,Fully-configurable Sale,20,2024-06-26,2024-06-29,False
296,Monitored Sale,15,2024-04-28,2024-05-02,False
297,Ameliorated Sale,20,2026-02-09,2026-02-15,True
298,Optimized Sale,15,2026-01-19,2026-01-25,False
299,Persevering Sale,5,2025-07-02,2025-07-14,True
300,Business-focused Sale,10,2024-03-09,2024-03-21,True
301,Front-line Sale,20,2024-12-24,2025-01-08,False
302,Integrated Sale,5,2024-12-08,2024-12-16,False
303,Public-key Sale,15,2024-09-11,2024-09-25,False
304,Digitized Sale,20,2024-02-25,2024-03-09,False
305,Programmable Sale,25,2024-06-17,2024-06-22,True
306,Extended Sale,5,2024-04-05,2024-04-12,False
307,Mandatory Sale,15,2025-04-08,2025-04-14,False
308,Decentralized Sale,25,2026-02-14,2026-02-22,True
309,Proactive Sale,10,2024-05-16,2024-05-21,False
310,Realigned Sale,5,2025-10-15,2025-10-23,True
311,Upgradable Sale,25,2024-11-16,2024-11-25,True
312,Sharable Sale,20,2025-09-17,2025-09-27,False
313,Compatible Sale,50,2024-09-03,2024-09-11,False
314,Optional Sale,15,2025-10-27,2025-11-03,True
315,Reactive Sale,25,2024-12-29,2025-01-06,True
316,Polarized Sale,5,2024-06-14,2024-06-27,False
317,Intuitive Sale,25,2025-09-30,2025-10-11,True
318,Polarized Sale,50,2025-12-06,2025-12-11,False
319,Multi-layered Sale,20,2024-08-14,2024-08-26,False
320,Diverse Sale,10,2025-07-31,2025-08-08,False
321,Public-key Sale,15,2024-08-08,2024-08-16,False
322,Ergonomic Sale,50,2026-01-16,2026-01-26,True
323,Assimilated Sale,10,2024-09-19,2024-10-02,False
324,Business-focused Sale,15,2024-03-18,2024-03-21,True
325,Organic Sale,5,2024-09-01,2024-09-09,True
326,Fully-configurable Sale,50,2024-11-26,2024-12-03,False
327,Compatible Sale,25,2025-12-08,2025-12-15,True
328,Optional Sale,50,2025-05-06,2025-05-09,True
329,Organized Sale,50,2026-02-02,2026-02-05,True
330,Switchable Sale,20,2025-04-19,2025-04-29,True
331,Intuitive Sale,20,2026-02-12,2026-02-15,True
332,Automated Sale,25,2024-04-02,2024-04-15,True
333,Seamless Sale,25,2025-06-05,2025-06-17,True
334,Multi-layered Sale,50,2025-01-15,2025-01-20,False
335,Down-sized Sale,50,2025-09-14,2025-09-18,False
336,Function-based Sale,20,2024-06-08,2024-06-11,True
337,Managed Sale,5,2024-12-26,2025-01-08,True
338,Persevering Sale,25,2025-09-28,2025-10-09,False
339,Progressive Sale,25,2025-05-03,2025-05-17,True
340,Open-source Sale,10,2024-08-06,2024-08-18,False
341,Profit-focused Sale,15,2025-01-05,2025-01-08,True
342,Proactive Sale,5,2024-09-08,2024-09-11,False
343,Profit-focused Sale,15,2026-01-24,2026-01-29,False
344,Managed Sale,25,2025-09-02,2025-09-13,False
345,Cross-group Sale,10,2024-12-25,2024-12-28,False
346,Enhanced Sale,25,2024-09-06,2024-09-16,False
347,Extended Sale,15,2025-10-27,2025-11-11,True
348,Team-oriented Sale,15,2025-05-08,2025-05-14,True
349,Intuitive Sale,25,2025-09-11,2025-09-14,True
350,Sharable Sale,10,2025-03-19,2025-04-02,True
351,Progressive Sale,20,2025-03-22,2025-03-27,False
352,Optional Sale,50,2025-02-11,2025-02-19,True
353,Progressive Sale,20,2025-06-29,2025-07-02,True
354,De-engineered Sale,10,2024-12-25,2025-01-04,False
355,Reactive Sale,20,2024-07-26,2024-07-30,True
356,Self-enabling Sale,50,2024-04-11,2024-04-20,True
357,Configurable Sale,15,2025-03-23,2025-04-02,False
358,Multi-layered Sale,10,2025-07-12,2025-07-24,True
359,Realigned Sale,20,2024-04-08,2024-04-14,False
360,Innovative Sale,50,2024-03-28,2024-04-06,True
361,User-friendly Sale,20,2024-10-29,2024-11-09,False
362,Front-line Sale,10,2024-10-13,2024-10-19,True
363,Open-architected Sale,5,2024-06-26,2024-07-01,True
364,Devolved Sale,50,2024-08-08,2024-08-12,False
365,Visionary Sale,15,2024-06-06,2024-06-09,True
366,Versatile Sale,50,2025-05-22,2025-05-26,True
367,Multi-layered Sale,15,2024-06-11,2024-06-24,True
368,Monitored Sale,20,2024-03-10,2024-03-17,False
369,Configurable Sale,5,2025-07-10,2025-07-21,True
370,Devolved Sale,25,2025-10-18,2025-10-23,True
371,Intuitive Sale,20,2024-09-13,2024-09-23,True
372,Mandatory Sale,50,2024-11-11,2024-11-15,False
373,Inverse Sale,5,2025-10-13,2025-10-22,False
374,Visionary Sale,20,2026-01-24,2026-02-01,True
375,Ameliorated Sale,15,2024-06-20,2024-06-24,True
376,Face-to-face Sale,50,2026-01-27,2026-02-05,False
377,Public-key Sale,5,2025-12-22,2026-01-01,True
378,Horizontal Sale,20,2026-02-13,2026-02-24,True
379,Up-sized Sale,50,2025-11-18,2025-11-23,False
380,Cross-group Sale,5,2024-10-07,2024-10-14,False
381,Proactive Sale,15,2024-09-29,2024-10-12,True
382,User-centric Sale,25,2024-08-07,2024-08-15,True
383,Diverse Sale,20,2025-01-24,2025-02-08,False
384,Business-focused Sale,20,2026-01-30,2026-02-09,True
385,Operative Sale,5,2024-10-10,2024-10-23,True
386,Multi-layered Sale,10,2025-01-26,2025-02-03,True
387,Innovative Sale,20,2024-07-04,2024-07-15,True
388,Multi-channeled Sale,5,2025-05-27,2025-06-05,True
389,Inverse Sale,15,2025-01-23,2025-01-27,False
390,Team-oriented Sale,20,2025-10-13,2025-10-19,True
391,Polarized Sale,10,2025-06-02,2025-06-15,False
392,Integrated Sale,20,2024-08-29,2024-09-09,False
393,Polarized Sale,15,2025-09-01,2025-09-11,False
394,Integrated Sale,25,2024-12-30,2025-01-08,False
395,Open-architected Sale,25,2025-02-12,2025-02-20,False
396,Quality-focused Sale,50,2025-03-26,2025-04-01,True
397,Assimilated Sale,10,2024-04-08,2024-04-11,False
398,Versatile Sale,20,2024-04-29,2024-05-02,True
399,Phased Sale,5,2026-01-03,2026-01-08,False
400,Multi-tiered Sale,5,2024-05-11,2024-05-23,True
401,Front-line Sale,15,2024-11-05,2024-11-18,True
402,Optimized Sale,20,2024-04-09,2024-04-14,True
403,Expanded Sale,5,2025-07-01,2025-07-16,False
404,Down-sized Sale,15,2025-02-14,2025-02-25,False
405,Profound Sale,20,2025-04-08,2025-04-17,True
406,Function-based Sale,5,2024-03-07,2024-03-15,True
407,Reverse-engineered Sale,25,2024-11-15,2024-11-28,False
408,Switchable Sale,5,2025-02-25,2025-03-01,False
409,Implemented Sale,10,2025-01-24,2025-02-06,True
410,Diverse Sale,50,2025-11-07,2025-11-12,True
411,Persevering Sale,10,2024-12-03,2024-12-18,True
412,Front-line Sale,25,2024-07-19,2024-07-22,False
413,Down-sized Sale,20,2024-06-14,2024-06-23,False
414,Reverse-engineered Sale,10,2024-05-30,2024-06-04,True
415,Seamless Sale,25,2024-10-25,2024-11-01,False
416,Business-focused Sale,20,2025-08-03,2025-08-13,False
417,Organic Sale,10,2024-03-02,2024-03-08,True
418,Implemented Sale,25,2024-04-05,2024-04-16,False
419,Reduced Sale,10,2024-06-09,2024-06-21,False
420,Organic Sale,20,2024-03-22,2024-04-05,True
421,Exclusive Sale,50,2026-01-31,2026-02-03,True
422,Right-sized Sale,20,2024-04-04,2024-04-10,False
423,Multi-tiered Sale,5,2026-01-29,2026-02-09,False
424,Reverse-engineered Sale,25,2025-06-18,2025-06-29,True
425,Streamlined Sale,15,2025-05-02,2025-05-14,False
426,Exclusive Sale,50,2025-07-14,2025-07-18,True
427,Advanced Sale,5,2024-07-28,2024-08-04,False
428,Quality-focused Sale,5,2025-03-16,2025-03-20,True
429,Distributed Sale,15,2024-07-30,2024-08-08,False
430,Versatile Sale,5,2024-06-09,2024-06-18,True
431,Horizontal Sale,10,2024-12-06,2024-12-19,True
432,Implemented Sale,20,2025-04-12,2025-04-17,True
433,Polarized Sale,5,2024-06-17,2024-07-01,True
434,De-engineered Sale,10,2025-12-21,2026-01-05,False
435,Implemented Sale,50,2025-09-19,2025-09-27,False
436,Re-contextualized Sale,15,2025-04-17,2025-04-25,False
437,Optional Sale,50,2025-04-26,2025-05-11,True
438,Integrated Sale,5,2024-07-17,2024-07-22,False
439,Expanded Sale,25,2024-03-16,2024-03-26,True
440,Vision-oriented Sale,50,2025-02-12,2025-02-22,False
441,Managed Sale,10,2024-06-11,2024-06-18,False
442,Centralized Sale,20,2025-12-12,2025-12-17,True
443,Horizontal Sale,15,2025-06-20,2025-06-24,False
444,Business-focused Sale,20,2024-02-15,2024-02-27,True
445,Mandatory Sale,20,2025-07-18,2025-08-02,False
446,Fundamental Sale,5,2026-02-06,2026-02-18,False
447,Cross-platform Sale,5,2025-11-04,2025-11-15,False
448,Proactive Sale,15,2024-09-06,2024-09-09,True
449,Cross-platform Sale,15,2025-12-24,2026-01-06,False
450,Vision-oriented Sale,15,2024-12-07,2024-12-12,True
451,Public-key Sale,5,2024-06-02,2024-06-12,True
452,Public-key Sale,20,2025-03-29,2025-04-01,False
453,Phased Sale,5,2024-08-29,2024-09-10,True
454,Secured Sale,10,2024-08-15,2024-08-26,True
455,Synergistic Sale,25,2025-12-18,2025-12-30,True
456,Networked Sale,50,2025-02-18,2025-03-03,True
457,Phased Sale,15,2025-10-18,2025-11-02,True
458,Polarized Sale,50,2025-01-10,2025-01-17,True
459,Versatile Sale,10,2024-04-13,2024-04-16,True
460,Multi-layered Sale,50,2026-02-14,2026-02-23,True
461,Synergized Sale,15,2024-07-11,2024-07-23,True
462,Profit-focused Sale,25,2024-12-20,2024-12-27,True
463,Cross-group Sale,15,2025-06-11,2025-06-18,False
464,Reactive Sale,50,2025-04-23,2025-04-27,True
465,Polarized Sale,10,2025-09-27,2025-10-12,False
466,Total Sale,20,2024-05-03,2024-05-13,True
467,Operative Sale,25,2024-12-23,2024-12-29,False
468,Switchable Sale,50,2025-04-11,2025-04-23,True
469,Realigned Sale,25,2024-12-07,2024-12-10,True
470,Optional Sale,20,2025-05-18,2025-06-01,True
471,Assimilated Sale,10,2025-03-03,2025-03-18,False
472,Triple-buffered Sale,5,2025-11-20,2025-11-24,True
473,Triple-buffered Sale,5,2025-06-25,2025-07-01,True
474,Configurable Sale,15,2024-08-05,2024-08-19,False
475,Organized Sale,5,2024-07-02,2024-07-08,False
476,Self-enabling Sale,5,2024-03-09,2024-03-20,False
477,Multi-channeled Sale,50,2024-08-03,2024-08-11,True
478,Multi-channeled Sale,20,2025-01-04,2025-01-12,True
479,Mandatory Sale,25,2025-10-21,2025-11-05,False
480,Compatible Sale,5,2025-09-21,2025-10-01,True
481,Total Sale,25,2025-12-22,2025-12-26,False
482,Multi-tiered Sale,10,2024-07-15,2024-07-18,False
483,Stand-alone Sale,15,2024-09-18,2024-10-03,True
484,Multi-channeled Sale,15,2025-07-18,2025-07-21,False
485,Proactive Sale,20,2025-04-20,2025-05-02,True
486,Synergized Sale,25,2025-03-21,2025-03-26,True
487,Synergized Sale,10,2024-03-16,2024-03-19,True
