email_id,campaign_id,sent_date,emails_sent,emails_opened,emails_clicked
117,196,2024-07-26,12530,13062,4869
118,131,2024-04-27,43343,13133,3850
119,103,2025-03-26,45449,13664,1835
120,152,2025-06-09,27133,9350,153
121,62,2025-09-24,12369,15334,1107
122,162,2024-06-06,31081,9046,663
123,98,2024-09-17,26254,4425,3312
124,34,2025-08-26,24675,9855,3204
125,212,2025-02-17,4590,12696,3652
126,135,2024-06-26,15589,3814,1262
127,76,2024-10-27,11690,17461,2884
128,87,2024-08-25,47102,15360,408
129,97,2025-01-03,48821,14819,4634
130,137,2025-12-13,13835,14569,4283
131,12,2025-08-09,40078,6188,3391
132,85,2025-08-13,17491,12703,4014
133,30,2024-03-22,19650,2224,948
134,42,2024-12-11,35091,14618,4506
135,23,2025-06-15,14229,11931,161
136,197,2025-10-09,49655,2878,2105
137,241,2025-07-07,15524,10186,1898
138,65,2025-01-11,39350,9423,783
139,65,2024-04-15,23749,13938,2316
140,88,2025-04-12,3131,326,291
141,79,2025-05-09,28365,353,4424
142,5,2025-06-08,49512,17847,773
143,225,2025-04-14,3360,11771,317
144,190,2025-05-17,13633,2628,3973
145,28,2026-01-21,49001,11755,3065
146,88,2025-01-02,26320,18086,188
147,119,2026-02-11,32645,3860,4786
148,40,2024-11-09,34079,7096,4577
149,157,2024-07-20,25348,10445,2967
150,228,2025-06-26,26048,4036,2269
151,158,2024-07-20,12460,6337,1652
152,245,2025-08-14,13614,6342,3157
153,153,2025-02-19,12703,3262,3383
154,203,2025-05-26,38748,17302,648
155,128,2024-09-25,25001,17153,448
156,127,2025-01-22,10676,5581,1267
157,14,2024-03-03,17297,15461,4748
158,4,2025-12-12,24003,5510,1877
159,205,2025-03-04,1474,5088,3124
160,131,2024-09-24,10705,12815,4896
161,220,2024-08-25,39668,9192,2766
162,77,2026-01-14,13711,3527,3635
163,76,2024-02-08,14206,9878,3998
164,123,2024-04-28,5772,2122,3572
165,229,2025-01-19,48810,6728,82
166,168,2024-09-26,14418,16171,2976
167,116,2024-11-07,1922,18513,1856
168,13,2025-07-01,8161,1684,936
169,166,2024-04-19,15322,5418,1420
170,71,2024-02-17,39823,1353,4170
171,66,2024-09-08,33289,15492,4874
172,17,2025-07-10,48706,15319,4047
173,186,2025-04-13,27007,4748,2560
174,86,2025-04-03,3231,18609,4535
175,222,2024-05-19,31812,8890,512
176,160,2024-12-07,17429,864,272
177,2,2025-04-11,11486,10341,1217
178,54,2025-07-12,24249,4641,3654
179,24,2024-03-06,20730,14726,738
180,73,2024-05-16,14244,9778,1945
181,132,2025-12-24,16646,7395,544
182,76,2025-10-16,4195,6081,2981
183,223,2025-10-22,43418,2708,2044
184,78,2026-01-22,14858,4392,1628
185,33,2025-05-15,7880,17824,1068
186,48,2025-01-20,20803,10817,3928
187,185,2024-07-08,45232,12669,447
188,93,2024-11-15,16510,967,3198
189,16,2025-01-08,48900,3901,1860
190,62,2024-01-26,45319,551,2640
191,242,2025-11-14,26524,8214,2452
192,106,2024-01-17,36280,6496,3230
193,147,2025-05-17,22206,18029,157
194,150,2024-03-12,1044,9579,797
195,23,2024-08-24,45106,13593,3445
196,128,2024-10-25,26377,8208,564
197,224,2025-06-08,4305,9003,4282
198,246,2024-08-14,37895,11075,3373
199,92,2024-01-10,4453,17755,4185
200,195,2025-11-11,9292,19749,1621
201,188,2025-12-05,22996,2279,4787
202,36,2024-08-04,4002,17792,3165
203,192,2024-06-15,49334,12747,4427
204,120,2024-06-01,25408,12583,2292
205,163,2025-02-02,12434,9977,4591
206,7,2024-06-12,43119,15760,1565
207,26,2024-05-29,32366,7047,2850
208,86,2024-03-18,23318,15941,4749
209,6,2025-02-17,9346,16325,2339
210,53,2024-12-18,30911,2929,937
211,59,2024-05-09,48718,1119,4406
212,166,2024-01-17,28251,6553,3472
213,22,2025-11-25,7238,13831,1128
214,222,2024-03-08,26796,19784,1734
215,238,2025-07-28,42592,8211,2618
216,202,2025-11-03,49729,12941,4696
217,87,2025-08-12,44020,3438,2039
218,233,2025-02-01,37117,2062,4466
219,209,2025-05-04,6942,3013,74
220,21,2025-10-17,5494,10824,2642
221,87,2025-08-04,33325,8024,4904
222,30,2024-05-12,17199,15598,3501
223,60,2024-02-23,6232,8506,1364
224,176,2024-10-30,40614,19106,719
225,93,2025-12-18,11464,10512,481
226,142,2024-08-13,42421,11419,1407
227,214,2025-10-04,29863,14680,3911
228,120,2024-12-28,19869,1758,4014
229,226,2024-02-16,28090,7384,4712
230,140,2026-02-08,31427,9172,2048
231,164,2024-04-10,13958,1799,430
232,231,2024-04-22,40814,9218,4675
233,199,2024-06-16,21121,19233,3771
234,154,2024-11-24,34118,4607,1846
235,215,2025-04-16,36200,13492,1358
236,137,2024-12-05,11694,420,2424
237,221,2025-07-22,12287,9021,2412
238,137,2025-08-19,23934,14414,2480
239,180,2025-09-24,7027,16584,3165
240,231,2024-03-08,45650,8814,3826
241,89,2024-11-24,3232,1682,4793
242,209,2025-01-27,5635,11108,4053
243,233,2025-06-23,22628,7537,1079
244,160,2025-01-25,47800,17989,694
245,160,2025-02-24,18726,14138,1150
246,245,2025-05-23,26531,14778,1003
247,205,2025-12-31,45721,15850,3401
248,33,2024-12-02,48414,18180,3893
249,176,2025-02-12,8343,8710,3824
250,92,2026-02-07,30806,17616,2981
251,168,2025-10-06,47273,1049,1588
252,250,2024-03-05,35194,6920,2655
253,216,2024-06-19,5988,18987,619
254,50,2024-03-17,5118,7958,3474
255,33,2024-07-29,11507,11007,1829
256,11,2025-08-28,1322,13449,3926
257,104,2025-09-10,19534,13494,4515
258,81,2024-08-04,19138,19287,3291
259,107,2026-01-27,25719,8360,2214
260,150,2025-04-30,22563,2125,252
261,88,2026-01-03,39515,16464,2026
262,59,2025-11-03,27737,13031,2815
263,163,2024-06-03,18787,11917,3039
264,106,2025-12-13,49124,17568,3116
265,158,2025-07-23,9494,3531,1880
266,68,2024-12-13,44452,15350,3390
267,136,2025-10-18,22677,15508,2594
268,238,2025-09-10,8466,15692,702
269,49,2024-08-19,12802,8998,4425
270,110,2024-03-10,15723,2896,3153
271,31,2025-02-12,48957,5867,3539
272,237,2025-01-05,38508,12078,981
273,197,2024-10-13,16919,16201,3682
274,159,2025-02-23,7628,3918,490
275,70,2024-07-15,25613,16463,3658
276,48,2025-05-13,24772,13260,3339
277,222,2024-01-07,46673,379,4043
278,167,2026-01-19,44181,12429,1870
279,134,2025-11-07,18551,5985,2304
280,129,2025-06-11,5591,16715,4102
281,100,2025-08-11,37351,11013,4641
282,188,2024-02-28,27165,10751,2920
283,106,2024-12-06,23078,9610,3776
284,58,2024-07-15,37071,18184,2146
285,219,2025-08-02,47636,14246,3169
286,228,2024-09-24,48899,14088,1030
287,44,2025-03-10,15253,2961,62
288,102,2024-03-30,24392,3221,2462
289,51,2024-08-31,22315,5869,591
290,6,2024-01-12,25270,1615,4819
291,70,2025-04-08,44929,428,1930
292,101,2024-03-16,36277,10337,2665
293,128,2025-08-26,22534,2279,784
294,154,2025-11-07,9952,15136,2355
295,241,2025-01-04,14598,19780,809
296,159,2024-11-26,18886,12908,1098
297,161,2024-10-18,31833,15069,1819
298,8,2024-08-31,29223,3851,1896
299,104,2024-01-04,13351,19078,1208
300,5,2025-09-22,40834,15146,605
301,216,2024-05-24,40274,1541,2358
302,190,2026-01-18,7705,17658,1220
303,35,2024-01-11,1822,18522,1294
304,189,2024-04-09,49526,19662,2751
305,45,2025-10-14,8800,17393,3115
306,152,2024-10-14,33385,16630,1880
307,164,2024-02-16,26030,14237,4992
308,81,2024-11-28,36912,11810,3508
309,189,2025-11-10,17418,3582,3041
310,150,2024-03-13,8281,17285,810
311,160,2024-07-20,42327,19877,3072
312,123,2025-11-29,46095,17491,4377
313,249,2025-07-13,1672,16993,947
314,36,2025-02-03,46811,2501,3541
315,148,2024-01-05,7081,6114,4026
316,62,2024-06-29,45449,2540,2129
317,54,2024-08-04,36009,9621,238
318,149,2025-06-23,24786,10797,3672
319,87,2024-09-19,43484,19267,940
320,153,2024-06-08,36952,13912,637
321,57,2025-07-06,15053,1809,3037
322,88,2024-03-12,13093,3627,4545
323,30,2025-04-15,14098,2983,123
324,141,2024-01-30,36222,466,2368
325,239,2024-04-21,3485,3913,1335
326,18,2025-09-16,1395,6586,1224
327,51,2025-01-20,2536,14480,1184
328,113,2024-07-01,42652,5392,1636
329,167,2024-09-15,10514,1363,1985
330,84,2024-06-03,28881,4838,4099
331,157,2024-01-11,5001,19665,662
332,219,2024-05-01,46893,8008,1297
333,113,2024-08-13,49744,1582,1909
334,152,2024-01-24,35657,7554,198
335,209,2026-02-01,11400,11034,3630
336,152,2024-02-28,7700,8073,4011
337,41,2024-04-05,22514,8194,678
338,128,2026-01-10,37591,12993,1183
339,147,2024-01-19,42076,17213,3976
340,55,2025-04-23,20271,18212,1388
341,166,2024-02-03,32768,10475,4544
342,244,2025-01-25,39407,17655,1094
343,222,2024-11-18,35789,9724,920
344,127,2024-05-13,11520,10960,3866
345,115,2026-01-13,13928,575,532
346,170,2025-01-06,28234,17934,747
347,178,2024-07-03,5745,196,4099
348,116,2024-05-24,40235,928,665
349,66,2024-12-20,23203,13754,2821
350,147,2024-03-29,3523,18969,4202
351,248,2025-12-28,41205,3478,46
352,227,2025-11-30,24350,2793,4256
353,147,2024-05-13,6004,10964,1850
354,153,2025-08-29,10307,17696,2628
355,132,2025-05-09,46975,7158,2708
356,87,2024-01-25,26889,18145,3014
357,248,2025-08-30,46147,6179,4089
358,117,2025-06-17,31163,5833,1016
359,40,2025-12-19,11442,17509,3423
360,115,2024-10-14,29661,16295,1344
361,101,2024-05-27,1764,6808,2606
362,213,2024-01-22,1524,19852,2481
363,1,2024-12-14,31433,18628,1977
364,37,2024-11-21,20592,4365,3796
365,132,2025-10-10,28172,1953,3653
366,110,2024-08-02,6795,16902,1522
367,20,2024-10-03,46835,11941,223
368,92,2024-10-21,33608,7557,4127
369,195,2025-06-10,7353,18338,2212
370,34,2026-02-13,46236,16452,679
371,51,2024-09-09,18873,2538,1663
372,246,2024-07-11,9289,7155,4105
373,219,2024-03-16,8387,1314,2830
374,174,2024-08-01,18125,12107,2043
375,54,2026-02-09,3579,2415,3545
376,64,2025-03-23,33583,19287,1036
377,89,2025-05-06,21170,2623,1368
378,131,2025-11-04,45425,11381,317
379,22,2024-01-17,45002,12907,2572
380,119,2024-12-01,17974,19768,3016
381,35,2024-10-25,1870,19357,2989
382,2,2025-05-06,45873,10163,2040
383,119,2025-05-31,29346,1850,2387
384,69,2024-09-02,45083,18139,1095
385,13,2025-01-14,24829,7883,1194
386,213,2024-06-10,6085,9939,4874
387,31,2025-05-02,31810,7333,1923
388,50,2024-11-27,20352,17873,4713
389,59,2025-08-23,4980,2482,1659
390,242,2025-06-06,14993,13970,4995
391,87,2025-02-02,13367,10130,2813
392,148,2025-02-11,15070,19830,4704
393,155,2024-11-08,32062,16929,2323
394,204,2024-04-12,25713,428,3422
395,29,2025-02-06,28757,10902,292
396,30,2025-08-06,15676,12141,2158
397,171,2025-12-07,4265,15918,4099
398,209,2025-12-12,34410,9631,2137
399,79,2024-11-05,20331,1461,4586
400,97,2024-09-15,28477,1783,699
401,227,2025-11-30,47304,6832,1045
402,210,2026-02-05,8232,16255,3754
403,10,2024-11-14,13567,13479,362
404,152,2024-01-26,25415,19618,765
405,211,2025-06-07,20736,14488,3130
406,34,2024-03-22,11173,9300,1271
407,153,2024-03-20,33023,13106,4396
408,107,2025-04-14,19485,19360,4919
409,171,2025-10-31,26837,11327,3519
410,24,2026-01-13,25042,2226,3162
411,144,2025-07-16,7469,15067,3306
412,221,2024-04-09,13365,13269,891
413,132,2025-07-21,33028,9759,2105
414,114,2024-05-03,40326,19454,4427
415,80,2025-03-28,29585,9846,3644
416,68,2025-03-15,24663,10175,1803
417,173,2024-12-04,41788,18465,1507
418,249,2024-05-01,28867,19965,4077
419,47,2024-08-22,47355,5352,3527
420,21,2026-01-23,39466,15474,1399
421,113,2025-07-15,11132,16552,3065
422,212,2025-11-15,8673,1685,2547
423,1,2025-02-13,10708,2159,4904
424,113,2024-03-23,27228,8864,3869
425,199,2025-02-14,30140,18493,1449
426,247,2025-06-27,9548,5422,390
427,5,2025-03-09,32711,10300,4239
428,241,2025-01-12,40027,11682,1128
429,130,2025-10-11,39357,623,2360
430,54,2025-10-20,23506,3768,317
431,146,2025-09-24,7553,5397,864
432,22,2024-02-08,41547,6385,1815
433,218,2024-02-23,45090,12379,3916
434,195,2024-05-15,45885,13938,1498
435,181,2025-11-06,37123,6681,2805
436,232,2025-08-25,46826,16767,4769
437,182,2025-09-18,32465,15764,3659
438,138,2025-05-31,44408,9777,463
439,89,2024-09-02,4609,4128,3094
440,187,2025-04-13,46958,12572,1854
441,240,2025-04-18,43106,6242,265
442,85,2025-09-18,44796,8383,4506
443,224,2024-07-30,19684,4931,1135
444,211,2025-03-16,13247,16081,2446
445,87,2025-05-03,43416,18719,3027
446,96,2024-09-14,42519,5568,977
447,247,2025-01-02,7586,3735,2931
448,30,2025-11-15,4992,12791,549
449,154,2025-04-08,30240,4539,2307
450,9,2025-10-18,33152,13619,4524
451,76,2025-12-10,38001,2005,3126
452,226,2024-09-05,22191,8465,4774
453,104,2025-03-05,2025,17015,4669
454,151,2024-07-16,35269,13976,876
455,214,2025-01-01,11386,8947,3163
456,177,2025-12-26,17057,4207,4779
457,224,2025-06-17,11572,3175,4609
458,148,2024-12-16,32782,5333,4413
459,64,2025-01-20,31851,1698,440
460,163,2024-01-03,25714,719,3889
461,125,2024-12-30,26219,5198,4748
462,227,2025-11-25,35835,10399,516
463,20,2025-12-14,42769,12466,4163
464,46,2025-07-05,12428,13782,3115
465,193,2024-05-30,22334,7611,2162
466,240,2024-07-16,12925,8884,3433
467,36,2025-07-24,21222,11146,3246
468,86,2025-08-11,24669,17798,3288
469,91,2025-09-06,15974,19426,4857
470,156,2024-10-25,16324,16416,2623
471,239,2024-10-21,6283,1285,937
472,229,2024-08-08,22639,8230,3414
473,137,2024-03-12,17540,718,4083
474,10,2025-11-22,23304,17610,3069
475,242,2024-12-12,18594,18614,2551
476,240,2025-03-16,34229,14194,3542
477,184,2024-12-03,49915,5963,1587
478,91,2026-02-07,42112,8861,2355
479,148,2025-07-02,2242,4465,2382
480,53,2024-09-08,37564,4175,80
481,170,2025-01-09,43417,17517,2472
482,165,2024-11-13,40920,7792,4851
483,206,2025-11-23,14567,12358,1436
484,86,2024-10-06,22058,18845,1773
485,122,2025-07-28,34148,5171,2798
486,177,2024-10-29,3798,5563,3503
487,134,2025-09-02,42328,12569,856
488,132,2025-04-30,30213,1810,2026
489,100,2025-10-07,8863,10912,3654
490,130,2024-03-21,26444,4307,425
491,197,2025-12-10,40754,7408,50
492,81,2024-12-26,12378,16502,4922
493,11,2025-10-17,41409,641,768
494,76,2026-02-15,19054,16876,3487
495,137,2025-01-23,22640,8638,2852
496,205,2025-02-20,46005,1830,3015
497,190,2026-01-24,27704,5970,235
498,106,2026-02-11,39277,5747,330
499,91,2024-10-29,29855,16582,2247
500,158,2024-06-12,43777,19716,3417
