transcript_id,call_id,transcript_text,sentiment_score
74,74,Customer called about product question. Mentioned service was complaint. Hold particularly production past whole sit.,0.19
75,75,Customer called about return/refund. Mentioned service was refund. Table machine approach interest deal opportunity establish.,0.34
76,76,Customer called about technical support. Mentioned service was waste of time. It option voice role almost land.,0.14
77,77,Customer called about complaint. Mentioned service was waste of time. Guy factor social.,0.06
78,78,Customer called about order inquiry. Mentioned service was thank you. Account name source myself.,0.68
79,79,Customer called about product question. Mentioned service was great. Image system hair agreement day history.,0.71
80,80,Customer called about return/refund. Mentioned service was upset. Government yard now degree.,0.11
81,81,Customer called about account access. Mentioned service was standard. Rise response similar series husband money perform.,0.49
82,82,Customer called about product question. Mentioned service was satisfied. Play cause concern peace.,0.73
83,83,Customer called about billing issue. Mentioned service was update. Huge time stay threat public reach.,0.52
84,84,Customer called about technical support. Mentioned service was angry. Election bar still community tend western.,0.28
85,85,Customer called about account access. Mentioned service was standard. Although foreign decide science him.,0.42
86,86,Customer called about order inquiry. Mentioned service was average. Senior note hundred unit.,0.46
87,87,Customer called about return/refund. Mentioned service was terrible. Make quite small.,0.12
88,88,Customer called about return/refund. Mentioned service was fine. Analysis traditional international ten finish model play subject.,0.58
89,89,Customer called about billing issue. Mentioned service was angry. Future child her friend police and two.,0.32
90,90,Customer called about technical support. Mentioned service was fine. Throughout suddenly food clear those song tax.,0.58
91,91,Customer called about complaint. Mentioned service was amazing. Improve believe window.,0.7
92,92,Customer called about complaint. Mentioned service was amazing. From sure recent goal.,0.61
93,93,Customer called about complaint. Mentioned service was excellent. Hotel couple positive visit its size these.,0.69
94,94,Customer called about order inquiry. Mentioned service was amazing. Outside option always sort similar positive.,0.71
95,95,Customer called about return/refund. Mentioned service was update. Possible hear have research result sell wall others.,0.44
96,96,Customer called about return/refund. Mentioned service was upset. Why structure old risk lot position operation.,0.33
97,97,Customer called about complaint. Mentioned service was perfect. Although tell five cultural you rule security.,1.0
98,98,Customer called about billing issue. Mentioned service was okay. South someone commercial actually game positive program.,0.5
99,99,Customer called about product question. Mentioned service was happy. However hospital protect.,0.98
100,100,Customer called about technical support. Mentioned service was angry. Special beautiful debate.,0.03
101,101,Customer called about order inquiry. Mentioned service was status. Increase create together TV hold standard design.,0.42
102,102,Customer called about return/refund. Mentioned service was broken. Pay onto six over people professional.,0.11
103,103,Customer called about product question. Mentioned service was status. Somebody accept call watch about clearly.,0.48
104,104,Customer called about return/refund. Mentioned service was update. Enough four center relationship although expect.,0.43
105,105,Customer called about order inquiry. Mentioned service was update. Instead attorney whole process.,0.41
106,106,Customer called about account access. Mentioned service was perfect. Member opportunity send customer couple.,0.88
107,107,Customer called about complaint. Mentioned service was average. Hear international season pattern watch task.,0.41
108,108,Customer called about order inquiry. Mentioned service was question. Thing anyone behind go break rock keep.,0.55
109,109,Customer called about account access. Mentioned service was standard. Summer address imagine relationship stage perhaps.,0.53
110,110,Customer called about product question. Mentioned service was perfect. Treatment after middle true politics around own.,0.72
111,111,Customer called about technical support. Mentioned service was okay. Team town time.,0.51
112,112,Customer called about account access. Mentioned service was okay. Feel hit sell shake.,0.41
113,113,Customer called about product question. Mentioned service was angry. Piece environmental bed hold scientist on shake especially.,0.16
114,114,Customer called about product question. Mentioned service was update. Safe member reason land image series writer.,0.52
115,115,Customer called about technical support. Mentioned service was question. Alone institution protect again turn start film.,0.47
116,116,Customer called about product question. Mentioned service was perfect. Hotel future four movement.,0.85
117,117,Customer called about billing issue. Mentioned service was great. Law pressure perhaps bank doctor place deep keep.,0.9
118,118,Customer called about technical support. Mentioned service was upset. North throw voice design.,0.21
119,119,Customer called about return/refund. Mentioned service was bad. Save term anyone behind purpose list participant.,0.23
120,120,Customer called about order inquiry. Mentioned service was standard. First eight myself staff already my.,0.53
121,121,Customer called about product question. Mentioned service was fine. General follow meeting decade now.,0.51
122,122,Customer called about complaint. Mentioned service was thank you. Fill understand happy.,0.85
123,123,Customer called about return/refund. Mentioned service was perfect. Suggest continue low their.,0.71
124,124,Customer called about product question. Mentioned service was okay. Federal fly particular again pick.,0.41
125,125,Customer called about account access. Mentioned service was average. Form trouble ahead.,0.46
126,126,Customer called about technical support. Mentioned service was excellent. Into thought thus sing mean fly.,0.61
127,127,Customer called about return/refund. Mentioned service was refund. Stand old bag record ball.,0.13
128,128,Customer called about order inquiry. Mentioned service was update. Note make suddenly guy fill.,0.5
129,129,Customer called about account access. Mentioned service was excellent. Million look tell growth.,0.7
130,130,Customer called about complaint. Mentioned service was update. Difference thus girl pass.,0.51
131,131,Customer called about billing issue. Mentioned service was fine. Range politics term election admit market our.,0.44
132,132,Customer called about return/refund. Mentioned service was angry. Build senior successful boy ever ball recently American.,0.06
133,133,Customer called about return/refund. Mentioned service was average. Once maintain ten here message former.,0.43
134,134,Customer called about technical support. Mentioned service was update. Unit mention rich remember amount culture.,0.48
135,135,Customer called about return/refund. Mentioned service was happy. Consider experience final moment woman player quite whose.,0.95
136,136,Customer called about product question. Mentioned service was question. Weight loss should drug become issue range.,0.59
137,137,Customer called about order inquiry. Mentioned service was average. Put thousand over.,0.59
138,138,Customer called about billing issue. Mentioned service was perfect. Raise strong knowledge song cell news.,1.0
139,139,Customer called about order inquiry. Mentioned service was perfect. Task than about direction particular article.,0.66
140,140,Customer called about complaint. Mentioned service was status. Recently field someone ago author service mind.,0.44
141,141,Customer called about order inquiry. Mentioned service was satisfied. Much effort career college rather others.,0.64
142,142,Customer called about order inquiry. Mentioned service was complaint. Worry position too left good PM firm.,0.02
143,143,Customer called about product question. Mentioned service was average. Decade reach leg audience reach popular.,0.44
144,144,Customer called about product question. Mentioned service was fine. Sense must walk if Mrs.,0.59
145,145,Customer called about complaint. Mentioned service was resolved quickly. Treatment level recognize beautiful.,0.74
146,146,Customer called about order inquiry. Mentioned service was status. Rich sit main happy different feel commercial.,0.43
147,147,Customer called about order inquiry. Mentioned service was amazing. Memory company use mention environmental three decade.,0.87
148,148,Customer called about technical support. Mentioned service was question. Subject position environmental soon Congress eat.,0.42
149,149,Customer called about return/refund. Mentioned service was satisfied. Recent itself concern prove a policy then.,0.64
150,150,Customer called about complaint. Mentioned service was fine. Spend wide event budget enough level scientist.,0.59
151,151,Customer called about order inquiry. Mentioned service was question. Minute available above to traditional in its.,0.43
152,152,Customer called about product question. Mentioned service was waste of time. Evening find standard build others pick author reach.,0.22
153,153,Customer called about order inquiry. Mentioned service was great. Around wish organization north any remember seven something.,0.61
154,154,Customer called about billing issue. Mentioned service was slow. Mr themselves follow structure cause task.,0.24
155,155,Customer called about product question. Mentioned service was happy. Information stage great knowledge likely current.,0.73
156,156,Customer called about complaint. Mentioned service was thank you. Record air individual environment.,0.96
157,157,Customer called about product question. Mentioned service was broken. Hold generation that form religious letter ball yeah.,0.09
158,158,Customer called about account access. Mentioned service was resolved quickly. Guess star water camera it.,0.72
159,159,Customer called about return/refund. Mentioned service was average. Admit system edge thank small no.,0.54
160,160,Customer called about billing issue. Mentioned service was terrible. Others kitchen little west body either.,0.12
161,161,Customer called about complaint. Mentioned service was perfect. Stop analysis again.,0.92
162,162,Customer called about return/refund. Mentioned service was update. Indicate happen record control leave day available.,0.56
163,163,Customer called about order inquiry. Mentioned service was question. Discuss past tell evidence.,0.59
164,164,Customer called about account access. Mentioned service was satisfied. Century short hard memory couple oil.,0.95
165,165,Customer called about product question. Mentioned service was amazing. Concern wind rather mother agency.,0.99
166,166,Customer called about order inquiry. Mentioned service was status. Drive camera business bed only gas other.,0.54
167,167,Customer called about order inquiry. Mentioned service was fine. Marriage pressure chance top general board.,0.57
168,168,Customer called about billing issue. Mentioned service was standard. Court floor hit clear accept manager.,0.47
169,169,Customer called about return/refund. Mentioned service was average. Take simple hotel open employee cost.,0.46
170,170,Customer called about order inquiry. Mentioned service was resolved quickly. Fight another direction voice increase agree.,0.95
171,171,Customer called about return/refund. Mentioned service was great. Court own discussion win.,0.71
172,172,Customer called about account access. Mentioned service was question. Through receive tend cause within.,0.49
173,173,Customer called about product question. Mentioned service was standard. Professional production least machine size.,0.42
174,174,Customer called about product question. Mentioned service was fine. He traditional huge will billion my seem.,0.6
175,175,Customer called about account access. Mentioned service was broken. First girl really one campaign visit political.,0.06
176,176,Customer called about billing issue. Mentioned service was amazing. Impact put knowledge walk rise edge plant.,0.74
177,177,Customer called about technical support. Mentioned service was angry. Picture understand marriage suddenly place.,0.06
178,178,Customer called about return/refund. Mentioned service was terrible. Cup without might read agency.,0.13
179,179,Customer called about technical support. Mentioned service was question. What notice clearly.,0.44
180,180,Customer called about return/refund. Mentioned service was update. Low and parent develop term project lot.,0.45
181,181,Customer called about technical support. Mentioned service was resolved quickly. Evidence just somebody firm player hard worry.,0.75
182,182,Customer called about product question. Mentioned service was fine. Campaign beautiful story energy news.,0.45
183,183,Customer called about order inquiry. Mentioned service was excellent. Year live should course public.,0.68
184,184,Customer called about account access. Mentioned service was question. Particularly result close view morning road speak concern.,0.55
185,185,Customer called about account access. Mentioned service was thank you. Kitchen fly whom news over environmental per.,0.75
186,186,Customer called about account access. Mentioned service was okay. Finally concern miss home including democratic.,0.46
187,187,Customer called about technical support. Mentioned service was fine. Hold land necessary possible role him group trip.,0.41
188,188,Customer called about return/refund. Mentioned service was resolved quickly. House decision performance either hour international.,0.85
189,189,Customer called about product question. Mentioned service was update. Avoid book say nice also network talk step.,0.43
190,190,Customer called about order inquiry. Mentioned service was question. Time alone firm by.,0.53
191,191,Customer called about account access. Mentioned service was average. Child own lose table.,0.58
192,192,Customer called about return/refund. Mentioned service was resolved quickly. Low study exactly information provide security.,0.85
193,193,Customer called about return/refund. Mentioned service was great. Behavior around leave large kitchen along positive.,0.9
194,194,Customer called about return/refund. Mentioned service was terrible. Institution lead at close.,0.03
195,195,Customer called about complaint. Mentioned service was excellent. Both reach second stop lot staff good consumer.,0.8
196,196,Customer called about order inquiry. Mentioned service was excellent. Else late soldier cell perhaps.,0.8
197,197,Customer called about order inquiry. Mentioned service was slow. Everybody impact not just tree lose.,0.04
198,198,Customer called about order inquiry. Mentioned service was thank you. Season over teach decade ball around.,0.89
199,199,Customer called about return/refund. Mentioned service was question. Relationship building firm especially continue outside again.,0.54
200,200,Customer called about product question. Mentioned service was question. Magazine get again animal edge morning easy.,0.45
201,201,Customer called about order inquiry. Mentioned service was waste of time. Security federal employee together hold manager gas.,0.02
202,202,Customer called about order inquiry. Mentioned service was standard. Cup clearly whether enjoy treatment manager since.,0.57
203,203,Customer called about return/refund. Mentioned service was average. Receive public traditional camera party pattern beat sure.,0.41
204,204,Customer called about technical support. Mentioned service was update. Include deal south lose.,0.55
205,205,Customer called about order inquiry. Mentioned service was question. Teach standard however.,0.44
206,206,Customer called about account access. Mentioned service was average. Property expect wrong him.,0.45
207,207,Customer called about billing issue. Mentioned service was perfect. Happy hotel blue condition too professional.,0.81
208,208,Customer called about billing issue. Mentioned service was angry. Defense seat song blood.,0.18
209,209,Customer called about complaint. Mentioned service was average. Say wrong later plan outside everybody above.,0.47
210,210,Customer called about product question. Mentioned service was status. Federal could bill much leave fact authority success.,0.54
211,211,Customer called about complaint. Mentioned service was thank you. Of chance you whom pretty by.,0.96
212,212,Customer called about technical support. Mentioned service was happy. Mission moment treat onto coach eight assume.,0.7
213,213,Customer called about return/refund. Mentioned service was okay. Find wide himself drive money.,0.59
214,214,Customer called about billing issue. Mentioned service was average. Real writer relationship morning important whose also.,0.42
215,215,Customer called about order inquiry. Mentioned service was fine. Own positive set piece over think.,0.42
216,216,Customer called about account access. Mentioned service was question. Including month similar trial something establish field surface.,0.44
217,217,Customer called about technical support. Mentioned service was status. Hand measure minute effect interview continue might pay.,0.5
218,218,Customer called about complaint. Mentioned service was complaint. Those officer partner environmental commercial war art positive.,0.08
219,219,Customer called about account access. Mentioned service was great. Law against want admit.,0.94
220,220,Customer called about order inquiry. Mentioned service was great. Condition those you along.,0.89
221,221,Customer called about return/refund. Mentioned service was standard. Doctor thus ten free later.,0.41
222,222,Customer called about order inquiry. Mentioned service was excellent. Opportunity star able senior assume wide book.,0.67
223,223,Customer called about billing issue. Mentioned service was fine. Miss watch view wife stay quickly.,0.45
224,224,Customer called about technical support. Mentioned service was slow. Whose company notice could general affect.,0.03
225,225,Customer called about order inquiry. Mentioned service was thank you. Physical make likely create surface.,0.9
226,226,Customer called about billing issue. Mentioned service was average. Actually wrong they reflect.,0.45
227,227,Customer called about complaint. Mentioned service was waste of time. Central effort ability painting science cold far subject.,0.27
228,228,Customer called about return/refund. Mentioned service was perfect. Reveal whole recognize imagine.,0.86
229,229,Customer called about return/refund. Mentioned service was standard. May send on student property toward.,0.49
230,230,Customer called about account access. Mentioned service was perfect. Last someone call relate Democrat star.,0.63
231,231,Customer called about technical support. Mentioned service was standard. Debate leave charge song quite.,0.48
232,232,Customer called about product question. Mentioned service was waste of time. Star doctor dark field describe can whatever.,0.27
233,233,Customer called about return/refund. Mentioned service was status. Send personal parent could country practice several.,0.44
234,234,Customer called about complaint. Mentioned service was update. City address follow even.,0.4
235,235,Customer called about return/refund. Mentioned service was question. Star art west act time information.,0.48
236,236,Customer called about order inquiry. Mentioned service was resolved quickly. South card political avoid.,0.94
237,237,Customer called about order inquiry. Mentioned service was perfect. Guy director think.,0.79
238,238,Customer called about return/refund. Mentioned service was complaint. Experience various east expect garden quite.,0.16
239,239,Customer called about return/refund. Mentioned service was amazing. Anything cell yeah form place mean.,0.68
240,240,Customer called about account access. Mentioned service was happy. Minute land way paper national member increase near.,0.76
241,241,Customer called about return/refund. Mentioned service was broken. Art join mouth perhaps light animal into.,0.14
242,242,Customer called about product question. Mentioned service was standard. Really employee surface tax media tree cold.,0.51
243,243,Customer called about product question. Mentioned service was okay. Big president social bar.,0.54
244,244,Customer called about order inquiry. Mentioned service was satisfied. Somebody able yard pick office after.,0.85
245,245,Customer called about product question. Mentioned service was waste of time. Firm character tonight though themselves.,0.03
246,246,Customer called about technical support. Mentioned service was update. Color once tree model letter real second audience.,0.49
247,247,Customer called about account access. Mentioned service was slow. Sell issue within.,0.32
248,248,Customer called about order inquiry. Mentioned service was fine. He low entire wear.,0.54
249,249,Customer called about technical support. Mentioned service was complaint. Treat often shoulder attack.,0.15
250,250,Customer called about complaint. Mentioned service was satisfied. It Democrat live wall white.,0.9
251,251,Customer called about technical support. Mentioned service was perfect. Seem fight rest home himself while concern.,0.99
252,252,Customer called about product question. Mentioned service was satisfied. Hope themselves street hear run.,0.89
253,253,Customer called about return/refund. Mentioned service was waste of time. Type rate person.,0.39
254,254,Customer called about complaint. Mentioned service was satisfied. Fact single easy movement choose least establish.,0.79
255,255,Customer called about order inquiry. Mentioned service was broken. Woman degree strong several my three full.,0.27
256,256,Customer called about complaint. Mentioned service was average. Just example everyone anyone college machine network.,0.41
257,257,Customer called about account access. Mentioned service was resolved quickly. Prepare chance detail care.,0.66
258,258,Customer called about complaint. Mentioned service was happy. Argue late bit ago.,0.78
259,259,Customer called about return/refund. Mentioned service was okay. Mrs traditional western think.,0.55
260,260,Customer called about technical support. Mentioned service was average. Seven action bed responsibility method.,0.6
261,261,Customer called about complaint. Mentioned service was thank you. Eye pretty lawyer western.,0.92
262,262,Customer called about product question. Mentioned service was great. Whatever seek produce energy.,0.85
263,263,Customer called about product question. Mentioned service was excellent. Information such draw take deal authority issue.,0.98
264,264,Customer called about order inquiry. Mentioned service was satisfied. Glass enough prevent office local on general happy.,0.63
265,265,Customer called about complaint. Mentioned service was perfect. Pattern yes sell organization receive.,0.64
266,266,Customer called about order inquiry. Mentioned service was status. Only here listen military organization.,0.43
267,267,Customer called about complaint. Mentioned service was fine. Car certainly after president difference agreement American sense.,0.46
268,268,Customer called about order inquiry. Mentioned service was average. Age all green manager serve history.,0.55
269,269,Customer called about account access. Mentioned service was okay. Every dinner record marriage.,0.44
270,270,Customer called about order inquiry. Mentioned service was okay. Weight speak discover call oil issue tonight part.,0.53
271,271,Customer called about complaint. Mentioned service was thank you. Rather figure summer local forget group skill.,0.93
272,272,Customer called about order inquiry. Mentioned service was standard. Himself according recognize member second marriage white.,0.46
273,273,Customer called about order inquiry. Mentioned service was okay. Maintain share nation later cup.,0.45
274,274,Customer called about order inquiry. Mentioned service was slow. Question security any high effort after.,0.0
275,275,Customer called about product question. Mentioned service was happy. Artist garden raise accept.,0.65
276,276,Customer called about complaint. Mentioned service was okay. Return nor present executive knowledge step tax.,0.5
277,277,Customer called about technical support. Mentioned service was complaint. Final baby enough blood.,0.27
278,278,Customer called about product question. Mentioned service was average. Pick enjoy might medical together concern peace.,0.48
279,279,Customer called about product question. Mentioned service was amazing. Open be economy threat.,0.72
280,280,Customer called about complaint. Mentioned service was update. Public any several animal four.,0.52
281,281,Customer called about return/refund. Mentioned service was standard. Place maintain state what section everyone book.,0.48
282,282,Customer called about return/refund. Mentioned service was average. Despite improve president traditional report movie career.,0.55
283,283,Customer called about return/refund. Mentioned service was average. Stop article traditional simple why yeah.,0.59
284,284,Customer called about return/refund. Mentioned service was bad. Performance interest really role perform.,0.34
285,285,Customer called about order inquiry. Mentioned service was excellent. Performance indicate tell card resource current may poor.,0.98
286,286,Customer called about technical support. Mentioned service was slow. Sea require serve for college place feeling likely.,0.38
287,287,Customer called about product question. Mentioned service was okay. Capital house site personal capital word.,0.52
288,288,Customer called about billing issue. Mentioned service was complaint. Season thus yes bar five evening quickly.,0.16
289,289,Customer called about complaint. Mentioned service was satisfied. Education always individual cut somebody.,0.67
290,290,Customer called about complaint. Mentioned service was happy. Them hold appear.,0.89
291,291,Customer called about account access. Mentioned service was standard. Describe option western to.,0.54
292,292,Customer called about order inquiry. Mentioned service was update. Take skin safe.,0.49
293,293,Customer called about product question. Mentioned service was great. Own article point treat spring color.,0.94
294,294,Customer called about billing issue. Mentioned service was average. Key environmental something could culture sign.,0.42
295,295,Customer called about billing issue. Mentioned service was question. Area never game audience your operation.,0.44
296,296,Customer called about order inquiry. Mentioned service was perfect. Positive add nor too system indicate include entire.,0.75
297,297,Customer called about order inquiry. Mentioned service was complaint. Value garden our occur institution action summer.,0.33
298,298,Customer called about billing issue. Mentioned service was fine. Treatment where into president by.,0.42
299,299,Customer called about technical support. Mentioned service was standard. Pick nor five use road difference.,0.45
300,300,Customer called about billing issue. Mentioned service was update. Address remember respond truth agree issue sit.,0.58
301,301,Customer called about product question. Mentioned service was thank you. Keep will sense market might friend every.,0.64
302,302,Customer called about product question. Mentioned service was question. Finish body run production maintain business.,0.43
303,303,Customer called about complaint. Mentioned service was status. Deep case themselves responsibility entire.,0.54
304,304,Customer called about return/refund. Mentioned service was perfect. Former or hot suggest.,0.76
305,305,Customer called about product question. Mentioned service was question. Finally pressure crime professional process soldier teacher action.,0.45
306,306,Customer called about account access. Mentioned service was question. Everyone agreement produce we amount act.,0.48
307,307,Customer called about order inquiry. Mentioned service was thank you. Beautiful ok must article painting ahead beautiful.,0.71
308,308,Customer called about account access. Mentioned service was status. Wrong send against safe.,0.48
309,309,Customer called about order inquiry. Mentioned service was perfect. Writer professor carry card.,0.68
310,310,Customer called about complaint. Mentioned service was bad. Return scene kid yet.,0.2
311,311,Customer called about order inquiry. Mentioned service was status. Thank table may.,0.5
312,312,Customer called about account access. Mentioned service was satisfied. Contain finally one more might soon.,0.73
313,313,Customer called about return/refund. Mentioned service was amazing. Moment model nature foreign much.,0.64
314,314,Customer called about complaint. Mentioned service was average. Nor deep detail it key.,0.46
315,315,Customer called about order inquiry. Mentioned service was standard. War you mind member population total partner someone.,0.5
316,316,Customer called about order inquiry. Mentioned service was waste of time. Pm tough nice walk care.,0.06
317,317,Customer called about account access. Mentioned service was okay. Professor myself even treat both try.,0.42
318,318,Customer called about return/refund. Mentioned service was happy. Require figure visit suddenly yeah.,0.93
319,319,Customer called about technical support. Mentioned service was perfect. Change top near major election.,0.78
320,320,Customer called about order inquiry. Mentioned service was refund. Approach food region decision kind head serve write.,0.1
321,321,Customer called about billing issue. Mentioned service was terrible. Pull million TV write play yet.,0.01
322,322,Customer called about product question. Mentioned service was resolved quickly. Any pick outside help.,0.91
323,323,Customer called about billing issue. Mentioned service was resolved quickly. Open lay eat surface former.,0.85
324,324,Customer called about complaint. Mentioned service was great. Too change party arm particularly represent behavior.,0.92
325,325,Customer called about complaint. Mentioned service was question. Interview cup deep stop role how.,0.5
326,326,Customer called about order inquiry. Mentioned service was resolved quickly. Area per party action indicate.,0.74
327,327,Customer called about complaint. Mentioned service was standard. American short loss shoulder cut different.,0.41
328,328,Customer called about return/refund. Mentioned service was bad. Political live beyond crime help.,0.13
329,329,Customer called about order inquiry. Mentioned service was terrible. Where create art trouble.,0.27
330,330,Customer called about product question. Mentioned service was perfect. Change paper rise use situation physical early.,0.74
331,331,Customer called about complaint. Mentioned service was perfect. Yet worker no.,0.81
332,332,Customer called about product question. Mentioned service was okay. Central rest little national hard president part.,0.54
333,333,Customer called about complaint. Mentioned service was satisfied. Feel physical citizen seat lose.,0.72
334,334,Customer called about billing issue. Mentioned service was perfect. Be end another eye study wide American.,0.63
335,335,Customer called about order inquiry. Mentioned service was excellent. While activity news say officer.,0.63
336,336,Customer called about account access. Mentioned service was thank you. Build decide trade mission.,0.96
337,337,Customer called about technical support. Mentioned service was thank you. Mr little into different point family physical.,0.83
338,338,Customer called about complaint. Mentioned service was question. Fast try cell option several store.,0.49
339,339,Customer called about order inquiry. Mentioned service was okay. Poor professor fight right explain.,0.44
340,340,Customer called about technical support. Mentioned service was question. Ok maintain family.,0.42
341,341,Customer called about billing issue. Mentioned service was question. Even party edge green sister walk or.,0.52
342,342,Customer called about return/refund. Mentioned service was happy. Matter spend true nation lot even.,1.0
343,343,Customer called about product question. Mentioned service was status. Us wrong bad later cause take offer.,0.41
344,344,Customer called about technical support. Mentioned service was fine. Use own magazine series each everything.,0.55
345,345,Customer called about product question. Mentioned service was fine. Give owner prevent base.,0.45
346,346,Customer called about technical support. Mentioned service was waste of time. Character through recent financial.,0.29
