ticket_id,customer_id,agent_id,category,priority,status,created_date,resolved_date,subject
25,34405,1011,Product Defect,Critical,Closed,2025-04-02,2025-04-02 02:00:00,Product Defect - Odit placeat animi.
26,28340,2602,Account Update,Low,In Progress,2024-08-29,2024-08-31 11:00:00,Account Update - Ducimus ut.
27,13431,419,Order Status,Critical,Closed,2025-04-13,,Order Status - Nesciunt excepturi at.
28,39436,1073,Return Request,High,Resolved,2024-01-03,2024-01-06 10:00:00,Return Request - Ex rerum omnis consequatur.
29,14935,804,Account Update,Critical,In Progress,2025-05-05,2025-05-11 05:00:00,Account Update - Delectus voluptatibus.
30,8037,2535,Order Status,Low,Closed,2024-11-21,2024-11-24 10:00:00,Order Status - Minima harum recusandae voluptate.
31,9901,2754,Login Issue,High,Open,2025-02-23,,Login Issue - Temporibus culpa.
32,30955,1426,Login Issue,Critical,In Progress,2025-09-02,2025-09-02 07:00:00,Login Issue - Laudantium dolore.
33,25710,2608,Account Update,Low,In Progress,2024-08-08,2024-08-12 22:00:00,Account Update - Laudantium similique ipsum.
34,15958,521,Product Defect,Medium,Open,2025-05-04,2025-05-04 16:00:00,Product Defect - Numquam quisquam placeat.
35,47722,1524,Return Request,Critical,In Progress,2024-12-24,2024-12-24 06:00:00,Return Request - Occaecati quibusdam id explicabo.
36,10789,2104,Account Update,Low,Closed,2024-11-26,2024-11-28 04:00:00,Account Update - Consequatur odit ullam.
37,18621,2831,Return Request,High,Open,2025-12-30,,Return Request - Eveniet amet.
38,5710,312,Return Request,High,Closed,2024-08-31,2024-09-01 22:00:00,Return Request - Quam aut labore voluptatum.
39,31305,531,Return Request,High,In Progress,2025-10-08,2025-10-09 07:00:00,Return Request - Est animi doloribus.
40,8203,313,Login Issue,High,In Progress,2024-06-04,2024-06-07 23:00:00,Login Issue - Velit delectus nobis animi atque.
41,26382,1785,Order Status,Critical,In Progress,2024-04-27,2024-04-29 09:00:00,Order Status - Reiciendis sint ab molestiae possimus.
42,10124,1138,Return Request,Critical,Resolved,2026-01-29,2026-02-02 03:00:00,Return Request - Ipsa quidem aspernatur.
43,32396,1597,Order Status,Low,In Progress,2024-12-15,2024-12-20 09:00:00,Order Status - Perspiciatis perspiciatis molestias.
44,2292,2773,Order Status,High,Open,2024-06-27,2024-07-01 19:00:00,Order Status - Velit perferendis nobis.
45,14050,766,Return Request,Low,Open,2025-11-28,,Return Request - Eligendi soluta amet.
46,15808,1767,Product Defect,Medium,In Progress,2024-07-16,2024-07-20 10:00:00,Product Defect - Quidem animi.
47,29333,1124,Product Defect,Critical,Resolved,2025-03-11,,Product Defect - Alias perferendis.
48,25275,2741,Account Update,Low,Resolved,2024-05-16,2024-05-16 19:00:00,Account Update - Rem nemo.
49,22796,2901,Product Defect,Medium,Closed,2025-03-16,2025-03-16 07:00:00,Product Defect - Aperiam iste dolor.
50,1187,2246,Account Update,High,In Progress,2025-01-23,,Account Update - Exercitationem expedita delectus.
51,24404,618,Product Defect,High,Resolved,2025-05-25,2025-05-31 22:00:00,Product Defect - Aspernatur vitae tenetur pariatur nesciunt.
52,31576,725,Account Update,High,Closed,2024-01-03,2024-01-06 02:00:00,Account Update - Maiores corporis libero debitis dicta.
53,5987,361,Order Status,Low,In Progress,2024-02-25,2024-03-02 01:00:00,Order Status - Laborum aperiam iste.
54,26180,946,Order Status,High,Closed,2024-01-01,2024-01-06 22:00:00,Order Status - Eius non quos nihil reprehenderit.
55,42996,1239,Product Defect,Low,In Progress,2024-04-15,2024-04-16 04:00:00,Product Defect - Velit maxime aliquid optio eveniet.
56,27644,1892,Product Defect,Critical,Closed,2026-01-18,2026-01-21 05:00:00,Product Defect - Rem ex quam.
57,40768,2304,Account Update,High,In Progress,2026-02-09,2026-02-12 07:00:00,Account Update - Quisquam eius aliquam magni.
58,20345,944,Order Status,Low,In Progress,2024-12-21,2024-12-27 04:00:00,Order Status - Officia quos debitis repudiandae ipsum.
59,33074,2279,Payment Failure,Critical,Resolved,2024-12-04,2024-12-05 01:00:00,Payment Failure - Quo aliquid vel ducimus autem.
60,10188,1402,Product Defect,Medium,In Progress,2024-12-08,2024-12-12 11:00:00,Product Defect - Earum voluptatibus.
61,49143,576,Payment Failure,High,Open,2026-01-18,,Payment Failure - Ea corrupti consequatur tenetur.
62,31204,1284,Return Request,Critical,In Progress,2025-04-23,,Return Request - Ducimus asperiores.
63,26219,1906,Product Defect,Critical,In Progress,2025-07-10,2025-07-14 12:00:00,Product Defect - Eos aliquid dicta harum perspiciatis.
64,31054,1959,Login Issue,Medium,Resolved,2025-05-02,2025-05-03 09:00:00,Login Issue - Rem optio a pariatur sed.
65,22112,553,Account Update,Medium,In Progress,2025-12-03,,Account Update - Quos quisquam.
66,48253,1762,Return Request,Medium,In Progress,2025-03-09,2025-03-13 15:00:00,Return Request - Numquam consequuntur dignissimos.
67,7468,1948,Return Request,Critical,Resolved,2024-01-30,2024-02-03 01:00:00,Return Request - Optio libero molestias qui.
68,30045,34,Account Update,Medium,Resolved,2024-08-05,,Account Update - Reiciendis iste ducimus recusandae.
69,9552,108,Product Defect,High,In Progress,2025-02-15,2025-02-15 20:00:00,Product Defect - Magni explicabo fugit dicta.
70,11852,2250,Payment Failure,Medium,Resolved,2025-01-22,2025-01-24 20:00:00,Payment Failure - Possimus illum.
71,46286,92,Payment Failure,Medium,In Progress,2024-11-23,,Payment Failure - Amet autem placeat.
72,46984,10,Return Request,Critical,Closed,2025-03-14,,Return Request - Aut minima saepe asperiores voluptates.
73,18783,2322,Product Defect,High,Resolved,2024-11-21,2024-11-26 04:00:00,Product Defect - Aliquid velit natus architecto magnam.
74,19464,240,Payment Failure,High,Closed,2024-09-09,2024-09-14 01:00:00,Payment Failure - Cum id.
75,15026,822,Return Request,Medium,In Progress,2024-06-19,2024-06-24 11:00:00,Return Request - Sapiente harum provident.
76,11789,839,Order Status,Low,Resolved,2025-05-29,2025-05-30 14:00:00,Order Status - Maiores ad quod voluptatem.
77,6047,157,Login Issue,High,In Progress,2024-10-19,2024-10-19 15:00:00,Login Issue - Quisquam voluptate similique harum.
78,48120,1336,Order Status,High,Closed,2025-09-02,2025-09-05 14:00:00,Order Status - Quisquam tempora adipisci beatae unde.
79,20581,2335,Account Update,Critical,Open,2025-06-21,2025-06-27 15:00:00,Account Update - Esse maxime dicta.
80,39326,2466,Payment Failure,Medium,Open,2025-08-07,2025-08-08 19:00:00,Payment Failure - Nesciunt deserunt repellendus vitae.
81,13293,375,Payment Failure,Medium,In Progress,2025-06-03,2025-06-04 00:00:00,Payment Failure - Recusandae dolorum dolorum unde quia.
82,44047,1985,Login Issue,Medium,Open,2026-01-21,2026-01-21 19:00:00,Login Issue - Accusantium error necessitatibus.
83,1621,604,Product Defect,Critical,Resolved,2024-02-14,2024-02-16 02:00:00,Product Defect - Eos voluptate maxime incidunt reiciendis.
84,6344,1602,Payment Failure,Critical,Resolved,2024-12-24,2024-12-25 07:00:00,Payment Failure - Officia nisi itaque sint.
85,10638,2835,Account Update,Low,Resolved,2024-08-27,2024-08-29 23:00:00,Account Update - Ex dignissimos amet.
86,47635,1975,Payment Failure,Critical,Open,2024-10-30,,Payment Failure - Consectetur explicabo inventore.
87,17749,144,Account Update,High,Open,2025-09-06,2025-09-07 10:00:00,Account Update - Ullam aspernatur ullam perferendis veniam.
88,12745,1794,Product Defect,Critical,Resolved,2024-05-20,2024-05-24 11:00:00,Product Defect - Impedit nemo molestiae.
89,49033,1268,Product Defect,High,Closed,2025-02-24,2025-02-27 19:00:00,Product Defect - Saepe quibusdam nam nemo.
90,15051,2956,Return Request,High,Open,2025-07-06,2025-07-09 04:00:00,Return Request - Praesentium numquam ex sed.
91,38396,495,Payment Failure,Medium,Open,2024-11-20,,Payment Failure - Quae explicabo ad.
92,42344,1740,Account Update,Medium,Resolved,2025-06-02,,Account Update - Ratione placeat beatae vero.
93,43266,2739,Account Update,Medium,Closed,2024-03-10,2024-03-14 02:00:00,Account Update - Accusantium sapiente cupiditate ipsum.
94,19167,1294,Account Update,High,In Progress,2025-03-05,2025-03-09 13:00:00,Account Update - Necessitatibus earum ipsam.
95,40912,275,Payment Failure,Low,In Progress,2024-09-04,2024-09-08 05:00:00,Payment Failure - Id delectus voluptas deserunt.
96,31313,1725,Payment Failure,High,Resolved,2024-08-08,2024-08-12 06:00:00,Payment Failure - Id asperiores.
97,29170,1140,Login Issue,Low,Closed,2024-04-23,2024-04-28 05:00:00,Login Issue - Quaerat velit maxime.
98,20358,1640,Payment Failure,High,In Progress,2024-06-11,2024-06-13 15:00:00,Payment Failure - Iste amet quae fugiat.
99,2213,513,Account Update,Medium,In Progress,2024-07-24,,Account Update - Iusto est amet facilis.
100,28216,2446,Account Update,Low,In Progress,2024-11-22,2024-11-28 10:00:00,Account Update - Assumenda consectetur fuga.
101,23859,2173,Payment Failure,Low,Open,2025-05-12,2025-05-18 14:00:00,Payment Failure - Delectus veniam.
102,36516,1338,Account Update,Low,Closed,2024-07-02,,Account Update - Nemo molestias aperiam nihil.
103,39435,783,Product Defect,High,Closed,2025-05-20,,Product Defect - Id quidem.
104,49339,1366,Account Update,Low,In Progress,2025-07-20,2025-07-23 14:00:00,Account Update - Nemo similique perferendis.
105,4043,2337,Login Issue,High,In Progress,2025-05-07,2025-05-09 16:00:00,Login Issue - Molestias fuga deserunt non.
106,7581,2023,Payment Failure,Low,Resolved,2024-05-15,2024-05-19 06:00:00,Payment Failure - Placeat provident numquam reprehenderit.
107,35359,2411,Order Status,High,Closed,2025-08-12,,Order Status - Aliquid cumque reiciendis.
108,37531,953,Payment Failure,Medium,In Progress,2025-11-22,2025-11-26 13:00:00,Payment Failure - Nesciunt perferendis fuga.
109,14385,2261,Order Status,Medium,Resolved,2025-12-27,2025-12-30 19:00:00,Order Status - Dolores nihil autem.
110,21755,2787,Return Request,Critical,Closed,2024-09-07,2024-09-09 15:00:00,Return Request - Labore temporibus rem.
111,30370,412,Return Request,High,In Progress,2025-07-03,2025-07-09 11:00:00,Return Request - Distinctio fugiat nesciunt et.
112,27844,2855,Order Status,High,Closed,2025-10-17,2025-10-17 10:00:00,Order Status - Sequi nostrum ipsa.
113,39824,2844,Login Issue,Low,Closed,2024-04-22,2024-04-28 19:00:00,Login Issue - Eveniet perspiciatis dicta debitis inventore.
114,12608,709,Payment Failure,Low,Closed,2026-02-04,2026-02-06 01:00:00,Payment Failure - Fugit aut.
115,36016,2830,Product Defect,Medium,Closed,2024-01-03,2024-01-05 03:00:00,Product Defect - Eum libero quaerat id.
116,45197,1697,Product Defect,Low,Resolved,2024-07-28,,Product Defect - Dolore velit consectetur ratione.
117,32041,1299,Payment Failure,Critical,In Progress,2024-05-14,2024-05-14 19:00:00,Payment Failure - Cum fugit nostrum atque.
118,5393,4,Account Update,High,Open,2024-10-30,2024-11-03 22:00:00,Account Update - Ad mollitia laudantium amet.
119,38061,2725,Return Request,Critical,In Progress,2024-11-28,,Return Request - Consequatur quia quasi veritatis.
120,18095,2451,Order Status,Medium,Resolved,2025-06-30,2025-07-03 11:00:00,Order Status - Id ex alias sapiente.
121,2433,303,Return Request,High,Open,2024-03-15,2024-03-17 07:00:00,Return Request - Enim ipsum asperiores dolorum.
122,16982,2461,Account Update,Low,In Progress,2024-11-13,,Account Update - Perspiciatis molestias sint.
123,6031,1102,Return Request,High,Open,2024-10-25,2024-10-28 22:00:00,Return Request - Sapiente expedita nobis quibusdam non.
124,8003,2465,Account Update,Critical,Open,2025-02-25,,Account Update - Doloribus dolor odio.
125,41433,2921,Order Status,Critical,Open,2024-04-10,2024-04-11 10:00:00,Order Status - Modi est consequatur.
126,49640,606,Payment Failure,High,Open,2025-09-17,,Payment Failure - Quaerat placeat.
127,36430,2543,Account Update,Medium,Open,2024-03-22,2024-03-23 13:00:00,Account Update - Ab optio.
128,8461,1472,Return Request,Medium,Resolved,2025-06-04,2025-06-04 01:00:00,Return Request - Distinctio mollitia non necessitatibus.
129,44783,2245,Product Defect,High,Open,2024-02-26,,Product Defect - Atque autem ipsa.
130,35927,714,Account Update,Critical,Open,2025-04-10,2025-04-15 20:00:00,Account Update - Distinctio incidunt fuga.
131,39174,1239,Return Request,Low,Closed,2024-07-20,2024-07-22 19:00:00,Return Request - Nostrum sequi perspiciatis.
132,35697,2383,Return Request,Medium,In Progress,2024-10-06,2024-10-09 07:00:00,Return Request - Labore laboriosam labore dignissimos.
133,6075,720,Account Update,Low,Resolved,2024-11-06,2024-11-08 10:00:00,Account Update - Odio cupiditate.
134,33273,2922,Product Defect,Low,In Progress,2024-11-29,2024-12-05 20:00:00,Product Defect - Fuga sit pariatur eligendi rem.
135,34291,994,Payment Failure,Low,Open,2024-10-10,2024-10-11 01:00:00,Payment Failure - Libero dignissimos accusantium suscipit officiis.
136,3874,464,Order Status,Low,Closed,2024-11-13,2024-11-14 22:00:00,Order Status - Aliquam omnis ab veniam.
137,46339,2374,Login Issue,High,Closed,2024-02-17,2024-02-19 08:00:00,Login Issue - Fugit debitis repellat atque id.
138,35893,1801,Account Update,Low,Open,2025-11-24,2025-11-24 14:00:00,Account Update - Ratione quia consequuntur recusandae aliquam.
139,41888,2363,Order Status,Medium,Open,2026-02-01,2026-02-07 16:00:00,Order Status - Iste saepe modi.
140,2547,1531,Account Update,Critical,Resolved,2025-01-12,2025-01-15 16:00:00,Account Update - Earum commodi.
141,4740,1535,Product Defect,High,Resolved,2025-07-17,2025-07-19 01:00:00,Product Defect - In nemo quisquam praesentium temporibus.
142,31512,181,Product Defect,Medium,In Progress,2024-08-29,2024-08-31 14:00:00,Product Defect - Soluta explicabo quasi.
143,35083,1941,Order Status,High,Closed,2024-08-31,2024-09-01 03:00:00,Order Status - Ex autem necessitatibus repellendus.
144,21257,1228,Return Request,Low,In Progress,2025-05-05,2025-05-09 02:00:00,Return Request - Ipsum necessitatibus vero accusantium.
145,41542,967,Product Defect,High,Resolved,2025-03-25,2025-03-27 22:00:00,Product Defect - Tempore quos qui optio.
146,25097,156,Order Status,Medium,Closed,2024-09-21,,Order Status - Non maxime incidunt aliquid.
147,26202,84,Payment Failure,Low,Open,2024-01-31,2024-02-02 12:00:00,Payment Failure - Debitis architecto eligendi.
148,24379,1470,Account Update,Low,Resolved,2025-02-01,2025-02-05 19:00:00,Account Update - Corporis eligendi blanditiis.
149,33242,2463,Login Issue,High,Resolved,2025-03-22,2025-03-28 16:00:00,Login Issue - Asperiores eaque perspiciatis voluptas.
150,30208,2574,Return Request,Medium,In Progress,2024-08-14,,Return Request - Dolores deleniti hic.
151,38616,1374,Login Issue,Low,In Progress,2024-10-18,2024-10-23 22:00:00,Login Issue - Maiores esse distinctio.
152,14995,2497,Payment Failure,Medium,In Progress,2024-06-14,,Payment Failure - Repudiandae a eius laborum.
153,25030,1017,Payment Failure,High,Resolved,2025-11-29,2025-11-30 04:00:00,Payment Failure - Aspernatur placeat distinctio laudantium similique.
154,43309,2349,Login Issue,Low,In Progress,2026-01-16,2026-01-17 15:00:00,Login Issue - Ex nam et soluta cumque.
155,12376,145,Product Defect,Medium,Closed,2025-03-03,2025-03-07 18:00:00,Product Defect - Nisi vero repellendus.
156,37317,847,Account Update,High,Closed,2025-05-21,2025-05-22 15:00:00,Account Update - Expedita autem rem sint.
157,42717,2832,Order Status,Low,Closed,2025-09-11,2025-09-11 01:00:00,Order Status - Earum ut vero similique.
158,41458,123,Payment Failure,Critical,Closed,2024-05-29,2024-05-31 02:00:00,Payment Failure - Vel autem in.
159,45606,2746,Login Issue,High,Open,2025-11-21,2025-11-26 14:00:00,Login Issue - Veniam vero molestiae.
160,18522,1923,Account Update,High,Resolved,2024-05-05,2024-05-07 15:00:00,Account Update - Minima deserunt.
161,35079,1433,Return Request,High,In Progress,2025-02-27,2025-03-04 03:00:00,Return Request - Qui rem fuga placeat omnis.
162,8168,1745,Account Update,Low,Resolved,2024-05-04,,Account Update - Omnis magnam.
163,25968,175,Return Request,High,In Progress,2025-09-30,2025-10-06 02:00:00,Return Request - Temporibus velit doloribus nihil ut.
164,35992,2216,Return Request,Low,In Progress,2024-10-01,2024-10-07 07:00:00,Return Request - Repellat dolor odio consequuntur.
165,17432,1545,Payment Failure,Low,Resolved,2024-09-25,2024-09-25 15:00:00,Payment Failure - Id earum.
166,8831,1078,Login Issue,Critical,In Progress,2025-11-04,2025-11-05 01:00:00,Login Issue - Occaecati cumque a dicta.
167,14825,379,Payment Failure,High,Closed,2024-11-02,2024-11-05 23:00:00,Payment Failure - Expedita tempore magni.
168,9543,1753,Payment Failure,Medium,Closed,2024-09-17,2024-09-22 14:00:00,Payment Failure - Neque tempore saepe explicabo.
169,1450,1460,Account Update,Low,Open,2025-05-16,,Account Update - Eos vel excepturi laudantium.
170,17894,1090,Product Defect,High,Open,2024-03-14,2024-03-16 02:00:00,Product Defect - Quos reprehenderit consequuntur.
171,11666,1671,Return Request,High,Closed,2026-01-09,,Return Request - Eaque accusantium repellat doloremque.
172,8081,709,Account Update,High,Resolved,2026-01-19,2026-01-22 16:00:00,Account Update - Beatae fuga doloremque excepturi ab.
173,24172,452,Order Status,High,In Progress,2024-12-27,2024-12-27 01:00:00,Order Status - Eveniet a.
174,378,131,Payment Failure,Critical,Closed,2025-10-16,2025-10-16 17:00:00,Payment Failure - Delectus neque aut.
175,20637,358,Account Update,Medium,Closed,2025-08-21,2025-08-27 22:00:00,Account Update - Eum perspiciatis placeat modi exercitationem.
176,37105,1446,Payment Failure,Low,In Progress,2025-06-15,2025-06-16 05:00:00,Payment Failure - Corrupti error dolorum.
177,22660,2904,Payment Failure,Critical,Open,2026-01-10,,Payment Failure - Nesciunt inventore quae consectetur.
178,45859,820,Login Issue,High,Closed,2025-09-17,2025-09-24 00:00:00,Login Issue - Distinctio quod quia.
179,49961,2614,Return Request,Critical,Resolved,2024-06-17,2024-06-20 01:00:00,Return Request - Voluptas deleniti vel.
180,9322,463,Payment Failure,Low,Closed,2025-09-02,2025-09-08 09:00:00,Payment Failure - Aliquid id aperiam voluptate quaerat.
181,31896,1408,Return Request,High,In Progress,2024-09-04,2024-09-06 10:00:00,Return Request - Harum hic nemo delectus.
182,49797,783,Login Issue,Critical,Open,2025-03-26,2025-03-29 07:00:00,Login Issue - Possimus dolorem.
183,16062,1440,Account Update,Critical,Resolved,2025-01-17,2025-01-22 04:00:00,Account Update - Assumenda officiis similique impedit esse.
184,18034,2359,Account Update,High,Open,2025-12-21,2025-12-26 19:00:00,Account Update - At veniam nulla.
185,1907,109,Product Defect,Critical,Open,2025-01-15,2025-01-18 08:00:00,Product Defect - Commodi tenetur ad.
186,26357,1848,Payment Failure,High,Closed,2024-11-24,2024-11-29 10:00:00,Payment Failure - Reiciendis eos.
187,10356,2528,Login Issue,High,In Progress,2025-03-29,,Login Issue - Numquam tenetur consectetur eaque.
188,48213,563,Payment Failure,Critical,Resolved,2024-07-15,2024-07-20 15:00:00,Payment Failure - Placeat voluptatibus sit.
189,12670,2026,Payment Failure,Low,Closed,2025-05-10,2025-05-11 00:00:00,Payment Failure - Earum nostrum quisquam deserunt.
190,14636,1425,Order Status,Low,In Progress,2024-06-03,2024-06-06 02:00:00,Order Status - Ducimus hic ullam fugit provident.
191,6688,1165,Order Status,Medium,Resolved,2025-01-03,2025-01-05 17:00:00,Order Status - Repellat architecto.
192,16686,2890,Order Status,High,Closed,2024-02-16,2024-02-19 20:00:00,Order Status - Ducimus earum.
193,49244,94,Product Defect,High,Closed,2025-07-15,2025-07-20 21:00:00,Product Defect - Quia laborum delectus.
194,13237,281,Payment Failure,Low,Closed,2025-02-19,2025-02-22 09:00:00,Payment Failure - Maxime deserunt sunt laudantium.
195,37616,1709,Return Request,Critical,In Progress,2024-12-05,,Return Request - Et accusamus ab nulla.
196,22497,2634,Return Request,Low,Open,2024-08-29,,Return Request - Tenetur asperiores architecto enim.
197,44039,1906,Product Defect,Low,In Progress,2025-10-03,2025-10-09 06:00:00,Product Defect - Explicabo fuga.
198,11462,212,Product Defect,High,Resolved,2024-05-29,2024-06-02 08:00:00,Product Defect - Nostrum esse.
199,34951,151,Account Update,Low,Resolved,2024-02-25,,Account Update - Facilis nisi iure harum.
200,17283,49,Account Update,Low,Open,2025-07-01,2025-07-01 06:00:00,Account Update - Impedit laborum ut porro sunt.
201,48662,1018,Account Update,Medium,Open,2025-04-30,2025-04-30 01:00:00,Account Update - Deleniti temporibus numquam minus molestiae.
202,46191,918,Return Request,Medium,Closed,2025-09-12,,Return Request - Officiis officiis fugiat atque quos.
203,16454,1131,Payment Failure,High,Resolved,2025-03-20,2025-03-20 23:00:00,Payment Failure - Quo ipsa aliquam.
204,30790,2246,Return Request,Medium,In Progress,2025-11-25,2025-11-25 14:00:00,Return Request - Laborum vero eos voluptas.
205,14972,1763,Return Request,Critical,Resolved,2025-01-21,2025-01-27 01:00:00,Return Request - Est ex iure similique accusantium.
206,40851,1980,Return Request,Low,Closed,2025-06-08,2025-06-10 08:00:00,Return Request - Explicabo placeat culpa dolores.
207,34526,2181,Order Status,High,Open,2025-02-16,2025-02-16 07:00:00,Order Status - Quam aspernatur quia.
208,3591,860,Return Request,Medium,Resolved,2024-06-10,2024-06-13 05:00:00,Return Request - Dignissimos sit quia doloremque aut.
209,44779,1214,Product Defect,High,In Progress,2025-05-03,2025-05-03 13:00:00,Product Defect - In inventore.
210,17240,2712,Product Defect,Critical,Closed,2024-05-08,2024-05-12 11:00:00,Product Defect - Similique harum sapiente.
211,14462,1998,Return Request,High,In Progress,2024-07-31,2024-08-06 09:00:00,Return Request - Esse consequuntur beatae.
212,5625,955,Order Status,High,In Progress,2024-09-25,2024-09-27 16:00:00,Order Status - Earum unde aperiam architecto esse.
213,23776,77,Payment Failure,High,Open,2025-11-01,2025-11-04 03:00:00,Payment Failure - Sint asperiores itaque cupiditate nisi.
214,48119,2247,Account Update,High,In Progress,2026-01-08,,Account Update - Ullam voluptatem mollitia eos corporis.
215,14544,2018,Return Request,High,Open,2025-03-12,2025-03-15 10:00:00,Return Request - Amet fugit libero ipsa.
216,33947,2130,Product Defect,High,Closed,2025-01-05,2025-01-06 12:00:00,Product Defect - Molestiae sequi.
217,33909,476,Login Issue,Medium,Closed,2024-05-04,2024-05-04 01:00:00,Login Issue - Eum ipsa quis facere quos.
218,22688,1999,Order Status,Low,Closed,2026-01-17,2026-01-18 21:00:00,Order Status - Et eius dignissimos.
219,39109,1339,Product Defect,Low,Resolved,2025-12-30,2026-01-01 22:00:00,Product Defect - Ut enim enim.
220,20737,1245,Order Status,Critical,In Progress,2024-05-19,2024-05-23 11:00:00,Order Status - Occaecati sed aliquam mollitia.
221,44046,1444,Product Defect,Low,Closed,2024-03-15,2024-03-21 20:00:00,Product Defect - Beatae deleniti.
222,15306,2956,Return Request,Critical,Closed,2024-07-13,2024-07-13 15:00:00,Return Request - Reprehenderit tenetur quas neque.
223,35773,2580,Order Status,Critical,In Progress,2026-01-08,2026-01-10 09:00:00,Order Status - Ipsa laudantium veritatis aspernatur iure.
224,569,468,Payment Failure,Low,Resolved,2025-06-09,2025-06-09 03:00:00,Payment Failure - Dolorum minus maxime dolorem.
225,19978,786,Payment Failure,High,Resolved,2025-11-27,2025-11-30 23:00:00,Payment Failure - Ipsum maiores ab corrupti.
226,6419,2374,Order Status,Medium,Open,2025-10-27,2025-11-01 19:00:00,Order Status - Harum cum iste.
227,42149,691,Return Request,Medium,Resolved,2025-07-20,2025-07-22 05:00:00,Return Request - Ratione atque dolorum dignissimos.
228,13342,1716,Payment Failure,Low,In Progress,2024-09-08,2024-09-14 13:00:00,Payment Failure - Optio iure cum facilis.
229,49819,1118,Product Defect,Critical,In Progress,2024-02-22,,Product Defect - Corrupti reprehenderit.
230,46074,1301,Payment Failure,Medium,Closed,2024-09-08,2024-09-11 12:00:00,Payment Failure - Vero commodi eaque.
231,16780,2886,Return Request,Critical,Closed,2024-01-30,2024-02-03 19:00:00,Return Request - Cumque quaerat autem vel omnis.
232,40682,589,Product Defect,High,Closed,2025-09-23,2025-09-26 17:00:00,Product Defect - Sed necessitatibus tempora.
233,5371,549,Return Request,High,Closed,2025-01-14,2025-01-16 11:00:00,Return Request - Nobis facilis delectus eos.
234,9983,1481,Account Update,High,Open,2025-11-26,2025-12-02 16:00:00,Account Update - Error tempore similique porro incidunt.
235,30140,1890,Login Issue,Critical,In Progress,2025-05-15,2025-05-16 13:00:00,Login Issue - Tempora tenetur ab.
236,7755,826,Return Request,Medium,In Progress,2024-12-20,2024-12-23 13:00:00,Return Request - Omnis quas rerum consequatur.
237,4010,971,Order Status,Medium,Closed,2025-05-25,,Order Status - Quibusdam numquam facilis.
238,30142,1617,Login Issue,Critical,Open,2025-06-07,2025-06-08 18:00:00,Login Issue - Unde repellendus inventore vel.
239,20554,1319,Payment Failure,Critical,Closed,2024-03-01,2024-03-07 09:00:00,Payment Failure - Iusto maiores nobis.
